Element 1: (0, (1, 1), ['%', '%', 'G', '.'], [(1, 2), (4, 2), (14, 5)], [True, True, False, False], 98, False, [False, False, False, True], 0, 'East', (2, 1))
Element 2: (0, (2, 1), ['', '%', '%', '.'], [(1, 3), (4, 3), (15, 5)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (3, 1))
Element 3: (0, (3, 1), ['', '%', '%', '.'], [(1, 4), (5, 3), (15, 6)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (4, 1))
Element 4: (0, (4, 1), ['', '%', '', '%'], [(1, 5), (6, 3), (15, 7)], [False, True, False, True], 92, False, [False, False, False, False], 117, 'North', (4, 2))
Element 5: (0, (4, 2), ['%', '', '', '%'], [(1, 6), (7, 3), (15, 8)], [True, False, False, True], 90, False, [False, False, False, False], 146, 'North', (4, 3))
Element 6: (0, (4, 3), ['.', '', '.', ''], [(1, 7), (8, 3), (15, 9)], [False, False, False, False], 88, False, [True, False, True, False], 175, 'North', (4, 4))
Element 7: (0, (4, 4), ['.', '', '.', '.'], [(1, 8), (9, 3), (14, 9)], [False, False, False, False], 86, False, [True, False, True, True], 214, 'East', (5, 4))
Element 8: (0, (5, 4), ['', '', '.', '.'], [(1, 9), (10, 3), (14, 8)], [False, False, False, False], 84, False, [False, False, True, True], 1243, 'East', (6, 4))
Element 9: (0, (6, 4), ['', '', '.', '.'], [(1, 8), (11, 3), (14, 7)], [False, False, False, False], 82, False, [False, False, True, True], 2262, 'East', (7, 4))
Element 10: (0, (7, 4), ['', '', '.', '.'], [(1, 7), (11, 4), (14, 6)], [False, False, False, False], 80, False, [False, False, True, True], 3281, 'East', (8, 4))
Element 11: (0, (8, 4), ['', '', '.', '.'], [(1, 6), (11, 5), (13, 6)], [False, False, False, False], 78, False, [False, False, True, True], 4300, 'East', (9, 4))
Element 12: (0, (9, 4), ['', '', '.', 'F'], [(1, 5), (11, 6), (13, 7)], [False, False, False, False], 76, False, [False, False, True, False], 5319, 'East', (10, 4))
Element 13: (0, (10, 4), ['', '', 'F', ''], [(1, 4), (11, 7), (13, 8)], [False, False, False, False], 74, False, [False, False, False, False], 7328, 'North', (10, 5))
Element 14: (0, (10, 5), ['.', '', 'F', ''], [(1, 3), (11, 8), (13, 9)], [False, False, False, False], 72, False, [True, False, False, False], 9337, 'North', (10, 6))
Element 15: (0, (10, 6), ['.', '', 'F', ''], [(1, 2), (11, 9), (12, 9)], [False, False, False, False], 70, False, [True, False, False, False], 11346, 'North', (10, 7))
Element 16: (0, (10, 7), ['.', '', 'F', ''], [(1, 1), (10, 9), (12, 8)], [False, False, False, False], 68, False, [True, False, False, False], 13355, 'North', (10, 8))
Element 17: #1#
