Element 1: (0, (14, 1), ['.', '%', '%', '%'], [(10, 1), (12, 5), (15, 6)], [False, True, True, True], 98, False, [True, False, False, False], 0, 'West', (13, 1))
Element 2: (0, (13, 1), ['.', '%', '.', ''], [(11, 1), (11, 5), (15, 7)], [False, True, False, False], 96, False, [True, False, True, False], 1029, 'North', (13, 2))
Element 3: (0, (13, 2), ['%', '', '.', '%'], [(12, 1), (11, 6), (15, 8)], [True, False, False, True], 94, False, [False, False, True, False], 2058, 'North', (13, 3))
Element 4: (0, (13, 3), ['.', '', '.', '.'], [(13, 1), (11, 7), (15, 9)], [False, False, False, False], 92, False, [True, False, True, True], 3077, 'East', (14, 3))
Element 5: (0, (14, 3), ['', '%', '.', '.'], [(14, 1), (11, 8), (14, 9)], [False, True, False, False], 90, False, [False, False, True, True], 4096, 'East', (15, 3))
Element 6: (0, (15, 3), ['', '.', '.', '%'], [(13, 1), (11, 9), (14, 8)], [False, False, False, True], 88, False, [False, True, True, False], 5115, 'North', (15, 4))
Element 7: (0, (15, 4), ['.', '', '.', '%'], [(13, 2), (10, 9), (14, 7)], [False, False, False, True], 86, False, [True, False, True, False], 6134, 'North', (15, 5))
Element 8: (0, (15, 5), ['.', '', '', '%'], [(13, 3), (10, 8), (14, 6)], [False, False, False, True], 84, False, [True, False, False, False], 7153, 'West', (14, 5))
Element 9: (0, (14, 5), ['.', '.', '', ''], [(13, 4), (10, 7), (13, 6)], [False, False, False, False], 82, False, [True, True, False, False], 8182, 'South', (14, 4))
Element 10: (0, (14, 4), ['', '', '', ''], [(13, 5), (10, 6), (13, 7)], [False, False, False, False], 80, False, [False, False, False, False], 9211, 'West', (13, 4))
Element 11: (0, (13, 4), ['.', '', '', ''], [(14, 5), (10, 5), (13, 8)], [False, False, False, False], 78, False, [True, False, False, False], 10220, 'West', (12, 4))
Element 12: (0, (12, 4), ['F', '.', '', ''], [(15, 5), (10, 4), (13, 9)], [False, False, False, False], 76, False, [False, True, False, False], 11239, 'West', (11, 4))
Element 13: (0, (11, 4), ['', 'F', '', ''], [(15, 6), (10, 3), (12, 9)], [False, False, False, False], 74, False, [False, False, False, False], 13248, 'South', (11, 3))
Element 14: #1#
