Element 1: (2, (12, 9), ['F', '.', '%', '.'], [(1, 6), (7, 6), (15, 7)], [False, False, True, False], 98, False, [False, True, False, True], 19, 'West', (11, 9))
Element 2: (2, (11, 9), ['F', 'F', '%', ''], [(1, 7), (8, 6), (15, 8)], [False, False, True, False], 96, False, [False, False, False, False], 1048, 'South', (11, 8))
Element 3: (2, (11, 8), ['F', 'F', '', '.'], [(1, 8), (9, 6), (15, 9)], [False, False, False, False], 94, False, [False, False, False, True], 2077, 'South', (11, 7))
Element 4: (2, (11, 7), ['F', 'F', '', '.'], [(1, 9), (10, 6), (14, 9)], [False, False, False, False], 92, False, [False, False, False, True], 4096, 'South', (11, 6))
Element 5: (2, (11, 6), ['', 'F', '', '.'], [(1, 8), (10, 7), (14, 8)], [False, False, False, False], 90, False, [False, False, False, True], 6105, 'South', (11, 5))
Element 6: (2, (11, 5), ['F', 'F', '', '.'], [(1, 7), (10, 8), (14, 7)], [False, False, False, False], 88, False, [False, False, False, True], 8114, 'South', (11, 4))
Element 7: (2, (11, 4), ['F', 'F', '', '.'], [(1, 6), (10, 9), (14, 6)], [False, False, False, False], 86, False, [False, False, False, True], 10123, 'South', (11, 3))
Element 8: (2, (11, 3), ['F', '%', '', '.'], [(1, 5), (9, 9), (15, 6)], [False, True, False, False], 84, False, [False, False, False, True], 11142, 'West', (10, 3))
Element 9: (2, (10, 3), ['.', '.', 'F', ''], [(1, 4), (9, 8), (15, 5)], [False, False, False, False], 82, False, [True, True, False, False], 12171, 'North', (10, 4))
Element 10: (2, (10, 4), ['.', '', 'F', ''], [(1, 3), (9, 7), (15, 4)], [False, False, False, False], 80, False, [True, False, False, False], 13200, 'North', (10, 5))
Element 11: #1#
