Element 1: (3, (12, 3), ['.', '%', '%', '.'], [(13, 10), (1, 4), (4, 7)], [False, True, True, False], 98, False, [True, False, False, True], 29, 'East', (13, 3))
Element 2: (3, (13, 3), ['', '.', '.', '%'], [(13, 9), (1, 5), (5, 7)], [False, False, False, True], 96, False, [False, True, True, False], 68, 'North', (13, 4))
Element 3: (3, (13, 4), ['%', '', '.', '%'], [(14, 9), (1, 6), (6, 7)], [True, False, False, True], 94, False, [False, False, True, False], 107, 'North', (13, 5))
Element 4: (3, (13, 5), ['%', '', '.', '%'], [(15, 9), (1, 7), (6, 8)], [True, False, False, True], 92, False, [False, False, True, False], 146, 'North', (13, 6))
Element 5: (3, (13, 6), ['%', '', '.', '%'], [(16, 9), (2, 7), (6, 9)], [True, False, False, True], 90, False, [False, False, True, False], 185, 'North', (13, 7))
Element 6: (3, (13, 7), ['%', '', '.', '%'], [(16, 8), (3, 7), (7, 9)], [True, False, False, True], 88, False, [False, False, True, False], 214, 'North', (13, 8))
Element 7: (3, (13, 8), ['%', '', '', '%'], [(16, 7), (3, 8), (6, 9)], [True, False, False, True], 86, False, [False, False, False, False], 243, 'North', (13, 9))
Element 8: (3, (13, 9), ['.', '', '', ''], [(17, 7), (3, 9), (6, 10)], [False, False, False, False], 84, False, [True, False, False, False], 272, 'West', (12, 9))
Element 9: (3, (12, 9), ['%', '%', '%', ''], [(18, 7), (4, 9), (6, 11)], [True, True, True, False], 82, False, [False, False, False, False], 311, 'East', (13, 9))
Element 10: (3, (13, 9), ['', '', '', ''], [(18, 8), (5, 9), (7, 11)], [False, False, False, False], 80, False, [False, False, False, False], 340, 'East', (14, 9))
Element 11: (3, (14, 9), ['', '%', '%', ''], [(18, 9), (6, 9), (8, 11)], [False, True, True, False], 78, False, [False, False, False, False], 359, 'East', (15, 9))
Element 12: (3, (15, 9), ['', '%', '.', ''], [(18, 10), (7, 9), (9, 11)], [False, True, False, False], 76, False, [False, False, True, False], 378, 'North', (15, 10))
Element 13: (3, (15, 10), ['%', '', '.', '%'], [(18, 11), (6, 9), (10, 11)], [True, False, False, True], 74, False, [False, False, True, False], 397, 'North', (15, 11))
Element 14: (3, (15, 11), ['%', '', '%', '.'], [(17, 11), (6, 10), (11, 11)], [True, False, True, False], 72, False, [False, False, False, True], 426, 'East', (16, 11))
Element 15: (3, (16, 11), ['', '%', '%', ''], [(18, 11), (6, 11), (12, 11)], [False, True, True, False], 70, False, [False, False, False, False], 445, 'East', (17, 11))
Element 16: (3, (17, 11), ['', '%', '%', ''], [(18, 10), (7, 11), (13, 11)], [False, True, True, False], 68, False, [False, False, False, False], 444, 'East', (18, 11))
Element 17: (3, (18, 11), ['', '', '%', '%'], [(18, 9), (8, 11), (13, 10)], [False, False, True, True], 66, False, [False, False, False, False], 443, 'South', (18, 10))
Element 18: (3, (18, 10), ['%', '', '', '%'], [(18, 8), (9, 11), (13, 9)], [True, False, False, True], 64, False, [False, False, False, False], 442, 'South', (18, 9))
Element 19: (3, (18, 9), ['%', '', '', '%'], [(18, 7), (9, 10), (14, 9)], [True, False, False, True], 62, False, [False, False, False, False], 451, 'South', (18, 8))
Element 20: (3, (18, 8), ['%', '', '', '%'], [(18, 6), (10, 10), (15, 9)], [True, False, False, True], 60, False, [False, False, False, False], 470, 'South', (18, 7))
Element 21: (3, (18, 7), ['', '', '', '%'], [(18, 5), (10, 9), (16, 9)], [False, False, False, True], 58, False, [False, False, False, False], 489, 'South', (18, 6))
Element 22: (3, (18, 6), ['%', '', '', '%'], [(18, 4), (9, 9), (16, 8)], [True, False, False, True], 56, False, [False, False, False, False], 508, 'South', (18, 5))
Element 23: (3, (18, 5), ['%', '', '', '%'], [(18, 3), (9, 8), (16, 7)], [True, False, False, True], 54, False, [False, False, False, False], 517, 'South', (18, 4))
Element 24: (3, (18, 4), ['%', '', '', '%'], [(18, 2), (9, 7), (16, 6)], [True, False, False, True], 52, False, [False, False, False, False], 546, 'South', (18, 3))
Element 25: (3, (18, 3), ['%', '', '', '%'], [(18, 1), (10, 7), (16, 5)], [True, False, False, True], 50, False, [False, False, False, False], 565, 'South', (18, 2))
Element 26: (3, (18, 2), ['%', '', '', '%'], [(17, 1), (11, 7), (16, 4)], [True, False, False, True], 48, False, [False, False, False, False], 594, 'South', (18, 1))
Element 27: (3, (18, 1), ['', '%', '', '%'], [(16, 1), (10, 7), (16, 3)], [False, True, False, True], 46, False, [False, False, False, False], 613, 'West', (17, 1))
Element 28: (3, (17, 1), ['', '%', '%', ''], [(15, 1), (10, 8), (15, 3)], [False, True, True, False], 44, False, [False, False, False, False], 632, 'West', (16, 1))
Element 29: (3, (16, 1), ['', '%', '%', ''], [(15, 2), (10, 7), (15, 4)], [False, True, True, False], 42, False, [False, False, False, False], 651, 'West', (15, 1))
Element 30: (3, (15, 1), ['%', '%', '', ''], [(15, 3), (9, 7), (15, 5)], [True, True, False, False], 40, False, [False, False, False, False], 660, 'North', (15, 2))
Element 31: (3, (15, 2), ['%', '', '', '%'], [(16, 3), (9, 8), (15, 6)], [True, False, False, True], 38, False, [False, False, False, False], 669, 'North', (15, 3))
Element 32: (3, (15, 3), ['%', '', '', ''], [(16, 4), (10, 8), (15, 7)], [True, False, False, False], 36, False, [False, False, False, False], 678, 'East', (16, 3))
Element 33: (3, (16, 3), ['', '%', '', '%'], [(16, 5), (9, 8), (15, 6)], [False, True, False, True], 34, False, [False, False, False, False], 677, 'North', (16, 4))
Element 34: (3, (16, 4), ['', '', '', '%'], [(16, 6), (9, 9), (15, 5)], [False, False, False, True], 32, False, [False, False, False, False], 676, 'North', (16, 5))
Element 35: (3, (16, 5), ['', '', '', '%'], [(15, 6), (10, 9), (15, 4)], [False, False, False, True], 30, False, [False, False, False, False], 675, 'North', (16, 6))
Element 36: (3, (16, 6), ['', '', '', '%'], [(15, 7), (10, 8), (15, 3)], [False, False, False, True], 28, False, [False, False, False, False], 674, 'North', (16, 7))
Element 37: (3, (16, 7), ['', '', '', ''], [(15, 6), (10, 9), (16, 3)], [False, False, False, False], 26, False, [False, False, False, False], 673, 'East', (17, 7))
Element 38: (3, (17, 7), ['', '%', '%', ''], [(15, 5), (10, 10), (16, 4)], [False, True, True, False], 24, False, [False, False, False, False], 672, 'West', (16, 7))
Element 39: (3, (16, 7), ['', '', '', ''], [(15, 4), (10, 11), (16, 3)], [False, False, False, False], 22, False, [False, False, False, False], 671, 'North', (16, 8))
Element 40: (3, (16, 8), ['%', '', '', '%'], [(15, 5), (11, 11), (16, 4)], [True, False, False, True], 20, False, [False, False, False, False], 670, 'North', (16, 9))
Element 41: (3, (16, 9), ['', '', '%', '%'], [(15, 6), (12, 11), (16, 5)], [False, False, True, True], 18, False, [False, False, False, False], 669, 'South', (16, 8))
Element 42: (3, (16, 8), ['%', '', '', '%'], [(16, 6), (13, 11), (15, 5)], [True, False, False, True], 16, False, [False, False, False, False], 668, 'South', (16, 7))
Element 43: (3, (16, 7), ['', '', '', ''], [(16, 5), (13, 10), (15, 4)], [False, False, False, False], 14, False, [False, False, False, False], 667, 'West', (15, 7))
Element 44: (3, (15, 7), ['%', '', '%', ''], [(15, 5), (13, 9), (15, 5)], [True, False, True, False], 12, False, [False, False, False, False], 666, 'South', (15, 6))
Element 45: (3, (15, 6), ['%', '', '', ''], [(16, 5), (14, 9), (15, 4)], [True, False, False, False], 10, False, [False, False, False, False], 665, 'South', (15, 5))
Element 46: (3, (15, 5), ['%', '', '', ''], [(16, 4), (15, 9), (15, 5)], [True, False, False, False], 8, False, [False, False, False, False], 664, 'South', (15, 4))
Element 47: (3, (15, 4), ['%', '', '', ''], [(16, 3), (16, 9), (15, 6)], [True, False, False, False], 6, False, [False, False, False, False], 663, 'North', (15, 5))
Element 48: (3, (15, 5), ['%', '', '', ''], [(16, 4), (16, 8), (15, 7)], [True, False, False, False], 4, False, [False, False, False, False], 662, 'North', (15, 6))
Element 49: (3, (15, 6), ['%', '', 'G', ''], [(16, 3), (16, 7), (15, 7)], [True, False, False, False], 2, False, [False, False, False, False], 661, 'South', (15, 5))
Element 50: (3, (15, 5), ['%', '', '', ''], [(16, 3), (16, 7), (15, 7)], [True, False, False, False], 0, False, [False, False, False, False], 660, 'Stop', (15, 5))
Element 51: #0#
