Element 1: (2, (16, 3), ['.', '%', '.', '%'], [(14, 9), (13, 10), (16, 7)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (16, 4))
Element 2: (2, (16, 4), ['.', '', '.', '%'], [(15, 9), (13, 9), (17, 7)], [False, False, False, True], 96, False, [True, False, True, False], 48, 'North', (16, 5))
Element 3: (2, (16, 5), ['.', '', '.', '%'], [(16, 9), (13, 8), (18, 7)], [False, False, False, True], 94, False, [True, False, True, False], 87, 'North', (16, 6))
Element 4: (2, (16, 6), ['.', '', '', '%'], [(16, 8), (13, 7), (18, 8)], [False, False, False, True], 92, False, [True, False, False, False], 126, 'West', (15, 6))
Element 5: (2, (15, 6), ['%', '.', '.', ''], [(16, 7), (13, 6), (18, 9)], [True, False, False, False], 90, False, [False, True, True, False], 155, 'North', (15, 7))
Element 6: (2, (15, 7), ['%', '', '%', ''], [(17, 7), (13, 5), (18, 10)], [True, False, True, False], 88, False, [False, False, False, False], 184, 'East', (16, 7))
Element 7: (2, (16, 7), ['', '', '', ''], [(18, 7), (13, 4), (18, 11)], [False, False, False, False], 86, False, [False, False, False, False], 193, 'East', (17, 7))
Element 8: (2, (17, 7), ['', '%', '%', ''], [(18, 6), (13, 3), (17, 11)], [False, True, True, False], 84, False, [False, False, False, False], 222, 'East', (18, 7))
Element 9: (2, (18, 7), ['', '', '', '%'], [(18, 5), (13, 2), (16, 11)], [False, False, False, True], 82, False, [False, False, False, False], 251, 'North', (18, 8))
Element 10: (2, (18, 8), ['%', '', '', '%'], [(18, 4), (13, 1), (15, 11)], [True, False, False, True], 80, False, [False, False, False, False], 280, 'North', (18, 9))
Element 11: (2, (18, 9), ['%', '', '', '%'], [(18, 3), (12, 1), (15, 10)], [True, False, False, True], 78, False, [False, False, False, False], 309, 'North', (18, 10))
Element 12: (2, (18, 10), ['%', '', '', '%'], [(18, 2), (11, 1), (15, 9)], [True, False, False, True], 76, False, [False, False, False, False], 328, 'North', (18, 11))
