Element 1: (0, (18, 2), ['%', '', 'G', '%'], [(1, 9), (13, 4), (18, 3)], [True, False, False, True], 98, False, [False, False, False, False], 0, 'South', (18, 1))
Element 2: (0, (18, 1), ['.', '%', '', '%'], [(1, 10), (13, 5), (18, 4)], [False, True, False, True], 96, False, [True, False, False, False], 29, 'West', (17, 1))
Element 3: (0, (17, 1), ['.', '%', '%', ''], [(1, 11), (13, 6), (18, 5)], [False, True, True, False], 94, False, [True, False, False, False], 58, 'West', (16, 1))
Element 4: (0, (16, 1), ['.', '%', '%', ''], [(2, 11), (13, 7), (18, 6)], [False, True, True, False], 92, False, [True, False, False, False], 97, 'West', (15, 1))
Element 5: (0, (15, 1), ['%', '%', '.', ''], [(3, 11), (13, 8), (18, 7)], [True, True, False, False], 90, False, [False, False, True, False], 136, 'North', (15, 2))
Element 6: (0, (15, 2), ['%', '', '.', '%'], [(4, 11), (13, 9), (18, 8)], [True, False, False, True], 88, False, [False, False, True, False], 175, 'North', (15, 3))
Element 7: (0, (15, 3), ['%', '', '.', '.'], [(4, 10), (14, 9), (18, 9)], [True, False, False, False], 86, False, [False, False, True, True], 214, 'East', (16, 3))
Element 8: (0, (16, 3), ['', '%', '.', '%'], [(4, 9), (15, 9), (18, 10)], [False, True, False, True], 84, False, [False, False, True, False], 253, 'North', (16, 4))
Element 9: (0, (16, 4), ['.', '', '.', '%'], [(5, 9), (16, 9), (18, 11)], [False, False, False, True], 82, False, [True, False, True, False], 282, 'North', (16, 5))
Element 10: (0, (16, 5), ['.', '', '.', '%'], [(6, 9), (16, 8), (17, 11)], [False, False, False, True], 80, False, [True, False, True, False], 321, 'North', (16, 6))
Element 11: (0, (16, 6), ['.', '', 'G', '%'], [(7, 9), (16, 7), (16, 11)], [False, False, False, True], 78, False, [True, False, False, False], 360, 'West', (15, 6))
Element 12: (0, (15, 6), ['%', '.', '.', ''], [(6, 9), (17, 7), (15, 11)], [True, False, False, False], 76, False, [False, True, True, False], 389, 'North', (15, 7))
Element 13: (0, (15, 7), ['%', '', '%', ''], [(6, 10), (18, 7), (15, 10)], [True, False, True, False], 74, False, [False, False, False, False], 418, 'East', (16, 7))
Element 14: (0, (16, 7), ['', '', '', ''], [(6, 11), (18, 8), (15, 9)], [False, False, False, False], 72, False, [False, False, False, False], 427, 'East', (17, 7))
Element 15: (0, (17, 7), ['', '%', '%', ''], [(7, 11), (18, 9), (16, 9)], [False, True, True, False], 70, False, [False, False, False, False], 436, 'East', (18, 7))
Element 16: (0, (18, 7), ['', '', '', '%'], [(8, 11), (18, 10), (16, 8)], [False, False, False, True], 68, False, [False, False, False, False], 445, 'North', (18, 8))
Element 17: (0, (18, 8), ['%', '', '', '%'], [(9, 11), (18, 11), (16, 7)], [True, False, False, True], 66, False, [False, False, False, False], 454, 'North', (18, 9))
Element 18: (0, (18, 9), ['%', '', '', '%'], [(10, 11), (17, 11), (17, 7)], [True, False, False, True], 64, False, [False, False, False, False], 463, 'North', (18, 10))
Element 19: (0, (18, 10), ['%', '', '', '%'], [(11, 11), (16, 11), (16, 7)], [True, False, False, True], 62, False, [False, False, False, False], 472, 'North', (18, 11))
Element 20: (0, (18, 11), ['', '', '%', '%'], [(12, 11), (15, 11), (16, 6)], [False, False, True, True], 60, False, [False, False, False, False], 481, 'West', (17, 11))
Element 21: (0, (17, 11), ['', '%', '%', ''], [(13, 11), (15, 10), (16, 5)], [False, True, True, False], 58, False, [False, False, False, False], 490, 'West', (16, 11))
Element 22: (0, (16, 11), ['G', '%', '%', ''], [(13, 10), (15, 11), (15, 5)], [False, True, True, False], 56, False, [False, False, False, False], 509, 'East', (17, 11))
Element 23: (0, (17, 11), ['G', '%', '%', ''], [(13, 9), (16, 11), (15, 4)], [False, True, True, False], 54, False, [False, False, False, False], 518, 'East', (18, 11))
Element 24: (0, (18, 11), ['G', '', '%', '%'], [(12, 9), (17, 11), (16, 4)], [False, False, True, True], 52, False, [False, False, False, False], 527, 'South', (18, 10))
Element 25: (0, (18, 10), ['%', '', 'G', '%'], [(13, 9), (18, 11), (16, 3)], [True, False, False, True], 50, False, [False, False, False, False], 526, 'South', (18, 9))
Element 26: (0, (18, 9), ['%', '', 'G', '%'], [(14, 9), (18, 10), (15, 3)], [True, False, False, True], 48, False, [False, False, False, False], 525, 'South', (18, 8))
Element 27: (0, (18, 8), ['%', '', 'G', '%'], [(15, 9), (18, 9), (15, 2)], [True, False, False, True], 46, False, [False, False, False, False], 524, 'South', (18, 7))
Element 28: (0, (18, 7), ['', '', 'G', '%'], [(16, 9), (18, 8), (15, 1)], [False, False, False, True], 44, False, [False, False, False, False], 523, 'South', (18, 6))
Element 29: (0, (18, 6), ['%', '', 'G', '%'], [(16, 8), (18, 7), (16, 1)], [True, False, False, True], 42, False, [False, False, False, False], 522, 'South', (18, 5))
Element 30: (0, (18, 5), ['%', '', 'G', '%'], [(16, 7), (18, 6), (17, 1)], [True, False, False, True], 40, False, [False, False, False, False], 521, 'South', (18, 4))
Element 31: (0, (18, 4), ['%', '', 'G', '%'], [(17, 7), (18, 5), (18, 1)], [True, False, False, True], 38, False, [False, False, False, False], 520, 'South', (18, 3))
Element 32: (0, (18, 3), ['%', 'G', 'G', '%'], [(18, 7), (18, 4), (18, 2)], [True, False, False, True], 36, False, [False, False, False, False], 519, 'Stop', (18, 3))
Element 33: (0, (18, 3), ['%', '', '', '%'], [(18, 8), (18, 5), (18, 1)], [True, False, False, True], 34, False, [False, False, False, False], 518, 'South', (18, 2))
Element 34: (0, (18, 2), ['%', '', '', '%'], [(18, 9), (18, 6), (17, 1)], [True, False, False, True], 32, False, [False, False, False, False], 517, 'South', (18, 1))
Element 35: (0, (18, 1), ['', '%', '', '%'], [(18, 10), (18, 7), (16, 1)], [False, True, False, True], 30, False, [False, False, False, False], 516, 'West', (17, 1))
Element 36: (0, (17, 1), ['', '%', '%', ''], [(18, 11), (17, 7), (15, 1)], [False, True, True, False], 28, False, [False, False, False, False], 515, 'West', (16, 1))
Element 37: (0, (16, 1), ['', '%', '%', ''], [(17, 11), (16, 7), (15, 2)], [False, True, True, False], 26, False, [False, False, False, False], 514, 'West', (15, 1))
Element 38: (0, (15, 1), ['%', '%', '', ''], [(16, 11), (15, 7), (15, 3)], [True, True, False, False], 24, False, [False, False, False, False], 513, 'North', (15, 2))
Element 39: (0, (15, 2), ['%', '', '', '%'], [(15, 11), (15, 6), (16, 3)], [True, False, False, True], 22, False, [False, False, False, False], 512, 'North', (15, 3))
Element 40: (0, (15, 3), ['%', '', '', ''], [(15, 10), (16, 6), (16, 4)], [True, False, False, False], 20, False, [False, False, False, False], 511, 'North', (15, 4))
Element 41: (0, (15, 4), ['%', '', '', ''], [(15, 11), (16, 5), (16, 3)], [True, False, False, False], 18, False, [False, False, False, False], 510, 'North', (15, 5))
Element 42: (0, (15, 5), ['%', '', '', ''], [(16, 11), (16, 4), (15, 3)], [True, False, False, False], 16, False, [False, False, False, False], 509, 'South', (15, 4))
Element 43: (0, (15, 4), ['%', '', '', ''], [(17, 11), (16, 3), (15, 2)], [True, False, False, False], 14, False, [False, False, False, False], 508, 'North', (15, 5))
Element 44: (0, (15, 5), ['%', '', '', ''], [(18, 11), (15, 3), (15, 1)], [True, False, False, False], 12, False, [False, False, False, False], 507, 'Stop', (15, 5))
Element 45: (0, (15, 5), ['%', 'G', '', ''], [(18, 10), (15, 4), (15, 2)], [True, False, False, False], 10, False, [False, False, False, False], 506, 'North', (15, 6))
Element 46: (0, (15, 6), ['%', 'G', '', ''], [(18, 9), (15, 5), (15, 1)], [True, False, False, False], 8, False, [False, False, False, False], 505, 'East', (16, 6))
Element 47: (0, (16, 6), ['', '', '', '%'], [(18, 8), (15, 4), (15, 2)], [False, False, False, True], 6, False, [False, False, False, False], 504, 'South', (16, 5))
Element 48: (0, (16, 5), ['', '', '', '%'], [(18, 7), (15, 3), (15, 3)], [False, False, False, True], 4, False, [False, False, False, False], 503, 'West', (15, 5))
Element 49: (0, (15, 5), ['%', 'G', '', ''], [(18, 6), (15, 2), (15, 4)], [True, False, False, False], 2, False, [False, False, False, False], 502, 'East', (16, 5))
Element 50: (0, (16, 5), ['G', '', '', '%'], [(18, 5), (15, 1), (15, 5)], [False, False, False, True], 0, False, [False, False, False, False], 501, 'Stop', (16, 5))
Element 51: #0#
