Element 1: (1, (4, 9), ['.', '%', '.', '.'], [(13, 10), (8, 3), (9, 3)], [False, True, False, False], 98, False, [True, False, True, True], 9, 'East', (5, 9))
Element 2: (1, (5, 9), ['', '%', '%', '.'], [(13, 9), (7, 3), (10, 3)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (6, 9))
Element 3: (1, (6, 9), ['', '.', '.', '.'], [(14, 9), (6, 3), (11, 3)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (7, 9))
Element 4: (1, (7, 9), ['', '%', '%', '%'], [(15, 9), (6, 4), (12, 3)], [False, True, True, True], 92, False, [False, False, False, False], 126, 'West', (6, 9))
Element 5: (1, (6, 9), ['', '.', '.', ''], [(16, 9), (6, 5), (13, 3)], [False, False, False, False], 90, False, [False, True, True, False], 155, 'North', (6, 10))
Element 6: (1, (6, 10), ['%', '', '.', '%'], [(16, 8), (6, 6), (13, 4)], [True, False, False, True], 88, False, [False, False, True, False], 194, 'North', (6, 11))
Element 7: (1, (6, 11), ['%', '', '%', '.'], [(16, 7), (6, 7), (13, 5)], [True, False, True, False], 86, False, [False, False, False, True], 233, 'East', (7, 11))
Element 8: (1, (7, 11), ['', '%', '%', '.'], [(17, 7), (6, 8), (13, 6)], [False, True, True, False], 84, False, [False, False, False, True], 272, 'East', (8, 11))
Element 9: (1, (8, 11), ['', '%', '%', '.'], [(18, 7), (6, 9), (13, 7)], [False, True, True, False], 82, False, [False, False, False, True], 301, 'East', (9, 11))
Element 10: (1, (9, 11), ['', '.', '%', '.'], [(18, 8), (7, 9), (13, 8)], [False, False, True, False], 80, False, [False, True, False, True], 330, 'East', (10, 11))
Element 11: (1, (10, 11), ['', '.', '%', '.'], [(18, 9), (6, 9), (13, 9)], [False, False, True, False], 78, False, [False, True, False, True], 349, 'East', (11, 11))
Element 12: (1, (11, 11), ['', '%', '%', '.'], [(18, 10), (6, 10), (12, 9)], [False, True, True, False], 76, False, [False, False, False, True], 378, 'East', (12, 11))
Element 13: (1, (12, 11), ['', '%', '%', ''], [(18, 11), (6, 11), (13, 9)], [False, True, True, False], 74, False, [False, False, False, False], 387, 'East', (13, 11))
Element 14: (1, (13, 11), ['', '', '%', '%'], [(17, 11), (7, 11), (14, 9)], [False, False, True, True], 72, False, [False, False, False, False], 396, 'South', (13, 10))
Element 15: (1, (13, 10), ['%', '', '', '%'], [(16, 11), (8, 11), (15, 9)], [True, False, False, True], 70, False, [False, False, False, False], 405, 'South', (13, 9))
Element 16: (1, (13, 9), ['', '', '', ''], [(15, 11), (9, 11), (15, 10)], [False, False, False, False], 68, False, [False, False, False, False], 424, 'East', (14, 9))
Element 17: (1, (14, 9), ['', '%', '%', 'G'], [(15, 10), (9, 10), (15, 9)], [False, True, True, False], 66, False, [False, False, False, False], 433, 'West', (13, 9))
Element 18: (1, (13, 9), ['', '', '', ''], [(15, 11), (10, 10), (16, 9)], [False, False, False, False], 64, False, [False, False, False, False], 442, 'South', (13, 8))
Element 19: (1, (13, 8), ['%', '', '', '%'], [(16, 11), (10, 9), (16, 8)], [True, False, False, True], 62, False, [False, False, False, False], 451, 'South', (13, 7))
Element 20: (1, (13, 7), ['%', '', '', '%'], [(17, 11), (9, 9), (16, 7)], [True, False, False, True], 60, False, [False, False, False, False], 460, 'South', (13, 6))
Element 21: (1, (13, 6), ['%', '', '', '%'], [(18, 11), (9, 8), (16, 6)], [True, False, False, True], 58, False, [False, False, False, False], 469, 'South', (13, 5))
Element 22: (1, (13, 5), ['%', '', '', '%'], [(18, 10), (9, 7), (16, 5)], [True, False, False, True], 56, False, [False, False, False, False], 488, 'South', (13, 4))
