Element 1: (2, (8, 3), ['.', '%', '', '.'], [(6, 5), (5, 7), (11, 3)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (9, 3))
Element 2: (2, (9, 3), ['', '%', '%', '.'], [(6, 6), (6, 7), (12, 3)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (10, 3))
Element 3: (2, (10, 3), ['', '%', '%', ''], [(5, 6), (6, 8), (13, 3)], [False, True, True, False], 94, False, [False, False, False, False], 97, 'East', (11, 3))
Element 4: (2, (11, 3), ['', '%', '%', ''], [(4, 6), (6, 9), (13, 4)], [False, True, True, False], 92, False, [False, False, False, False], 126, 'East', (12, 3))
Element 5: (2, (12, 3), ['', '%', '%', ''], [(4, 5), (7, 9), (13, 5)], [False, True, True, False], 90, False, [False, False, False, False], 155, 'East', (13, 3))
Element 6: (2, (13, 3), ['', '.', '', '%'], [(4, 4), (6, 9), (13, 6)], [False, False, False, True], 88, False, [False, True, False, False], 174, 'South', (13, 2))
Element 7: (2, (13, 2), ['%', '.', '', '%'], [(5, 4), (6, 10), (13, 7)], [True, False, False, True], 86, False, [False, True, False, False], 213, 'South', (13, 1))
Element 8: (2, (13, 1), ['.', '%', '', '%'], [(6, 4), (6, 11), (13, 8)], [False, True, False, True], 84, False, [True, False, False, False], 252, 'West', (12, 1))
Element 9: (2, (12, 1), ['.', '%', '%', ''], [(6, 3), (7, 11), (13, 9)], [False, True, True, False], 82, False, [True, False, False, False], 291, 'West', (11, 1))
Element 10: (2, (11, 1), ['.', '%', '%', ''], [(7, 3), (8, 11), (14, 9)], [False, True, True, False], 80, False, [True, False, False, False], 330, 'West', (10, 1))
Element 11: (2, (10, 1), ['.', '%', '%', ''], [(8, 3), (9, 11), (15, 9)], [False, True, True, False], 78, False, [True, False, False, False], 359, 'West', (9, 1))
Element 12: (2, (9, 1), ['.', '%', '%', ''], [(9, 3), (10, 11), (16, 9)], [False, True, True, False], 76, False, [True, False, False, False], 388, 'West', (8, 1))
Element 13: (2, (8, 1), ['.', '%', '%', ''], [(10, 3), (11, 11), (16, 8)], [False, True, True, False], 74, False, [True, False, False, False], 417, 'West', (7, 1))
Element 14: (2, (7, 1), ['.', '%', '%', ''], [(11, 3), (12, 11), (16, 7)], [False, True, True, False], 72, False, [True, False, False, False], 446, 'West', (6, 1))
Element 15: (2, (6, 1), ['%', '%', '.', ''], [(12, 3), (13, 11), (17, 7)], [True, True, False, False], 70, False, [False, False, True, False], 475, 'North', (6, 2))
Element 16: (2, (6, 2), ['%', '', '', '%'], [(13, 3), (13, 10), (18, 7)], [True, False, False, True], 68, False, [False, False, False, False], 504, 'North', (6, 3))
Element 17: (2, (6, 3), ['.', '', '', ''], [(13, 4), (13, 9), (18, 8)], [False, False, False, False], 66, False, [True, False, False, False], 513, 'West', (5, 3))
Element 18: (2, (5, 3), ['.', '%', '', ''], [(13, 5), (12, 9), (18, 9)], [False, True, False, False], 64, False, [True, False, False, False], 542, 'West', (4, 3))
Element 19: (2, (4, 3), ['.', '.', '', ''], [(13, 6), (13, 9), (18, 10)], [False, False, False, False], 62, False, [True, True, False, False], 561, 'South', (4, 2))
Element 20: (2, (4, 2), ['F', '.', '', '%'], [(13, 7), (14, 9), (18, 11)], [False, False, False, True], 60, False, [False, True, False, False], 570, 'West', (3, 2))
Element 21: (2, (3, 2), ['F', '.', '.', ''], [(13, 8), (15, 9), (17, 11)], [False, False, False, False], 58, False, [False, True, True, False], 1579, 'West', (2, 2))
Element 22: #1#
