Element 1: (3, (16, 6), ['.', '.', '.', '%'], [(13, 6), (7, 9), (11, 3)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (16, 7))
Element 2: (3, (16, 7), ['.', '', '.', '.'], [(13, 7), (6, 9), (12, 3)], [False, False, False, False], 96, False, [True, False, True, True], 58, 'East', (17, 7))
Element 3: (3, (17, 7), ['', '%', '%', '.'], [(13, 8), (6, 10), (13, 3)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (18, 7))
Element 4: (3, (18, 7), ['', '.', '.', '%'], [(13, 9), (6, 11), (13, 4)], [False, False, False, True], 92, False, [False, True, True, False], 136, 'North', (18, 8))
Element 5: (3, (18, 8), ['%', '', '.', '%'], [(14, 9), (7, 11), (13, 5)], [True, False, False, True], 90, False, [False, False, True, False], 165, 'North', (18, 9))
Element 6: (3, (18, 9), ['%', '', '.', '%'], [(15, 9), (8, 11), (13, 6)], [True, False, False, True], 88, False, [False, False, True, False], 194, 'North', (18, 10))
Element 7: (3, (18, 10), ['%', '', '', '%'], [(16, 9), (9, 11), (13, 7)], [True, False, False, True], 86, False, [False, False, False, False], 223, 'North', (18, 11))
Element 8: (3, (18, 11), ['.', '', '%', '%'], [(16, 8), (10, 11), (13, 8)], [False, False, True, True], 84, False, [True, False, False, False], 242, 'West', (17, 11))
Element 9: (3, (17, 11), ['.', '%', '%', ''], [(16, 7), (11, 11), (13, 9)], [False, True, True, False], 82, False, [True, False, False, False], 261, 'West', (16, 11))
Element 10: (3, (16, 11), ['.', '%', '%', ''], [(15, 7), (12, 11), (13, 10)], [False, True, True, False], 80, False, [True, False, False, False], 300, 'West', (15, 11))
Element 11: (3, (15, 11), ['%', '.', '%', ''], [(15, 6), (13, 11), (13, 9)], [True, False, True, False], 78, False, [False, True, False, False], 329, 'South', (15, 10))
Element 12: (3, (15, 10), ['%', '', '', '%'], [(15, 5), (13, 10), (12, 9)], [True, False, False, True], 76, False, [False, False, False, False], 358, 'South', (15, 9))
Element 13: (3, (15, 9), ['', '%', '', ''], [(16, 5), (13, 9), (12, 9)], [False, True, False, False], 74, False, [False, False, False, False], 367, 'East', (16, 9))
Element 14: (3, (16, 9), ['', '', '%', '%'], [(16, 4), (14, 9), (13, 9)], [False, False, True, True], 72, False, [False, False, False, False], 376, 'South', (16, 8))
Element 15: (3, (16, 8), ['%', '', '', '%'], [(16, 3), (15, 9), (13, 9)], [True, False, False, True], 70, False, [False, False, False, False], 385, 'North', (16, 9))
Element 16: (3, (16, 9), ['', '', '%', '%'], [(15, 3), (15, 10), (13, 8)], [False, False, True, True], 68, False, [False, False, False, False], 394, 'West', (15, 9))
Element 17: (3, (15, 9), ['', '%', '', ''], [(15, 4), (15, 11), (13, 7)], [False, True, False, False], 66, False, [False, False, False, False], 403, 'West', (14, 9))
Element 18: (3, (14, 9), ['', '%', '%', ''], [(15, 3), (16, 11), (13, 6)], [False, True, True, False], 64, False, [False, False, False, False], 402, 'West', (13, 9))
Element 19: (3, (13, 9), ['', '', '', ''], [(15, 2), (17, 11), (13, 5)], [False, False, False, False], 62, False, [False, False, False, False], 411, 'North', (13, 10))
Element 20: (3, (13, 10), ['%', '', '', '%'], [(15, 1), (18, 11), (13, 4)], [True, False, False, True], 60, False, [False, False, False, False], 420, 'North', (13, 11))
Element 21: (3, (13, 11), ['', '', '%', '%'], [(16, 1), (18, 10), (13, 3)], [False, False, True, True], 58, False, [False, False, False, False], 429, 'West', (12, 11))
Element 22: (3, (12, 11), ['', '%', '%', ''], [(17, 1), (18, 9), (13, 2)], [False, True, True, False], 56, False, [False, False, False, False], 448, 'West', (11, 11))
Element 23: (3, (11, 11), ['', '%', '%', ''], [(18, 1), (18, 8), (13, 1)], [False, True, True, False], 54, False, [False, False, False, False], 457, 'West', (10, 11))
Element 24: (3, (10, 11), ['', '.', '%', ''], [(18, 2), (18, 7), (12, 1)], [False, False, True, False], 52, False, [False, True, False, False], 476, 'South', (10, 10))
Element 25: (3, (10, 10), ['.', '.', '', '%'], [(18, 3), (18, 6), (11, 1)], [False, False, False, True], 50, False, [True, True, False, False], 515, 'South', (10, 9))
Element 26: (3, (10, 9), ['.', '', '', '%'], [(18, 4), (18, 5), (10, 1)], [False, False, False, True], 48, False, [True, False, False, False], 554, 'West', (9, 9))
Element 27: (3, (9, 9), ['%', '', '.', ''], [(18, 3), (18, 4), (9, 1)], [True, False, False, False], 46, False, [False, False, True, False], 573, 'North', (9, 10))
Element 28: (3, (9, 10), ['%', '', '', ''], [(18, 2), (18, 3), (8, 1)], [True, False, False, False], 44, False, [False, False, False, False], 592, 'North', (9, 11))
Element 29: (3, (9, 11), ['', '', '%', ''], [(18, 1), (18, 2), (7, 1)], [False, False, True, False], 42, False, [False, False, False, False], 601, 'West', (8, 11))
Element 30: (3, (8, 11), ['', '%', '%', ''], [(17, 1), (18, 1), (6, 1)], [False, True, True, False], 40, False, [False, False, False, False], 610, 'West', (7, 11))
Element 31: (3, (7, 11), ['', '%', '%', ''], [(16, 1), (17, 1), (6, 2)], [False, True, True, False], 38, False, [False, False, False, False], 619, 'West', (6, 11))
Element 32: (3, (6, 11), ['%', '', '%', ''], [(15, 1), (16, 1), (6, 3)], [True, False, True, False], 36, False, [False, False, False, False], 628, 'South', (6, 10))
Element 33: (3, (6, 10), ['%', '', '', '%'], [(15, 2), (15, 1), (7, 3)], [True, False, False, True], 34, False, [False, False, False, False], 637, 'South', (6, 9))
Element 34: (3, (6, 9), ['.', '.', '', ''], [(15, 3), (15, 2), (8, 3)], [False, False, False, False], 32, False, [True, True, False, False], 646, 'South', (6, 8))
