Element 1: (0, (17, 1), ['.', '%', '%', ''], [(1, 10), (5, 4), (18, 2)], [False, True, True, False], 98, False, [True, False, False, False], 0, 'West', (16, 1))
Element 2: (0, (16, 1), ['.', '%', '%', ''], [(1, 9), (6, 4), (18, 3)], [False, True, True, False], 96, False, [True, False, False, False], 39, 'West', (15, 1))
Element 3: (0, (15, 1), ['%', '%', '.', ''], [(1, 8), (6, 5), (18, 4)], [True, True, False, False], 94, False, [False, False, True, False], 78, 'North', (15, 2))
Element 4: (0, (15, 2), ['%', '', '.', '%'], [(1, 7), (6, 6), (18, 5)], [True, False, False, True], 92, False, [False, False, True, False], 117, 'North', (15, 3))
Element 5: (0, (15, 3), ['%', '', '.', '.'], [(2, 7), (6, 7), (18, 6)], [True, False, False, False], 90, False, [False, False, True, True], 156, 'East', (16, 3))
Element 6: (0, (16, 3), ['', '%', '.', '%'], [(3, 7), (6, 8), (18, 7)], [False, True, False, True], 88, False, [False, False, True, False], 195, 'North', (16, 4))
Element 7: (0, (16, 4), ['.', '', '.', '%'], [(4, 7), (6, 9), (18, 8)], [False, False, False, True], 86, False, [True, False, True, False], 234, 'North', (16, 5))
Element 8: (0, (16, 5), ['.', '', '.', '%'], [(5, 7), (7, 9), (18, 9)], [False, False, False, True], 84, False, [True, False, True, False], 273, 'North', (16, 6))
Element 9: (0, (16, 6), ['.', '', '.', '%'], [(5, 6), (6, 9), (18, 10)], [False, False, False, True], 82, False, [True, False, True, False], 302, 'North', (16, 7))
Element 10: (0, (16, 7), ['.', '', '.', '.'], [(5, 5), (6, 10), (18, 11)], [False, False, False, False], 80, False, [True, False, True, True], 331, 'East', (17, 7))
Element 11: (0, (17, 7), ['', '%', '%', ''], [(4, 5), (6, 11), (17, 11)], [False, True, True, False], 78, False, [False, False, False, False], 370, 'East', (18, 7))
Element 12: (0, (18, 7), ['', '', '', '%'], [(4, 6), (7, 11), (16, 11)], [False, False, False, True], 76, False, [False, False, False, False], 399, 'North', (18, 8))
Element 13: (0, (18, 8), ['%', '', '', '%'], [(3, 6), (8, 11), (15, 11)], [True, False, False, True], 74, False, [False, False, False, False], 428, 'North', (18, 9))
Element 14: (0, (18, 9), ['%', '', '', '%'], [(3, 5), (9, 11), (15, 10)], [True, False, False, True], 72, False, [False, False, False, False], 457, 'North', (18, 10))
Element 15: (0, (18, 10), ['%', '', '', '%'], [(3, 4), (10, 11), (15, 9)], [True, False, False, True], 70, False, [False, False, False, False], 486, 'North', (18, 11))
Element 16: (0, (18, 11), ['', '', '%', '%'], [(4, 4), (11, 11), (16, 9)], [False, False, True, True], 68, False, [False, False, False, False], 515, 'West', (17, 11))
Element 17: (0, (17, 11), ['', '%', '%', ''], [(4, 3), (12, 11), (16, 8)], [False, True, True, False], 66, False, [False, False, False, False], 544, 'West', (16, 11))
Element 18: (0, (16, 11), ['', '%', '%', ''], [(5, 3), (13, 11), (16, 7)], [False, True, True, False], 64, False, [False, False, False, False], 563, 'West', (15, 11))
Element 19: (0, (15, 11), ['%', '', '%', ''], [(6, 3), (13, 10), (15, 7)], [True, False, True, False], 62, False, [False, False, False, False], 592, 'South', (15, 10))
Element 20: (0, (15, 10), ['%', '', '', '%'], [(7, 3), (13, 9), (15, 6)], [True, False, False, True], 60, False, [False, False, False, False], 621, 'South', (15, 9))
Element 21: (0, (15, 9), ['G', '%', '', ''], [(8, 3), (14, 9), (15, 5)], [False, True, False, False], 58, False, [False, False, False, False], 650, 'East', (16, 9))
Element 22: (0, (16, 9), ['G', '', '%', '%'], [(9, 3), (15, 9), (15, 4)], [False, False, True, True], 56, False, [False, False, False, False], 669, 'South', (16, 8))
Element 23: (0, (16, 8), ['%', '', 'G', '%'], [(10, 3), (16, 9), (16, 4)], [True, False, False, True], 54, False, [False, False, False, False], 678, 'South', (16, 7))
Element 24: (0, (16, 7), ['', '', 'G', ''], [(11, 3), (16, 8), (16, 5)], [False, False, False, False], 52, False, [False, False, False, False], 687, 'North', (16, 8))
Element 25: (0, (16, 8), ['%', 'G', '', '%'], [(12, 3), (16, 7), (16, 6)], [True, False, False, True], 50, False, [False, False, False, False], 696, 'North', (16, 9))
Element 26: (0, (16, 9), ['', '', '%', '%'], [(13, 3), (17, 7), (16, 5)], [False, False, True, True], 48, False, [False, False, False, False], 705, 'Stop', (16, 9))
Element 27: (0, (16, 9), ['', '', '%', '%'], [(13, 4), (18, 7), (16, 4)], [False, False, True, True], 46, False, [False, False, False, False], 714, 'Stop', (16, 9))
Element 28: (0, (16, 9), ['', '', '%', '%'], [(13, 5), (18, 8), (16, 3)], [False, False, True, True], 44, False, [False, False, False, False], 723, 'Stop', (16, 9))
Element 29: (0, (16, 9), ['', '', '%', '%'], [(13, 6), (18, 9), (15, 3)], [False, False, True, True], 42, False, [False, False, False, False], 732, 'Stop', (16, 9))
Element 30: (0, (16, 9), ['', '', '%', '%'], [(13, 7), (18, 10), (15, 2)], [False, False, True, True], 40, False, [False, False, False, False], 741, 'West', (15, 9))
Element 31: (0, (15, 9), ['', '%', '', ''], [(13, 8), (18, 11), (15, 1)], [False, True, False, False], 38, False, [False, False, False, False], 750, 'East', (16, 9))
Element 32: (0, (16, 9), ['', '', '%', '%'], [(13, 9), (17, 11), (16, 1)], [False, False, True, True], 36, False, [False, False, False, False], 749, 'South', (16, 8))
Element 33: (0, (16, 8), ['%', '', '', '%'], [(12, 9), (16, 11), (17, 1)], [True, False, False, True], 34, False, [False, False, False, False], 758, 'South', (16, 7))
Element 34: (0, (16, 7), ['', '', '', ''], [(13, 9), (15, 11), (18, 1)], [False, False, False, False], 32, False, [False, False, False, False], 757, 'South', (16, 6))
Element 35: (0, (16, 6), ['', '', '', '%'], [(14, 9), (15, 10), (17, 1)], [False, False, False, True], 30, False, [False, False, False, False], 756, 'North', (16, 7))
Element 36: (0, (16, 7), ['', '', '', ''], [(15, 9), (15, 11), (16, 1)], [False, False, False, False], 28, False, [False, False, False, False], 755, 'East', (17, 7))
Element 37: (0, (17, 7), ['', '%', '%', ''], [(16, 9), (16, 11), (15, 1)], [False, True, True, False], 26, False, [False, False, False, False], 754, 'West', (16, 7))
Element 38: (0, (16, 7), ['', '', 'G', ''], [(16, 8), (17, 11), (15, 2)], [False, False, False, False], 24, False, [False, False, False, False], 753, 'West', (15, 7))
Element 39: (0, (15, 7), ['%', '', '%', 'G'], [(16, 7), (18, 11), (15, 3)], [True, False, True, False], 22, False, [False, False, False, False], 752, 'South', (15, 6))
