Element 1: (3, (12, 9), ['%', '%', '%', '.'], [(4, 5), (4, 4), (7, 9)], [True, True, True, False], 98, False, [False, False, False, True], 29, 'East', (13, 9))
Element 2: (3, (13, 9), ['', '.', '.', '.'], [(5, 5), (5, 4), (6, 9)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (14, 9))
Element 3: (3, (14, 9), ['', '%', '%', '.'], [(6, 5), (6, 4), (6, 10)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (15, 9))
Element 4: (3, (15, 9), ['', '%', '.', '.'], [(6, 6), (6, 3), (6, 11)], [False, True, False, False], 92, False, [False, False, True, True], 136, 'East', (16, 9))
Element 5: (3, (16, 9), ['', '.', '%', '%'], [(6, 7), (7, 3), (7, 11)], [False, False, True, True], 90, False, [False, True, False, False], 175, 'South', (16, 8))
Element 6: (3, (16, 8), ['%', '.', '', '%'], [(6, 8), (8, 3), (8, 11)], [True, False, False, True], 88, False, [False, True, False, False], 214, 'South', (16, 7))
Element 7: (3, (16, 7), ['.', '.', '', '.'], [(6, 9), (9, 3), (9, 11)], [False, False, False, False], 86, False, [True, True, False, True], 243, 'East', (17, 7))
Element 8: (3, (17, 7), ['', '%', '%', '.'], [(5, 9), (10, 3), (10, 11)], [False, True, True, False], 84, False, [False, False, False, True], 282, 'East', (18, 7))
Element 9: (3, (18, 7), ['', '.', '.', '%'], [(4, 9), (11, 3), (11, 11)], [False, False, False, True], 82, False, [False, True, True, False], 321, 'North', (18, 8))
Element 10: (3, (18, 8), ['%', '', '.', '%'], [(4, 10), (12, 3), (12, 11)], [True, False, False, True], 80, False, [False, False, True, False], 360, 'North', (18, 9))
Element 11: (3, (18, 9), ['%', '', '.', '%'], [(4, 11), (13, 3), (13, 11)], [True, False, False, True], 78, False, [False, False, True, False], 399, 'North', (18, 10))
Element 12: (3, (18, 10), ['%', '', '', '%'], [(3, 11), (13, 4), (13, 10)], [True, False, False, True], 76, False, [False, False, False, False], 438, 'North', (18, 11))
Element 13: (3, (18, 11), ['.', '', '%', '%'], [(2, 11), (13, 5), (13, 9)], [False, False, True, True], 74, False, [True, False, False, False], 457, 'West', (17, 11))
