Element 1: (1, (2, 11), ['', '%', '%', '.'], [(6, 11), (6, 4), (11, 11)], [False, True, True, False], 98, False, [False, False, False, True], 9, 'East', (3, 11))
Element 2: (1, (3, 11), ['', '%', '%', '.'], [(7, 11), (6, 5), (12, 11)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (4, 11))
Element 3: (1, (4, 11), ['', '.', '%', '%'], [(8, 11), (6, 6), (13, 11)], [False, False, True, True], 94, False, [False, True, False, False], 87, 'South', (4, 10))
Element 4: (1, (4, 10), ['%', '.', '', '%'], [(9, 11), (6, 7), (13, 10)], [True, False, False, True], 92, False, [False, True, False, False], 126, 'South', (4, 9))
Element 5: (1, (4, 9), ['.', '%', '', '.'], [(10, 11), (6, 8), (13, 9)], [False, True, False, False], 90, False, [True, False, False, True], 165, 'East', (5, 9))
Element 6: (1, (5, 9), ['', '%', '%', 'G'], [(10, 10), (6, 9), (14, 9)], [False, True, True, False], 88, False, [False, False, False, False], 204, 'West', (4, 9))
Element 7: (1, (4, 9), ['.', '%', '', ''], [(10, 9), (7, 9), (15, 9)], [False, True, False, False], 86, False, [True, False, False, False], 233, 'West', (3, 9))
Element 8: (1, (3, 9), ['%', '.', '%', ''], [(9, 9), (6, 9), (16, 9)], [True, False, True, False], 84, False, [False, True, False, False], 262, 'South', (3, 8))
Element 9: (1, (3, 8), ['%', '.', '', '%'], [(9, 10), (6, 10), (16, 8)], [True, False, False, True], 82, False, [False, True, False, False], 291, 'South', (3, 7))
Element 10: (1, (3, 7), ['.', '.', '', '.'], [(9, 9), (6, 11), (16, 7)], [False, False, False, False], 80, False, [True, True, False, True], 310, 'East', (4, 7))
Element 11: (1, (4, 7), ['', '.', '%', '.'], [(9, 8), (7, 11), (17, 7)], [False, False, True, False], 78, False, [False, True, False, True], 329, 'East', (5, 7))
Element 12: (1, (5, 7), ['', '.', '%', ''], [(9, 7), (8, 11), (18, 7)], [False, False, True, False], 76, False, [False, True, False, False], 358, 'South', (5, 6))
Element 13: (1, (5, 6), ['.', '.', '', ''], [(10, 7), (9, 11), (18, 8)], [False, False, False, False], 74, False, [True, True, False, False], 387, 'South', (5, 5))
Element 14: (1, (5, 5), ['.', '.', '', ''], [(11, 7), (10, 11), (18, 9)], [False, False, False, False], 72, False, [True, True, False, False], 416, 'South', (5, 4))
Element 15: (1, (5, 4), ['.', '.', '', ''], [(10, 7), (11, 11), (18, 10)], [False, False, False, False], 70, False, [True, True, False, False], 435, 'South', (5, 3))
Element 16: (1, (5, 3), ['.', '%', '', '.'], [(10, 8), (12, 11), (18, 11)], [False, True, False, False], 68, False, [True, False, False, True], 444, 'East', (6, 3))
Element 17: (1, (6, 3), ['', '.', '', '.'], [(10, 7), (13, 11), (17, 11)], [False, False, False, False], 66, False, [False, True, False, True], 463, 'East', (7, 3))
Element 18: (1, (7, 3), ['', '%', '%', '.'], [(9, 7), (13, 10), (16, 11)], [False, True, True, False], 64, False, [False, False, False, True], 482, 'East', (8, 3))
Element 19: (1, (8, 3), ['', '%', '', '.'], [(9, 8), (13, 9), (15, 11)], [False, True, False, False], 62, False, [False, False, False, True], 501, 'East', (9, 3))
Element 20: (1, (9, 3), ['', '%', '%', '.'], [(10, 8), (13, 8), (15, 10)], [False, True, True, False], 60, False, [False, False, False, True], 530, 'East', (10, 3))
Element 21: (1, (10, 3), ['', '%', '%', '.'], [(9, 8), (13, 7), (15, 11)], [False, True, True, False], 58, False, [False, False, False, True], 549, 'East', (11, 3))
Element 22: (1, (11, 3), ['', '%', '%', '.'], [(9, 9), (13, 6), (16, 11)], [False, True, True, False], 56, False, [False, False, False, True], 568, 'East', (12, 3))
Element 23: (1, (12, 3), ['', '%', '%', '.'], [(10, 9), (13, 5), (17, 11)], [False, True, True, False], 54, False, [False, False, False, True], 587, 'East', (13, 3))
Element 24: (1, (13, 3), ['', '.', 'G', '%'], [(10, 8), (13, 4), (18, 11)], [False, False, False, True], 52, False, [False, True, False, False], 606, 'South', (13, 2))
Element 25: (1, (13, 2), ['%', '.', 'G', '%'], [(10, 9), (13, 3), (18, 10)], [True, False, False, True], 50, False, [False, True, False, False], 615, 'South', (13, 1))
Element 26: (1, (13, 1), ['.', '%', 'G', '%'], [(10, 10), (13, 2), (18, 9)], [False, True, False, True], 48, False, [True, False, False, False], 624, 'West', (12, 1))
Element 27: (1, (12, 1), ['.', '%', '%', 'G'], [(9, 10), (13, 1), (18, 8)], [False, True, True, False], 46, False, [True, False, False, False], 633, 'West', (11, 1))
Element 28: (1, (11, 1), ['.', '%', '%', 'G'], [(10, 10), (12, 1), (18, 7)], [False, True, True, False], 44, False, [True, False, False, False], 642, 'West', (10, 1))
Element 29: (1, (10, 1), ['.', '%', '%', 'G'], [(10, 11), (11, 1), (18, 6)], [False, True, True, False], 42, False, [True, False, False, False], 661, 'West', (9, 1))
Element 30: (1, (9, 1), ['.', '%', '%', 'G'], [(11, 11), (10, 1), (18, 5)], [False, True, True, False], 40, False, [True, False, False, False], 680, 'West', (8, 1))
Element 31: (1, (8, 1), ['.', '%', '%', 'G'], [(12, 11), (9, 1), (18, 4)], [False, True, True, False], 38, False, [True, False, False, False], 699, 'West', (7, 1))
Element 32: (1, (7, 1), ['.', '%', '%', 'G'], [(13, 11), (8, 1), (18, 3)], [False, True, True, False], 36, False, [True, False, False, False], 718, 'West', (6, 1))
Element 33: (1, (6, 1), ['%', '%', '.', 'G'], [(13, 10), (7, 1), (18, 2)], [True, True, False, False], 34, False, [False, False, True, False], 737, 'North', (6, 2))
