Element 1: (0, (7, 9), ['.', '%', '%', '%'], [(5, 6), (13, 2), (18, 7)], [False, True, True, True], 98, False, [True, False, False, False], 0, 'West', (6, 9))
Element 2: (0, (6, 9), ['.', '.', '.', ''], [(6, 6), (13, 3), (18, 8)], [False, False, False, False], 96, False, [True, True, True, False], 39, 'North', (6, 10))
Element 3: (0, (6, 10), ['%', '', '.', '%'], [(6, 7), (13, 4), (18, 9)], [True, False, False, True], 94, False, [False, False, True, False], 78, 'North', (6, 11))
Element 4: (0, (6, 11), ['%', '', '%', '.'], [(6, 8), (13, 5), (18, 10)], [True, False, True, False], 92, False, [False, False, False, True], 117, 'East', (7, 11))
Element 5: (0, (7, 11), ['', '%', '%', '.'], [(6, 9), (13, 6), (18, 11)], [False, True, True, False], 90, False, [False, False, False, True], 136, 'East', (8, 11))
Element 6: (0, (8, 11), ['', '%', '%', '.'], [(5, 9), (13, 7), (17, 11)], [False, True, True, False], 88, False, [False, False, False, True], 175, 'East', (9, 11))
Element 7: (0, (9, 11), ['', '.', '%', '.'], [(4, 9), (13, 8), (16, 11)], [False, False, True, False], 86, False, [False, True, False, True], 214, 'East', (10, 11))
Element 8: (0, (10, 11), ['', '.', '%', '.'], [(4, 10), (13, 9), (15, 11)], [False, False, True, False], 84, False, [False, True, False, True], 253, 'East', (11, 11))
Element 9: (0, (11, 11), ['', '%', '%', '.'], [(4, 11), (14, 9), (15, 10)], [False, True, True, False], 82, False, [False, False, False, True], 292, 'East', (12, 11))
Element 10: (0, (12, 11), ['', '%', '%', '.'], [(3, 11), (15, 9), (15, 11)], [False, True, True, False], 80, False, [False, False, False, True], 321, 'East', (13, 11))
Element 11: (0, (13, 11), ['', '.', '%', '%'], [(2, 11), (16, 9), (16, 11)], [False, False, True, True], 78, False, [False, True, False, False], 350, 'South', (13, 10))
Element 12: (0, (13, 10), ['%', '', '', '%'], [(1, 11), (16, 8), (17, 11)], [True, False, False, True], 76, False, [False, False, False, False], 369, 'South', (13, 9))
Element 13: (0, (13, 9), ['.', '', '', ''], [(1, 10), (16, 7), (18, 11)], [False, False, False, False], 74, False, [True, False, False, False], 388, 'West', (12, 9))
Element 14: (0, (12, 9), ['%', '%', '%', ''], [(1, 9), (17, 7), (18, 10)], [True, True, True, False], 72, False, [False, False, False, False], 417, 'East', (13, 9))
Element 15: (0, (13, 9), ['', '', '', ''], [(1, 8), (18, 7), (18, 9)], [False, False, False, False], 70, False, [False, False, False, False], 426, 'East', (14, 9))
Element 16: (0, (14, 9), ['', '%', '%', ''], [(1, 7), (18, 6), (18, 8)], [False, True, True, False], 68, False, [False, False, False, False], 445, 'East', (15, 9))
Element 17: (0, (15, 9), ['', '%', '', ''], [(2, 7), (18, 5), (18, 7)], [False, True, False, False], 66, False, [False, False, False, False], 464, 'East', (16, 9))
Element 18: (0, (16, 9), ['', '', '%', '%'], [(3, 7), (18, 4), (18, 6)], [False, False, True, True], 64, False, [False, False, False, False], 483, 'South', (16, 8))
Element 19: (0, (16, 8), ['%', '', '', '%'], [(4, 7), (18, 3), (18, 5)], [True, False, False, True], 62, False, [False, False, False, False], 502, 'South', (16, 7))
Element 20: (0, (16, 7), ['.', '.', '', ''], [(5, 7), (18, 2), (18, 4)], [False, False, False, False], 60, False, [True, True, False, False], 521, 'South', (16, 6))
Element 21: (0, (16, 6), ['.', '.', '', '%'], [(4, 7), (18, 1), (18, 3)], [False, False, False, True], 58, False, [True, True, False, False], 530, 'South', (16, 5))
Element 22: (0, (16, 5), ['.', '.', '', '%'], [(4, 6), (17, 1), (18, 2)], [False, False, False, True], 56, False, [True, True, False, False], 559, 'South', (16, 4))
Element 23: (0, (16, 4), ['.', '.', '', '%'], [(4, 5), (16, 1), (18, 1)], [False, False, False, True], 54, False, [True, True, False, False], 588, 'South', (16, 3))
Element 24: (0, (16, 3), ['.', '%', '', '%'], [(5, 5), (15, 1), (17, 1)], [False, True, False, True], 52, False, [True, False, False, False], 617, 'West', (15, 3))
Element 25: (0, (15, 3), ['%', 'G', '.', ''], [(6, 5), (15, 2), (16, 1)], [True, False, False, False], 50, False, [False, False, True, False], 646, 'North', (15, 4))
Element 26: (0, (15, 4), ['%', 'G', '.', ''], [(6, 4), (15, 3), (15, 1)], [True, False, False, False], 48, False, [False, False, True, False], 665, 'North', (15, 5))
Element 27: (0, (15, 5), ['%', '', '.', ''], [(6, 3), (16, 3), (15, 2)], [True, False, False, False], 46, False, [False, False, True, False], 684, 'North', (15, 6))
Element 28: (0, (15, 6), ['%', '', '.', ''], [(7, 3), (16, 4), (15, 3)], [True, False, False, False], 44, False, [False, False, True, False], 703, 'North', (15, 7))
Element 29: (0, (15, 7), ['%', '', '%', ''], [(8, 3), (16, 5), (16, 3)], [True, False, True, False], 42, False, [False, False, False, False], 722, 'South', (15, 6))
Element 30: (0, (15, 6), ['%', '', '', 'G'], [(9, 3), (16, 6), (16, 4)], [True, False, False, False], 40, False, [False, False, False, False], 731, 'South', (15, 5))
Element 31: (0, (15, 5), ['%', '', 'G', 'G'], [(10, 3), (15, 6), (16, 5)], [True, False, False, False], 38, False, [False, False, False, False], 740, 'South', (15, 4))
Element 32: (0, (15, 4), ['%', '', '', ''], [(11, 3), (15, 7), (16, 6)], [True, False, False, False], 36, False, [False, False, False, False], 749, 'South', (15, 3))
Element 33: (0, (15, 3), ['%', '', '', ''], [(12, 3), (15, 6), (16, 7)], [True, False, False, False], 34, False, [False, False, False, False], 758, 'East', (16, 3))
Element 34: (0, (16, 3), ['', '%', '', '%'], [(13, 3), (15, 5), (17, 7)], [False, True, False, True], 32, False, [False, False, False, False], 757, 'North', (16, 4))
Element 35: (0, (16, 4), ['G', '', '', '%'], [(13, 4), (15, 4), (16, 7)], [False, False, False, True], 30, False, [False, False, False, False], 756, 'South', (16, 3))
Element 36: (0, (16, 3), ['', '%', '', '%'], [(13, 5), (15, 5), (16, 8)], [False, True, False, True], 28, False, [False, False, False, False], 755, 'North', (16, 4))
Element 37: (0, (16, 4), ['', '', '', '%'], [(13, 6), (15, 6), (16, 9)], [False, False, False, True], 26, False, [False, False, False, False], 754, 'North', (16, 5))
Element 38: (0, (16, 5), ['', '', 'G', '%'], [(13, 7), (16, 6), (15, 9)], [False, False, False, True], 24, False, [False, False, False, False], 753, 'West', (15, 5))
Element 39: (0, (15, 5), ['%', '', '', 'G'], [(13, 8), (16, 5), (14, 9)], [True, False, False, False], 22, False, [False, False, False, False], 752, 'South', (15, 4))
Element 40: (0, (15, 4), ['%', '', 'G', ''], [(13, 9), (15, 5), (15, 9)], [True, False, False, False], 20, False, [False, False, False, False], 751, 'North', (15, 5))
Element 41: (0, (15, 5), ['%', '', '', 'G'], [(14, 9), (16, 5), (16, 9)], [True, False, False, False], 18, False, [False, False, False, False], 750, 'North', (15, 6))
Element 42: (0, (15, 6), ['%', '', '', ''], [(15, 9), (16, 4), (16, 8)], [True, False, False, False], 16, False, [False, False, False, False], 749, 'East', (16, 6))
Element 43: (0, (16, 6), ['', '', 'G', '%'], [(16, 9), (15, 4), (16, 7)], [False, False, False, True], 14, False, [False, False, False, False], 748, 'West', (15, 6))
Element 44: (0, (15, 6), ['%', '', 'G', ''], [(16, 8), (16, 4), (15, 7)], [True, False, False, False], 12, False, [False, False, False, False], 747, 'South', (15, 5))
Element 45: (0, (15, 5), ['%', '', 'G', ''], [(16, 7), (16, 3), (15, 6)], [True, False, False, False], 10, False, [False, False, False, False], 746, 'South', (15, 4))
Element 46: (0, (15, 4), ['%', 'G', 'G', ''], [(17, 7), (15, 3), (15, 5)], [True, False, False, False], 8, False, [False, False, False, False], 745, 'East', (16, 4))
Element 47: (0, (16, 4), ['G', '', '', '%'], [(18, 7), (15, 4), (15, 6)], [False, False, False, True], 6, False, [False, False, False, False], 744, 'North', (16, 5))
Element 48: (0, (16, 5), ['', '', '', '%'], [(18, 8), (15, 3), (15, 7)], [False, False, False, True], 4, False, [False, False, False, False], 743, 'North', (16, 6))
Element 49: (0, (16, 6), ['', '', 'G', '%'], [(18, 9), (15, 2), (16, 7)], [False, False, False, True], 2, False, [False, False, False, False], 742, 'North', (16, 7))
Element 50: (0, (16, 7), ['', 'G', '', ''], [(18, 10), (15, 1), (16, 6)], [False, False, False, False], 0, False, [False, False, False, False], 741, 'Stop', (16, 7))
Element 51: #0#
