Element 1: (0, (5, 3), ['.', '%', 'G', '.'], [(5, 4), (8, 1), (10, 11)], [False, True, False, False], 98, False, [True, False, False, True], 0, 'East', (6, 3))
Element 2: (0, (6, 3), ['', '.', 'G', '.'], [(6, 4), (9, 1), (11, 11)], [False, False, False, False], 96, False, [False, True, False, True], 39, 'East', (7, 3))
Element 3: (0, (7, 3), ['', '%', '%', '.'], [(6, 5), (10, 1), (12, 11)], [False, True, True, False], 94, False, [False, False, False, True], 78, 'East', (8, 3))
Element 4: (0, (8, 3), ['', '%', '', '.'], [(6, 6), (11, 1), (13, 11)], [False, True, False, False], 92, False, [False, False, False, True], 117, 'East', (9, 3))
Element 5: (0, (9, 3), ['', '%', '%', '.'], [(6, 7), (12, 1), (13, 10)], [False, True, True, False], 90, False, [False, False, False, True], 156, 'East', (10, 3))
Element 6: (0, (10, 3), ['', '%', '%', '.'], [(6, 8), (13, 1), (13, 9)], [False, True, True, False], 88, False, [False, False, False, True], 195, 'East', (11, 3))
Element 7: (0, (11, 3), ['', '%', '%', '.'], [(6, 9), (13, 2), (14, 9)], [False, True, True, False], 86, False, [False, False, False, True], 234, 'East', (12, 3))
Element 8: (0, (12, 3), ['', '%', '%', 'G'], [(7, 9), (13, 3), (15, 9)], [False, True, True, False], 84, False, [False, False, False, False], 273, 'West', (11, 3))
Element 9: (0, (11, 3), ['', '%', '%', ''], [(6, 9), (13, 4), (16, 9)], [False, True, True, False], 82, False, [False, False, False, False], 292, 'West', (10, 3))
Element 10: (0, (10, 3), ['', '%', '%', ''], [(6, 10), (13, 5), (16, 8)], [False, True, True, False], 80, False, [False, False, False, False], 321, 'West', (9, 3))
Element 11: (0, (9, 3), ['', '%', '%', ''], [(6, 11), (13, 6), (16, 7)], [False, True, True, False], 78, False, [False, False, False, False], 350, 'West', (8, 3))
Element 12: (0, (8, 3), ['', '%', '', ''], [(7, 11), (13, 7), (17, 7)], [False, True, False, False], 76, False, [False, False, False, False], 379, 'North', (8, 4))
Element 13: (0, (8, 4), ['%', '', '', '%'], [(8, 11), (13, 8), (18, 7)], [True, False, False, True], 74, False, [False, False, False, False], 408, 'North', (8, 5))
Element 14: (0, (8, 5), ['%', '', '%', ''], [(9, 11), (13, 9), (18, 8)], [True, False, True, False], 72, False, [False, False, False, False], 427, 'East', (9, 5))
Element 15: (0, (9, 5), ['', '%', '%', ''], [(9, 10), (12, 9), (18, 9)], [False, True, True, False], 70, False, [False, False, False, False], 456, 'East', (10, 5))
Element 16: (0, (10, 5), ['', '%', '%', ''], [(10, 10), (13, 9), (18, 10)], [False, True, True, False], 68, False, [False, False, False, False], 475, 'East', (11, 5))
Element 17: (0, (11, 5), ['', '%', '%', '%'], [(10, 9), (14, 9), (18, 11)], [False, True, True, True], 66, False, [False, False, False, False], 484, 'West', (10, 5))
Element 18: (0, (10, 5), ['', '%', '%', ''], [(9, 9), (15, 9), (17, 11)], [False, True, True, False], 64, False, [False, False, False, False], 503, 'West', (9, 5))
Element 19: (0, (9, 5), ['', '%', '%', ''], [(9, 8), (15, 10), (16, 11)], [False, True, True, False], 62, False, [False, False, False, False], 522, 'West', (8, 5))
Element 20: (0, (8, 5), ['%', '', '%', ''], [(9, 7), (15, 11), (17, 11)], [True, False, True, False], 60, False, [False, False, False, False], 541, 'South', (8, 4))
Element 21: (0, (8, 4), ['%', '', '', '%'], [(10, 7), (16, 11), (18, 11)], [True, False, False, True], 58, False, [False, False, False, False], 550, 'South', (8, 3))
Element 22: (0, (8, 3), ['', '%', '', ''], [(11, 7), (17, 11), (18, 10)], [False, True, False, False], 56, False, [False, False, False, False], 559, 'West', (7, 3))
Element 23: (0, (7, 3), ['', '%', '%', ''], [(10, 7), (18, 11), (18, 9)], [False, True, True, False], 54, False, [False, False, False, False], 558, 'West', (6, 3))
Element 24: (0, (6, 3), ['', '.', '', ''], [(10, 8), (18, 10), (18, 8)], [False, False, False, False], 52, False, [False, True, False, False], 557, 'South', (6, 2))
Element 25: (0, (6, 2), ['%', '.', '', '%'], [(10, 7), (18, 9), (18, 7)], [True, False, False, True], 50, False, [False, True, False, False], 566, 'South', (6, 1))
