Element 1: (3, (9, 9), ['%', '', '.', '.'], [(6, 5), (7, 9), (9, 1)], [True, False, False, False], 98, False, [False, False, True, True], 29, 'East', (10, 9))
Element 2: (3, (10, 9), ['', '', '.', '%'], [(6, 6), (6, 9), (10, 1)], [False, False, False, True], 96, False, [False, False, True, False], 58, 'North', (10, 10))
Element 3: (3, (10, 10), ['.', '', '.', '%'], [(6, 7), (6, 10), (11, 1)], [False, False, False, True], 94, False, [True, False, True, False], 97, 'North', (10, 11))
Element 4: (3, (10, 11), ['.', '', '%', '.'], [(6, 8), (6, 11), (12, 1)], [False, False, True, False], 92, False, [True, False, False, True], 136, 'East', (11, 11))
Element 5: (3, (11, 11), ['', '%', '%', '.'], [(6, 9), (7, 11), (13, 1)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (12, 11))
Element 6: (3, (12, 11), ['', '%', '%', '.'], [(5, 9), (8, 11), (13, 2)], [False, True, True, False], 88, False, [False, False, False, True], 204, 'East', (13, 11))
Element 7: (3, (13, 11), ['', '.', '%', '%'], [(4, 9), (9, 11), (13, 3)], [False, False, True, True], 86, False, [False, True, False, False], 243, 'South', (13, 10))
Element 8: (3, (13, 10), ['%', '.', '', '%'], [(4, 10), (9, 10), (13, 4)], [True, False, False, True], 84, False, [False, True, False, False], 282, 'South', (13, 9))
Element 9: (3, (13, 9), ['.', '.', '', '.'], [(4, 11), (10, 10), (13, 5)], [False, False, False, False], 82, False, [True, True, False, True], 311, 'East', (14, 9))
Element 10: (3, (14, 9), ['', '%', '%', '.'], [(3, 11), (10, 11), (13, 6)], [False, True, True, False], 80, False, [False, False, False, True], 340, 'East', (15, 9))
Element 11: (3, (15, 9), ['', '%', '.', '.'], [(2, 11), (11, 11), (13, 7)], [False, True, False, False], 78, False, [False, False, True, True], 369, 'East', (16, 9))
Element 12: (3, (16, 9), ['', '.', '%', '%'], [(1, 11), (12, 11), (13, 8)], [False, False, True, True], 76, False, [False, True, False, False], 388, 'South', (16, 8))
Element 13: (3, (16, 8), ['%', '.', '', '%'], [(1, 10), (13, 11), (13, 9)], [True, False, False, True], 74, False, [False, True, False, False], 407, 'South', (16, 7))
Element 14: (3, (16, 7), ['.', '.', '', '.'], [(1, 9), (13, 10), (12, 9)], [False, False, False, False], 72, False, [True, True, False, True], 436, 'East', (17, 7))
Element 15: (3, (17, 7), ['', '%', '%', '.'], [(1, 8), (13, 9), (12, 9)], [False, True, True, False], 70, False, [False, False, False, True], 455, 'East', (18, 7))
Element 16: (3, (18, 7), ['', '.', '.', '%'], [(1, 7), (14, 9), (13, 9)], [False, False, False, True], 68, False, [False, True, True, False], 474, 'North', (18, 8))
Element 17: (3, (18, 8), ['%', '', '.', '%'], [(2, 7), (15, 9), (13, 9)], [True, False, False, True], 66, False, [False, False, True, False], 493, 'North', (18, 9))
Element 18: (3, (18, 9), ['%', '', '.', '%'], [(3, 7), (15, 10), (13, 8)], [True, False, False, True], 64, False, [False, False, True, False], 522, 'North', (18, 10))
Element 19: (3, (18, 10), ['%', '', '', '%'], [(4, 7), (15, 11), (13, 7)], [True, False, False, True], 62, False, [False, False, False, False], 551, 'North', (18, 11))
Element 20: (3, (18, 11), ['.', '', '%', '%'], [(5, 7), (16, 11), (13, 6)], [False, False, True, True], 60, False, [True, False, False, False], 570, 'West', (17, 11))
Element 21: (3, (17, 11), ['', '%', '%', ''], [(5, 6), (15, 11), (13, 5)], [False, True, True, False], 58, False, [False, False, False, False], 589, 'West', (16, 11))
Element 22: (3, (16, 11), ['', '%', '%', ''], [(5, 5), (15, 10), (13, 4)], [False, True, True, False], 56, False, [False, False, False, False], 598, 'West', (15, 11))
Element 23: (3, (15, 11), ['%', '', '%', ''], [(5, 4), (15, 9), (13, 3)], [True, False, True, False], 54, False, [False, False, False, False], 607, 'South', (15, 10))
Element 24: (3, (15, 10), ['%', '', '', '%'], [(5, 3), (16, 9), (12, 3)], [True, False, False, True], 52, False, [False, False, False, False], 626, 'North', (15, 11))
Element 25: (3, (15, 11), ['%', '', '%', ''], [(6, 3), (16, 8), (11, 3)], [True, False, True, False], 50, False, [False, False, False, False], 645, 'East', (16, 11))
Element 26: (3, (16, 11), ['', '%', '%', ''], [(7, 3), (16, 7), (10, 3)], [False, True, True, False], 48, False, [False, False, False, False], 664, 'East', (17, 11))
Element 27: (3, (17, 11), ['', '%', '%', ''], [(8, 3), (16, 6), (9, 3)], [False, True, True, False], 46, False, [False, False, False, False], 693, 'East', (18, 11))
Element 28: (3, (18, 11), ['', '', '%', '%'], [(8, 4), (16, 5), (8, 3)], [False, False, True, True], 44, False, [False, False, False, False], 702, 'South', (18, 10))
Element 29: (3, (18, 10), ['%', '', '', '%'], [(8, 5), (16, 4), (8, 4)], [True, False, False, True], 42, False, [False, False, False, False], 711, 'South', (18, 9))
Element 30: (3, (18, 9), ['%', '', '', '%'], [(9, 5), (16, 3), (8, 5)], [True, False, False, True], 40, False, [False, False, False, False], 720, 'South', (18, 8))
Element 31: (3, (18, 8), ['%', '', '', '%'], [(10, 5), (15, 3), (9, 5)], [True, False, False, True], 38, False, [False, False, False, False], 729, 'South', (18, 7))
Element 32: (3, (18, 7), ['', '.', '', '%'], [(11, 5), (15, 4), (10, 5)], [False, False, False, True], 36, False, [False, True, False, False], 738, 'South', (18, 6))
Element 33: (3, (18, 6), ['%', '.', '', '%'], [(11, 5), (15, 5), (9, 5)], [True, False, False, True], 34, False, [False, True, False, False], 757, 'South', (18, 5))
Element 34: (3, (18, 5), ['%', '.', '', '%'], [(10, 5), (15, 6), (8, 5)], [True, False, False, True], 32, False, [False, True, False, False], 776, 'South', (18, 4))
Element 35: (3, (18, 4), ['%', '.', '', '%'], [(9, 5), (15, 7), (8, 4)], [True, False, False, True], 30, False, [False, True, False, False], 795, 'South', (18, 3))
Element 36: (3, (18, 3), ['%', '.', '', '%'], [(8, 5), (15, 6), (8, 3)], [True, False, False, True], 28, False, [False, True, False, False], 804, 'South', (18, 2))
Element 37: (3, (18, 2), ['%', '', '', '%'], [(8, 4), (15, 5), (7, 3)], [True, False, False, True], 26, False, [False, False, False, False], 813, 'South', (18, 1))
Element 38: (3, (18, 1), ['.', '%', '', '%'], [(8, 3), (15, 4), (6, 3)], [False, True, False, True], 24, False, [True, False, False, False], 812, 'West', (17, 1))
Element 39: (3, (17, 1), ['.', '%', '%', ''], [(7, 3), (15, 3), (6, 2)], [False, True, True, False], 22, False, [True, False, False, False], 831, 'West', (16, 1))
Element 40: (3, (16, 1), ['.', '%', '%', ''], [(6, 3), (15, 2), (6, 1)], [False, True, True, False], 20, False, [True, False, False, False], 860, 'West', (15, 1))
Element 41: (3, (15, 1), ['%', '%', '', ''], [(6, 3), (15, 3), (7, 1)], [True, True, False, False], 18, False, [False, False, False, False], 879, 'North', (15, 2))
Element 42: (3, (15, 2), ['%', '', '', '%'], [(5, 3), (16, 3), (6, 1)], [True, False, False, True], 16, False, [False, False, False, False], 878, 'North', (15, 3))
Element 43: (3, (15, 3), ['%', '', '', ''], [(4, 3), (16, 4), (6, 2)], [True, False, False, False], 14, False, [False, False, False, False], 887, 'East', (16, 3))
Element 44: (3, (16, 3), ['', '%', '', '%'], [(4, 4), (15, 4), (6, 3)], [False, True, False, True], 12, False, [False, False, False, False], 896, 'North', (16, 4))
