Element 1: (2, (6, 11), ['%', '.', '%', 'G'], [(17, 1), (6, 9), (7, 11)], [True, False, True, False], 98, False, [False, True, False, False], 19, 'South', (6, 10))
Element 2: (2, (6, 10), ['%', '', '', '%'], [(18, 1), (7, 9), (8, 11)], [True, False, False, True], 96, False, [False, False, False, False], 48, 'South', (6, 9))
Element 3: (2, (6, 9), ['.', '', '', 'G'], [(18, 2), (7, 9), (9, 11)], [False, False, False, False], 94, False, [True, False, False, False], 67, 'West', (5, 9))
Element 4: (2, (5, 9), ['.', '%', '%', 'G'], [(18, 3), (6, 9), (10, 11)], [False, True, True, False], 92, False, [True, False, False, False], 96, 'West', (4, 9))
Element 5: (2, (4, 9), ['.', '%', '.', ''], [(18, 4), (6, 9), (11, 11)], [False, True, False, False], 90, False, [True, False, True, False], 125, 'North', (4, 10))
Element 6: (2, (4, 10), ['%', '', '.', '%'], [(18, 5), (6, 8), (12, 11)], [True, False, False, True], 88, False, [False, False, True, False], 154, 'North', (4, 11))
Element 7: (2, (4, 11), ['.', '', '%', '%'], [(18, 6), (6, 7), (13, 11)], [False, False, True, True], 86, False, [True, False, False, False], 193, 'West', (3, 11))
Element 8: (2, (3, 11), ['.', '%', '%', ''], [(18, 7), (6, 6), (13, 10)], [False, True, True, False], 84, False, [True, False, False, False], 232, 'West', (2, 11))
Element 9: (2, (2, 11), ['', '%', '%', ''], [(18, 8), (6, 5), (13, 9)], [False, True, True, False], 82, False, [False, False, False, False], 271, 'West', (1, 11))
Element 10: (2, (1, 11), ['%', '.', '%', ''], [(18, 9), (6, 4), (14, 9)], [True, False, True, False], 80, False, [False, True, False, False], 300, 'South', (1, 10))
Element 11: (2, (1, 10), ['%', '.', '', '%'], [(18, 10), (6, 3), (15, 9)], [True, False, False, True], 78, False, [False, True, False, False], 339, 'South', (1, 9))
Element 12: (2, (1, 9), ['%', '.', '', '%'], [(18, 11), (7, 3), (16, 9)], [True, False, False, True], 76, False, [False, True, False, False], 368, 'South', (1, 8))
Element 13: (2, (1, 8), ['%', '.', '', '%'], [(17, 11), (8, 3), (16, 8)], [True, False, False, True], 74, False, [False, True, False, False], 407, 'South', (1, 7))
Element 14: (2, (1, 7), ['%', '.', '', '.'], [(16, 11), (9, 3), (16, 7)], [True, False, False, False], 72, False, [False, True, False, True], 446, 'East', (2, 7))
Element 15: (2, (2, 7), ['', '%', '%', '.'], [(15, 11), (10, 3), (17, 7)], [False, True, True, False], 70, False, [False, False, False, True], 485, 'East', (3, 7))
Element 16: (2, (3, 7), ['', '.', '.', '.'], [(15, 10), (11, 3), (18, 7)], [False, False, False, False], 68, False, [False, True, True, True], 514, 'East', (4, 7))
Element 17: (2, (4, 7), ['', '.', '%', '.'], [(15, 9), (12, 3), (18, 8)], [False, False, True, False], 66, False, [False, True, False, True], 533, 'East', (5, 7))
Element 18: (2, (5, 7), ['', '.', '%', ''], [(16, 9), (13, 3), (18, 9)], [False, False, True, False], 64, False, [False, True, False, False], 552, 'South', (5, 6))
Element 19: (2, (5, 6), ['.', '.', '', ''], [(16, 8), (13, 4), (18, 10)], [False, False, False, False], 62, False, [True, True, False, False], 571, 'South', (5, 5))
Element 20: (2, (5, 5), ['.', '.', '', ''], [(16, 7), (13, 5), (18, 11)], [False, False, False, False], 60, False, [True, True, False, False], 590, 'South', (5, 4))
Element 21: (2, (5, 4), ['.', '.', '', ''], [(16, 6), (13, 6), (17, 11)], [False, False, False, False], 58, False, [True, True, False, False], 619, 'South', (5, 3))
Element 22: (2, (5, 3), ['.', '%', '', ''], [(16, 5), (13, 7), (16, 11)], [False, True, False, False], 56, False, [True, False, False, False], 648, 'West', (4, 3))
Element 23: (2, (4, 3), ['.', '.', '.', ''], [(16, 4), (13, 8), (15, 11)], [False, False, False, False], 54, False, [True, True, True, False], 677, 'North', (4, 4))
Element 24: (2, (4, 4), ['.', '', '.', ''], [(16, 3), (13, 9), (15, 10)], [False, False, False, False], 52, False, [True, False, True, False], 696, 'North', (4, 5))
Element 25: (2, (4, 5), ['.', '', '.', ''], [(15, 3), (12, 9), (15, 11)], [False, False, False, False], 50, False, [True, False, True, False], 725, 'North', (4, 6))
Element 26: (2, (4, 6), ['.', '', '', ''], [(15, 4), (13, 9), (16, 11)], [False, False, False, False], 48, False, [True, False, False, False], 744, 'West', (3, 6))
Element 27: (2, (3, 6), ['%', '.', '', ''], [(15, 5), (14, 9), (17, 11)], [True, False, False, False], 46, False, [False, True, False, False], 763, 'South', (3, 5))
Element 28: (2, (3, 5), ['%', '.', '', ''], [(15, 6), (15, 9), (18, 11)], [True, False, False, False], 44, False, [False, True, False, False], 782, 'South', (3, 4))
Element 29: (2, (3, 4), ['%', '.', '', ''], [(15, 7), (16, 9), (18, 10)], [True, False, False, False], 42, False, [False, True, False, False], 801, 'South', (3, 3))
Element 30: (2, (3, 3), ['%', 'F', '', ''], [(15, 6), (16, 8), (18, 9)], [True, False, False, False], 40, False, [False, False, False, False], 810, 'South', (3, 2))
Element 31: (2, (3, 2), ['F', '.', '', '.'], [(15, 5), (16, 7), (18, 8)], [False, False, False, False], 38, False, [False, True, False, True], 1809, 'West', (2, 2))
Element 32: #1#
