Element 1: (3, (18, 2), ['%', '', '.', '%'], [(13, 7), (4, 6), (13, 10)], [True, False, False, True], 98, False, [False, False, True, False], 29, 'North', (18, 3))
Element 2: (3, (18, 3), ['%', '', '.', '%'], [(13, 8), (5, 6), (13, 9)], [True, False, False, True], 96, False, [False, False, True, False], 68, 'North', (18, 4))
Element 3: (3, (18, 4), ['%', '', '.', '%'], [(13, 7), (6, 6), (14, 9)], [True, False, False, True], 94, False, [False, False, True, False], 97, 'North', (18, 5))
Element 4: (3, (18, 5), ['%', '', '.', '%'], [(13, 6), (6, 7), (15, 9)], [True, False, False, True], 92, False, [False, False, True, False], 126, 'North', (18, 6))
Element 5: (3, (18, 6), ['%', '', '.', '%'], [(13, 5), (6, 8), (16, 9)], [True, False, False, True], 90, False, [False, False, True, False], 165, 'North', (18, 7))
Element 6: (3, (18, 7), ['.', '', '.', '%'], [(13, 4), (6, 9), (16, 8)], [False, False, False, True], 88, False, [True, False, True, False], 204, 'North', (18, 8))
Element 7: (3, (18, 8), ['%', '', '.', '%'], [(13, 3), (7, 9), (16, 7)], [True, False, False, True], 86, False, [False, False, True, False], 243, 'North', (18, 9))
Element 8: (3, (18, 9), ['%', '', '.', '%'], [(13, 2), (6, 9), (17, 7)], [True, False, False, True], 84, False, [False, False, True, False], 272, 'North', (18, 10))
Element 9: (3, (18, 10), ['%', '', '', '%'], [(13, 1), (6, 10), (18, 7)], [True, False, False, True], 82, False, [False, False, False, False], 301, 'North', (18, 11))
Element 10: (3, (18, 11), ['.', '', '%', '%'], [(12, 1), (6, 11), (18, 8)], [False, False, True, True], 80, False, [True, False, False, False], 320, 'West', (17, 11))
Element 11: (3, (17, 11), ['.', '%', '%', ''], [(11, 1), (7, 11), (18, 9)], [False, True, True, False], 78, False, [True, False, False, False], 349, 'West', (16, 11))
Element 12: (3, (16, 11), ['.', '%', '%', ''], [(10, 1), (8, 11), (18, 10)], [False, True, True, False], 76, False, [True, False, False, False], 378, 'West', (15, 11))
Element 13: (3, (15, 11), ['%', '.', '%', ''], [(9, 1), (9, 11), (18, 11)], [True, False, True, False], 74, False, [False, True, False, False], 407, 'South', (15, 10))
Element 14: (3, (15, 10), ['%', '', '', '%'], [(8, 1), (10, 11), (17, 11)], [True, False, False, True], 72, False, [False, False, False, False], 436, 'South', (15, 9))
Element 15: (3, (15, 9), ['', '%', '', ''], [(7, 1), (11, 11), (16, 11)], [False, True, False, False], 70, False, [False, False, False, False], 455, 'East', (16, 9))
Element 16: (3, (16, 9), ['', '', '%', '%'], [(6, 1), (12, 11), (15, 11)], [False, False, True, True], 68, False, [False, False, False, False], 474, 'South', (16, 8))
Element 17: (3, (16, 8), ['%', '', '', '%'], [(6, 2), (13, 11), (15, 10)], [True, False, False, True], 66, False, [False, False, False, False], 483, 'South', (16, 7))
Element 18: (3, (16, 7), ['.', '.', '', ''], [(6, 3), (13, 10), (15, 11)], [False, False, False, False], 64, False, [True, True, False, False], 492, 'South', (16, 6))
Element 19: (3, (16, 6), ['.', '.', '', '%'], [(7, 3), (13, 9), (16, 11)], [False, False, False, True], 62, False, [True, True, False, False], 511, 'South', (16, 5))
Element 20: (3, (16, 5), ['.', '.', '', '%'], [(8, 3), (12, 9), (17, 11)], [False, False, False, True], 60, False, [True, True, False, False], 540, 'South', (16, 4))
Element 21: (3, (16, 4), ['.', '.', '', '%'], [(9, 3), (13, 9), (18, 11)], [False, False, False, True], 58, False, [True, True, False, False], 559, 'South', (16, 3))
Element 22: (3, (16, 3), ['.', '%', '', '%'], [(10, 3), (14, 9), (18, 10)], [False, True, False, True], 56, False, [True, False, False, False], 578, 'West', (15, 3))
Element 23: (3, (15, 3), ['%', '.', '.', ''], [(11, 3), (15, 9), (18, 9)], [True, False, False, False], 54, False, [False, True, True, False], 597, 'North', (15, 4))
Element 24: (3, (15, 4), ['%', '', '.', ''], [(12, 3), (16, 9), (18, 8)], [True, False, False, False], 52, False, [False, False, True, False], 616, 'North', (15, 5))
Element 25: (3, (15, 5), ['%', '', '.', ''], [(11, 3), (16, 8), (18, 7)], [True, False, False, False], 50, False, [False, False, True, False], 625, 'North', (15, 6))
Element 26: (3, (15, 6), ['%', '', '.', ''], [(10, 3), (16, 7), (18, 6)], [True, False, False, False], 48, False, [False, False, True, False], 634, 'North', (15, 7))
Element 27: (3, (15, 7), ['%', '', '%', ''], [(9, 3), (17, 7), (18, 5)], [True, False, True, False], 46, False, [False, False, False, False], 643, 'South', (15, 6))
Element 28: (3, (15, 6), ['%', '', '', ''], [(8, 3), (18, 7), (18, 4)], [True, False, False, False], 44, False, [False, False, False, False], 642, 'South', (15, 5))
Element 29: (3, (15, 5), ['%', '', '', ''], [(8, 4), (18, 8), (18, 3)], [True, False, False, False], 42, False, [False, False, False, False], 641, 'South', (15, 4))
Element 30: (3, (15, 4), ['%', '', '', ''], [(8, 5), (18, 9), (18, 2)], [True, False, False, False], 40, False, [False, False, False, False], 640, 'South', (15, 3))
Element 31: (3, (15, 3), ['%', '.', '', ''], [(9, 5), (18, 10), (18, 1)], [True, False, False, False], 38, False, [False, True, False, False], 639, 'South', (15, 2))
Element 32: (3, (15, 2), ['%', '.', '', '%'], [(10, 5), (18, 11), (17, 1)], [True, False, False, True], 36, False, [False, True, False, False], 658, 'South', (15, 1))
Element 33: (3, (15, 1), ['%', '%', '', 'G'], [(11, 5), (17, 11), (16, 1)], [True, True, False, False], 34, False, [False, False, False, False], 677, 'North', (15, 2))
Element 34: (3, (15, 2), ['%', 'G', '', '%'], [(10, 5), (16, 11), (15, 1)], [True, False, False, True], 32, False, [False, False, False, False], 676, 'North', (15, 3))
Element 35: (3, (15, 3), ['%', 'G', '', ''], [(9, 5), (15, 11), (15, 2)], [True, False, False, False], 30, False, [False, False, False, False], 675, 'East', (16, 3))
Element 36: (3, (16, 3), ['G', '%', '', '%'], [(8, 5), (15, 10), (15, 3)], [False, True, False, True], 28, False, [False, False, False, False], 674, 'North', (16, 4))
Element 37: (3, (16, 4), ['', 'G', '', '%'], [(8, 4), (15, 11), (16, 3)], [False, False, False, True], 26, False, [False, False, False, False], 673, 'West', (15, 4))
Element 38: (3, (15, 4), ['%', '', '', 'G'], [(8, 3), (16, 11), (16, 4)], [True, False, False, False], 24, False, [False, False, False, False], 672, 'South', (15, 3))
Element 39: (3, (15, 3), ['%', '', '', ''], [(7, 3), (17, 11), (16, 5)], [True, False, False, False], 22, False, [False, False, False, False], 671, 'South', (15, 2))
Element 40: (3, (15, 2), ['%', '', '', '%'], [(6, 3), (18, 11), (16, 6)], [True, False, False, True], 20, False, [False, False, False, False], 670, 'North', (15, 3))
Element 41: (3, (15, 3), ['%', '', '', ''], [(6, 4), (18, 10), (15, 6)], [True, False, False, False], 18, False, [False, False, False, False], 679, 'North', (15, 4))
Element 42: (3, (15, 4), ['%', '', '', ''], [(6, 5), (18, 9), (15, 7)], [True, False, False, False], 16, False, [False, False, False, False], 688, 'North', (15, 5))
Element 43: (3, (15, 5), ['%', '', 'G', ''], [(5, 5), (18, 8), (15, 6)], [True, False, False, False], 14, False, [False, False, False, False], 697, 'South', (15, 4))
Element 44: (3, (15, 4), ['%', '', 'G', ''], [(5, 4), (18, 7), (15, 5)], [True, False, False, False], 12, False, [False, False, False, False], 706, 'North', (15, 5))
Element 45: (3, (15, 5), ['%', 'G', '', ''], [(5, 3), (18, 6), (15, 4)], [True, False, False, False], 10, False, [False, False, False, False], 715, 'North', (15, 6))
Element 46: (3, (15, 6), ['%', 'G', '', ''], [(4, 3), (18, 5), (15, 5)], [True, False, False, False], 8, False, [False, False, False, False], 724, 'North', (15, 7))
Element 47: (3, (15, 7), ['%', 'G', '%', ''], [(4, 4), (18, 4), (15, 6)], [True, False, True, False], 6, False, [False, False, False, False], 733, 'East', (16, 7))
Element 48: (3, (16, 7), ['', 'G', '', ''], [(4, 5), (18, 3), (16, 6)], [False, False, False, False], 4, False, [False, False, False, False], 742, 'East', (17, 7))
Element 49: (3, (17, 7), ['', '%', '%', ''], [(3, 5), (18, 2), (16, 5)], [False, True, True, False], 2, False, [False, False, False, False], 751, 'West', (16, 7))
Element 50: (3, (16, 7), ['', '', '', ''], [(3, 5), (18, 2), (16, 5)], [False, False, False, False], 0, False, [False, False, False, False], 750, 'Stop', (16, 7))
Element 51: #0#
