Element 1: (1, (5, 7), ['G', '.', '%', '.'], [(4, 7), (15, 6), (16, 6)], [False, False, True, False], 98, False, [False, True, False, True], 9, 'East', (6, 7))
Element 2: (1, (6, 7), ['', '.', '.', ''], [(4, 6), (15, 7), (16, 7)], [False, False, False, False], 96, False, [False, True, True, False], 48, 'North', (6, 8))
Element 3: (1, (6, 8), ['%', '', '.', '%'], [(5, 6), (15, 6), (17, 7)], [True, False, False, True], 94, False, [False, False, True, False], 77, 'North', (6, 9))
Element 4: (1, (6, 9), ['.', '', '.', '.'], [(6, 6), (15, 5), (18, 7)], [False, False, False, False], 92, False, [True, False, True, True], 116, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '%', '%', '%'], [(6, 5), (16, 5), (18, 8)], [False, True, True, True], 90, False, [False, False, False, False], 155, 'West', (6, 9))
Element 6: (1, (6, 9), ['.', '', '.', ''], [(6, 4), (16, 4), (18, 9)], [False, False, False, False], 88, False, [True, False, True, False], 184, 'North', (6, 10))
Element 7: (1, (6, 10), ['%', '', '.', '%'], [(6, 3), (16, 3), (18, 10)], [True, False, False, True], 86, False, [False, False, True, False], 223, 'North', (6, 11))
Element 8: (1, (6, 11), ['%', '', '%', '.'], [(7, 3), (15, 3), (18, 11)], [True, False, True, False], 84, False, [False, False, False, True], 252, 'East', (7, 11))
Element 9: (1, (7, 11), ['', '%', '%', '.'], [(8, 3), (15, 4), (17, 11)], [False, True, True, False], 82, False, [False, False, False, True], 291, 'East', (8, 11))
Element 10: (1, (8, 11), ['', '%', '%', '.'], [(9, 3), (15, 3), (16, 11)], [False, True, True, False], 80, False, [False, False, False, True], 320, 'East', (9, 11))
Element 11: (1, (9, 11), ['', '.', '%', '.'], [(10, 3), (15, 2), (15, 11)], [False, False, True, False], 78, False, [False, True, False, True], 359, 'East', (10, 11))
Element 12: (1, (10, 11), ['', '.', '%', '.'], [(11, 3), (15, 1), (15, 10)], [False, False, True, False], 76, False, [False, True, False, True], 398, 'East', (11, 11))
Element 13: (1, (11, 11), ['', '%', '%', '.'], [(12, 3), (16, 1), (15, 9)], [False, True, True, False], 74, False, [False, False, False, True], 437, 'East', (12, 11))
Element 14: (1, (12, 11), ['', '%', '%', '.'], [(13, 3), (17, 1), (16, 9)], [False, True, True, False], 72, False, [False, False, False, True], 476, 'East', (13, 11))
Element 15: (1, (13, 11), ['', '.', '%', '%'], [(13, 4), (18, 1), (16, 8)], [False, False, True, True], 70, False, [False, True, False, False], 505, 'South', (13, 10))
Element 16: (1, (13, 10), ['%', '.', '', '%'], [(13, 5), (18, 2), (16, 9)], [True, False, False, True], 68, False, [False, True, False, False], 534, 'South', (13, 9))
