Element 1: (1, (4, 9), ['.', '%', '.', '.'], [(18, 3), (13, 1), (18, 7)], [False, True, False, False], 98, False, [True, False, True, True], 9, 'North', (4, 10))
Element 2: (1, (4, 10), ['%', '', '.', '%'], [(18, 4), (13, 2), (17, 7)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (4, 11))
Element 3: (1, (4, 11), ['.', '', '%', '%'], [(18, 5), (13, 3), (16, 7)], [False, False, True, True], 94, False, [True, False, False, False], 87, 'West', (3, 11))
Element 4: (1, (3, 11), ['.', '%', '%', ''], [(18, 6), (13, 4), (16, 8)], [False, True, True, False], 92, False, [True, False, False, False], 126, 'West', (2, 11))
Element 5: (1, (2, 11), ['', '%', '%', ''], [(18, 7), (13, 5), (16, 9)], [False, True, True, False], 90, False, [False, False, False, False], 155, 'West', (1, 11))
Element 6: (1, (1, 11), ['%', '.', '%', ''], [(18, 8), (13, 6), (15, 9)], [True, False, True, False], 88, False, [False, True, False, False], 184, 'South', (1, 10))
Element 7: (1, (1, 10), ['%', '.', '', '%'], [(18, 9), (13, 7), (15, 10)], [True, False, False, True], 86, False, [False, True, False, False], 223, 'South', (1, 9))
Element 8: (1, (1, 9), ['%', '.', '', '%'], [(18, 10), (13, 8), (15, 11)], [True, False, False, True], 84, False, [False, True, False, False], 262, 'South', (1, 8))
Element 9: (1, (1, 8), ['%', '.', '', '%'], [(18, 11), (13, 9), (16, 11)], [True, False, False, True], 82, False, [False, True, False, False], 291, 'South', (1, 7))
Element 10: (1, (1, 7), ['%', '.', '', '.'], [(18, 10), (14, 9), (17, 11)], [True, False, False, False], 80, False, [False, True, False, True], 320, 'East', (2, 7))
Element 11: (1, (2, 7), ['', '%', '%', '.'], [(18, 9), (15, 9), (18, 11)], [False, True, True, False], 78, False, [False, False, False, True], 329, 'East', (3, 7))
Element 12: (1, (3, 7), ['', '.', '.', '.'], [(18, 8), (16, 9), (18, 10)], [False, False, False, False], 76, False, [False, True, True, True], 338, 'East', (4, 7))
Element 13: (1, (4, 7), ['', '.', '%', '.'], [(18, 7), (16, 8), (18, 9)], [False, False, True, False], 74, False, [False, True, False, True], 347, 'East', (5, 7))
