Element 1: (2, (3, 5), ['%', '.', 'G', '.'], [(13, 9), (3, 11), (3, 6)], [True, False, False, False], 98, False, [False, True, False, True], 19, 'East', (4, 5))
Element 2: (2, (4, 5), ['', '.', 'G', '.'], [(14, 9), (4, 11), (4, 6)], [False, False, False, False], 96, False, [False, True, False, True], 58, 'East', (5, 5))
Element 3: (2, (5, 5), ['', '.', 'G', '.'], [(15, 9), (4, 10), (5, 6)], [False, False, False, False], 94, False, [False, True, False, True], 97, 'East', (6, 5))
Element 4: (2, (6, 5), ['', '.', 'G', '%'], [(16, 9), (4, 9), (6, 6)], [False, False, False, True], 92, False, [False, True, False, False], 136, 'South', (6, 4))
Element 5: (2, (6, 4), ['.', '.', '', '%'], [(16, 8), (5, 9), (6, 7)], [False, False, False, True], 90, False, [True, True, False, False], 175, 'South', (6, 3))
Element 6: (2, (6, 3), ['.', '.', '', '.'], [(16, 7), (6, 9), (6, 8)], [False, False, False, False], 88, False, [True, True, False, True], 214, 'East', (7, 3))
Element 7: (2, (7, 3), ['', '%', '%', '.'], [(17, 7), (7, 9), (6, 7)], [False, True, True, False], 86, False, [False, False, False, True], 243, 'East', (8, 3))
Element 8: (2, (8, 3), ['', '%', '', '.'], [(18, 7), (6, 9), (5, 7)], [False, True, False, False], 84, False, [False, False, False, True], 272, 'East', (9, 3))
Element 9: (2, (9, 3), ['', '%', '%', '.'], [(18, 8), (6, 10), (4, 7)], [False, True, True, False], 82, False, [False, False, False, True], 311, 'East', (10, 3))
Element 10: (2, (10, 3), ['', '%', '%', '.'], [(18, 9), (6, 11), (3, 7)], [False, True, True, False], 80, False, [False, False, False, True], 350, 'East', (11, 3))
Element 11: (2, (11, 3), ['', '%', '%', '.'], [(18, 10), (7, 11), (3, 8)], [False, True, True, False], 78, False, [False, False, False, True], 389, 'East', (12, 3))
Element 12: (2, (12, 3), ['', '%', '%', '.'], [(18, 11), (8, 11), (3, 9)], [False, True, True, False], 76, False, [False, False, False, True], 418, 'East', (13, 3))
Element 13: (2, (13, 3), ['', '.', '.', '%'], [(17, 11), (9, 11), (4, 9)], [False, False, False, True], 74, False, [False, True, True, False], 447, 'North', (13, 4))
Element 14: (2, (13, 4), ['%', '', '.', '%'], [(16, 11), (10, 11), (5, 9)], [True, False, False, True], 72, False, [False, False, True, False], 476, 'North', (13, 5))
Element 15: (2, (13, 5), ['%', '', '.', '%'], [(15, 11), (11, 11), (6, 9)], [True, False, False, True], 70, False, [False, False, True, False], 505, 'North', (13, 6))
