Element 1: (2, (4, 5), ['.', '.', '.', '.'], [(16, 1), (1, 6), (16, 6)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (5, 5))
Element 2: (2, (5, 5), ['', '.', '.', '.'], [(17, 1), (1, 7), (16, 7)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (6, 5))
Element 3: (2, (6, 5), ['', '.', '.', '%'], [(18, 1), (2, 7), (17, 7)], [False, False, False, True], 94, False, [False, True, True, False], 87, 'North', (6, 6))
Element 4: (2, (6, 6), ['.', '', '.', '%'], [(18, 2), (3, 7), (18, 7)], [False, False, False, True], 92, False, [True, False, True, False], 126, 'North', (6, 7))
Element 5: (2, (6, 7), ['.', '', '.', ''], [(18, 3), (4, 7), (18, 8)], [False, False, False, False], 90, False, [True, False, True, False], 165, 'North', (6, 8))
Element 6: (2, (6, 8), ['%', '', '.', '%'], [(18, 4), (5, 7), (18, 9)], [True, False, False, True], 88, False, [False, False, True, False], 204, 'North', (6, 9))
Element 7: (2, (6, 9), ['.', '', '.', '.'], [(18, 5), (5, 6), (18, 10)], [False, False, False, False], 86, False, [True, False, True, True], 243, 'East', (7, 9))
Element 8: (2, (7, 9), ['', '%', '%', '%'], [(18, 6), (4, 6), (18, 11)], [False, True, True, True], 84, False, [False, False, False, False], 272, 'West', (6, 9))
Element 9: (2, (6, 9), ['.', '', '.', ''], [(18, 7), (3, 6), (17, 11)], [False, False, False, False], 82, False, [True, False, True, False], 291, 'North', (6, 10))
Element 10: (2, (6, 10), ['%', '', '.', '%'], [(18, 8), (3, 5), (16, 11)], [True, False, False, True], 80, False, [False, False, True, False], 320, 'North', (6, 11))
Element 11: (2, (6, 11), ['%', '', '%', '.'], [(18, 9), (3, 4), (15, 11)], [True, False, True, False], 78, False, [False, False, False, True], 349, 'East', (7, 11))
Element 12: (2, (7, 11), ['', '%', '%', '.'], [(18, 10), (4, 4), (15, 10)], [False, True, True, False], 76, False, [False, False, False, True], 378, 'East', (8, 11))
Element 13: (2, (8, 11), ['', '%', '%', '.'], [(18, 11), (5, 4), (15, 9)], [False, True, True, False], 74, False, [False, False, False, True], 407, 'East', (9, 11))
Element 14: (2, (9, 11), ['', '.', '%', '.'], [(17, 11), (6, 4), (16, 9)], [False, False, True, False], 72, False, [False, True, False, True], 436, 'East', (10, 11))
Element 15: (2, (10, 11), ['', '.', '%', '.'], [(16, 11), (6, 3), (16, 8)], [False, False, True, False], 70, False, [False, True, False, True], 465, 'East', (11, 11))
Element 16: (2, (11, 11), ['', '%', '%', '.'], [(15, 11), (7, 3), (16, 9)], [False, True, True, False], 68, False, [False, False, False, True], 484, 'East', (12, 11))
Element 17: (2, (12, 11), ['', '%', '%', '.'], [(15, 10), (8, 3), (15, 9)], [False, True, True, False], 66, False, [False, False, False, True], 503, 'East', (13, 11))
Element 18: (2, (13, 11), ['', '.', '%', '%'], [(15, 9), (9, 3), (14, 9)], [False, False, True, True], 64, False, [False, True, False, False], 532, 'South', (13, 10))
Element 19: (2, (13, 10), ['%', 'G', '', '%'], [(16, 9), (10, 3), (13, 9)], [True, False, False, True], 62, False, [False, False, False, False], 561, 'North', (13, 11))
Element 20: (2, (13, 11), ['', '', '%', '%'], [(16, 8), (11, 3), (13, 8)], [False, False, True, True], 60, False, [False, False, False, False], 580, 'West', (12, 11))
Element 21: (2, (12, 11), ['', '%', '%', ''], [(16, 7), (12, 3), (13, 7)], [False, True, True, False], 58, False, [False, False, False, False], 599, 'West', (11, 11))
Element 22: (2, (11, 11), ['', '%', '%', ''], [(15, 7), (13, 3), (13, 6)], [False, True, True, False], 56, False, [False, False, False, False], 628, 'West', (10, 11))
Element 23: (2, (10, 11), ['', '.', '%', ''], [(15, 6), (13, 4), (13, 5)], [False, False, True, False], 54, False, [False, True, False, False], 657, 'South', (10, 10))
Element 24: (2, (10, 10), ['.', '.', '', '%'], [(15, 5), (13, 5), (13, 6)], [False, False, False, True], 52, False, [True, True, False, False], 676, 'South', (10, 9))
Element 25: (2, (10, 9), ['.', '', '', '%'], [(16, 5), (13, 6), (13, 7)], [False, False, False, True], 50, False, [True, False, False, False], 695, 'West', (9, 9))
Element 26: (2, (9, 9), ['%', '', '.', ''], [(16, 4), (13, 7), (13, 8)], [True, False, False, False], 48, False, [False, False, True, False], 714, 'North', (9, 10))
Element 27: (2, (9, 10), ['%', '', '', ''], [(16, 3), (13, 8), (13, 9)], [True, False, False, False], 46, False, [False, False, False, False], 733, 'South', (9, 9))
Element 28: (2, (9, 9), ['%', '', '', ''], [(15, 3), (13, 9), (12, 9)], [True, False, False, False], 44, False, [False, False, False, False], 752, 'South', (9, 8))
Element 29: (2, (9, 8), ['%', '.', '', ''], [(15, 4), (14, 9), (12, 9)], [True, False, False, False], 42, False, [False, True, False, False], 761, 'South', (9, 7))
Element 30: (2, (9, 7), ['%', '%', '', '.'], [(15, 3), (15, 9), (12, 9)], [True, True, False, False], 40, False, [False, False, False, True], 770, 'East', (10, 7))
Element 31: (2, (10, 7), ['', '%', '', '.'], [(15, 2), (16, 9), (13, 9)], [False, True, False, False], 38, False, [False, False, False, True], 789, 'East', (11, 7))
Element 32: (2, (11, 7), ['', '%', '%', '%'], [(15, 3), (16, 8), (14, 9)], [False, True, True, True], 36, False, [False, False, False, False], 798, 'West', (10, 7))
Element 33: (2, (10, 7), ['', '%', '', ''], [(16, 3), (16, 7), (15, 9)], [False, True, False, False], 34, False, [False, False, False, False], 797, 'North', (10, 8))
Element 34: (2, (10, 8), ['', '', '', '%'], [(16, 4), (17, 7), (15, 10)], [False, False, False, True], 32, False, [False, False, False, False], 796, 'South', (10, 7))
Element 35: (2, (10, 7), ['', '%', '', ''], [(15, 4), (18, 7), (15, 11)], [False, True, False, False], 30, False, [False, False, False, False], 795, 'West', (9, 7))
Element 36: (2, (9, 7), ['%', '%', '', ''], [(16, 4), (18, 8), (16, 11)], [True, True, False, False], 28, False, [False, False, False, False], 794, 'North', (9, 8))
Element 37: (2, (9, 8), ['%', '', '', ''], [(16, 5), (18, 9), (17, 11)], [True, False, False, False], 26, False, [False, False, False, False], 793, 'East', (10, 8))
Element 38: (2, (10, 8), ['', '', '', '%'], [(16, 6), (18, 10), (18, 11)], [False, False, False, True], 24, False, [False, False, False, False], 792, 'West', (9, 8))
Element 39: (2, (9, 8), ['%', '', '', ''], [(16, 5), (18, 11), (17, 11)], [True, False, False, False], 22, False, [False, False, False, False], 791, 'North', (9, 9))
Element 40: (2, (9, 9), ['%', '', '', ''], [(15, 5), (18, 10), (17, 11)], [True, False, False, False], 20, False, [False, False, False, False], 790, 'East', (10, 9))
Element 41: (2, (10, 9), ['', '', '', '%'], [(15, 4), (18, 9), (17, 11)], [False, False, False, True], 18, False, [False, False, False, False], 789, 'South', (10, 8))
