Element 1: (2, (15, 11), ['%', '.', '%', '.'], [(13, 4), (13, 11), (16, 9)], [True, False, True, False], 98, False, [False, True, False, True], 19, 'East', (16, 11))
Element 2: (2, (16, 11), ['', '%', '%', '.'], [(13, 5), (12, 11), (16, 8)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (17, 11))
Element 3: (2, (17, 11), ['', '%', '%', ''], [(13, 6), (11, 11), (16, 7)], [False, True, True, False], 94, False, [False, False, False, False], 97, 'East', (18, 11))
Element 4: (2, (18, 11), ['', '.', '%', '%'], [(13, 7), (10, 11), (17, 7)], [False, False, True, True], 92, False, [False, True, False, False], 126, 'South', (18, 10))
Element 5: (2, (18, 10), ['%', '.', '', '%'], [(13, 8), (10, 10), (18, 7)], [True, False, False, True], 90, False, [False, True, False, False], 165, 'South', (18, 9))
Element 6: (2, (18, 9), ['%', 'G', '', '%'], [(13, 9), (10, 9), (18, 8)], [True, False, False, True], 88, False, [False, False, False, False], 204, 'North', (18, 10))
Element 7: (2, (18, 10), ['%', 'G', '', '%'], [(14, 9), (9, 9), (18, 9)], [True, False, False, True], 86, False, [False, False, False, False], 223, 'North', (18, 11))
Element 8: (2, (18, 11), ['', 'G', '%', '%'], [(15, 9), (9, 10), (18, 10)], [False, False, True, True], 84, False, [False, False, False, False], 242, 'West', (17, 11))
Element 9: (2, (17, 11), ['', '%', '%', 'G'], [(15, 10), (9, 11), (18, 11)], [False, True, True, False], 82, False, [False, False, False, False], 261, 'West', (16, 11))
Element 10: (2, (16, 11), ['G', '%', '%', 'G'], [(15, 11), (8, 11), (17, 11)], [False, True, True, False], 80, False, [False, False, False, False], 270, 'Stop', (16, 11))
Element 11: (2, (16, 11), ['', '%', '%', ''], [(15, 10), (7, 11), (18, 11)], [False, True, True, False], 78, False, [False, False, False, False], 279, 'West', (15, 11))
Element 12: (2, (15, 11), ['%', '', '%', ''], [(15, 9), (6, 11), (18, 10)], [True, False, True, False], 76, False, [False, False, False, False], 288, 'Stop', (15, 11))
Element 13: (2, (15, 11), ['%', '', '%', ''], [(16, 9), (6, 10), (18, 9)], [True, False, True, False], 74, False, [False, False, False, False], 297, 'Stop', (15, 11))
Element 14: (2, (15, 11), ['%', '', '%', ''], [(16, 8), (6, 9), (18, 8)], [True, False, True, False], 72, False, [False, False, False, False], 306, 'East', (16, 11))
Element 15: (2, (16, 11), ['', '%', '%', ''], [(16, 7), (7, 9), (18, 7)], [False, True, True, False], 70, False, [False, False, False, False], 315, 'East', (17, 11))
Element 16: (2, (17, 11), ['', '%', '%', ''], [(16, 6), (6, 9), (18, 6)], [False, True, True, False], 68, False, [False, False, False, False], 334, 'East', (18, 11))
Element 17: (2, (18, 11), ['', '', '%', '%'], [(16, 5), (6, 8), (18, 5)], [False, False, True, True], 66, False, [False, False, False, False], 363, 'South', (18, 10))
Element 18: (2, (18, 10), ['%', '', '', '%'], [(16, 4), (6, 7), (18, 4)], [True, False, False, True], 64, False, [False, False, False, False], 392, 'South', (18, 9))
Element 19: (2, (18, 9), ['%', '', '', '%'], [(16, 3), (6, 6), (18, 3)], [True, False, False, True], 62, False, [False, False, False, False], 421, 'South', (18, 8))
Element 20: (2, (18, 8), ['%', '', '', '%'], [(15, 3), (6, 5), (18, 2)], [True, False, False, True], 60, False, [False, False, False, False], 450, 'South', (18, 7))
Element 21: (2, (18, 7), ['', '', '', '%'], [(15, 4), (6, 4), (18, 1)], [False, False, False, True], 58, False, [False, False, False, False], 469, 'South', (18, 6))
Element 22: (2, (18, 6), ['%', '', '', '%'], [(15, 5), (6, 3), (17, 1)], [True, False, False, True], 56, False, [False, False, False, False], 498, 'South', (18, 5))
Element 23: (2, (18, 5), ['%', '', '', '%'], [(15, 6), (7, 3), (16, 1)], [True, False, False, True], 54, False, [False, False, False, False], 527, 'South', (18, 4))
Element 24: (2, (18, 4), ['%', '', '', '%'], [(15, 7), (8, 3), (15, 1)], [True, False, False, True], 52, False, [False, False, False, False], 556, 'South', (18, 3))
Element 25: (2, (18, 3), ['%', '', '', '%'], [(15, 6), (9, 3), (15, 2)], [True, False, False, True], 50, False, [False, False, False, False], 575, 'South', (18, 2))
Element 26: (2, (18, 2), ['%', '', '', '%'], [(15, 5), (10, 3), (15, 3)], [True, False, False, True], 48, False, [False, False, False, False], 584, 'South', (18, 1))
Element 27: (2, (18, 1), ['', '%', '', '%'], [(15, 4), (11, 3), (16, 3)], [False, True, False, True], 46, False, [False, False, False, False], 593, 'West', (17, 1))
