Element 1: (3, (16, 9), ['.', '.', '%', '%'], [(1, 5), (6, 8), (13, 2)], [False, False, True, True], 98, False, [True, True, False, False], 29, 'South', (16, 8))
Element 2: (3, (16, 8), ['%', '.', '', '%'], [(1, 6), (6, 9), (13, 3)], [True, False, False, True], 96, False, [False, True, False, False], 68, 'South', (16, 7))
Element 3: (3, (16, 7), ['.', '.', '', '.'], [(1, 7), (7, 9), (13, 4)], [False, False, False, False], 94, False, [True, True, False, True], 107, 'East', (17, 7))
Element 4: (3, (17, 7), ['', '%', '%', '.'], [(2, 7), (6, 9), (13, 5)], [False, True, True, False], 92, False, [False, False, False, True], 136, 'East', (18, 7))
Element 5: (3, (18, 7), ['', '.', '.', '%'], [(3, 7), (6, 10), (13, 6)], [False, False, False, True], 90, False, [False, True, True, False], 175, 'North', (18, 8))
Element 6: (3, (18, 8), ['%', '', '.', '%'], [(4, 7), (6, 11), (13, 7)], [True, False, False, True], 88, False, [False, False, True, False], 214, 'North', (18, 9))
Element 7: (3, (18, 9), ['%', '', '.', '%'], [(5, 7), (7, 11), (13, 8)], [True, False, False, True], 86, False, [False, False, True, False], 253, 'North', (18, 10))
Element 8: (3, (18, 10), ['%', '', '', '%'], [(5, 6), (8, 11), (13, 9)], [True, False, False, True], 84, False, [False, False, False, False], 292, 'North', (18, 11))
Element 9: (3, (18, 11), ['.', '', '%', '%'], [(6, 6), (9, 11), (14, 9)], [False, False, True, True], 82, False, [True, False, False, False], 321, 'West', (17, 11))
Element 10: (3, (17, 11), ['.', '%', '%', ''], [(6, 5), (10, 11), (15, 9)], [False, True, True, False], 80, False, [True, False, False, False], 360, 'West', (16, 11))
Element 11: (3, (16, 11), ['.', '%', '%', ''], [(6, 4), (11, 11), (15, 10)], [False, True, True, False], 78, False, [True, False, False, False], 399, 'West', (15, 11))
Element 12: (3, (15, 11), ['%', '', '%', ''], [(6, 3), (12, 11), (15, 9)], [True, False, True, False], 76, False, [False, False, False, False], 428, 'South', (15, 10))
Element 13: (3, (15, 10), ['%', '', '', '%'], [(7, 3), (13, 11), (16, 9)], [True, False, False, True], 74, False, [False, False, False, False], 447, 'South', (15, 9))
