Element 1: (0, (16, 3), ['.', '%', 'G', '%'], [(6, 5), (15, 7), (16, 4)], [False, True, False, True], 98, False, [True, False, False, False], 0, 'West', (15, 3))
Element 2: (0, (15, 3), ['%', '.', '.', ''], [(6, 6), (16, 7), (16, 5)], [True, False, False, False], 96, False, [False, True, True, False], 39, 'North', (15, 4))
Element 3: (0, (15, 4), ['%', '', '.', ''], [(6, 7), (17, 7), (16, 6)], [True, False, False, False], 94, False, [False, False, True, False], 78, 'North', (15, 5))
Element 4: (0, (15, 5), ['%', '', 'G', ''], [(6, 8), (18, 7), (15, 6)], [True, False, False, False], 92, False, [False, False, False, False], 117, 'East', (16, 5))
Element 5: (0, (16, 5), ['', '', '', '%'], [(6, 9), (18, 8), (15, 7)], [False, False, False, True], 90, False, [False, False, False, False], 136, 'North', (16, 6))
Element 6: (0, (16, 6), ['', '', 'G', '%'], [(7, 9), (18, 9), (16, 7)], [False, False, False, True], 88, False, [False, False, False, False], 155, 'West', (15, 6))
Element 7: (0, (15, 6), ['%', '', '', ''], [(6, 9), (18, 10), (16, 8)], [True, False, False, False], 86, False, [False, False, False, False], 174, 'North', (15, 7))
Element 8: (0, (15, 7), ['%', '', '%', ''], [(6, 10), (18, 11), (16, 9)], [True, False, True, False], 84, False, [False, False, False, False], 193, 'East', (16, 7))
Element 9: (0, (16, 7), ['', '', '', ''], [(6, 11), (17, 11), (15, 9)], [False, False, False, False], 82, False, [False, False, False, False], 222, 'East', (17, 7))
Element 10: (0, (17, 7), ['', '%', '%', ''], [(7, 11), (16, 11), (15, 10)], [False, True, True, False], 80, False, [False, False, False, False], 251, 'East', (18, 7))
Element 11: (0, (18, 7), ['', '.', '', '%'], [(8, 11), (15, 11), (15, 9)], [False, False, False, True], 78, False, [False, True, False, False], 270, 'South', (18, 6))
Element 12: (0, (18, 6), ['%', '.', '', '%'], [(9, 11), (15, 10), (14, 9)], [True, False, False, True], 76, False, [False, True, False, False], 299, 'South', (18, 5))
Element 13: (0, (18, 5), ['%', '.', '', '%'], [(10, 11), (15, 9), (13, 9)], [True, False, False, True], 74, False, [False, True, False, False], 328, 'South', (18, 4))
Element 14: (0, (18, 4), ['%', '.', '', '%'], [(11, 11), (16, 9), (13, 10)], [True, False, False, True], 72, False, [False, True, False, False], 357, 'South', (18, 3))
Element 15: (0, (18, 3), ['%', '.', '', '%'], [(12, 11), (16, 8), (13, 11)], [True, False, False, True], 70, False, [False, True, False, False], 386, 'South', (18, 2))
Element 16: (0, (18, 2), ['%', '', '', '%'], [(11, 11), (16, 9), (12, 11)], [True, False, False, True], 68, False, [False, False, False, False], 395, 'South', (18, 1))
Element 17: (0, (18, 1), ['.', '%', '', '%'], [(10, 11), (15, 9), (11, 11)], [False, True, False, True], 66, False, [True, False, False, False], 394, 'West', (17, 1))
Element 18: (0, (17, 1), ['.', '%', '%', ''], [(10, 10), (14, 9), (10, 11)], [False, True, True, False], 64, False, [True, False, False, False], 413, 'West', (16, 1))
Element 19: (0, (16, 1), ['.', '%', '%', ''], [(10, 9), (13, 9), (10, 10)], [False, True, True, False], 62, False, [True, False, False, False], 432, 'West', (15, 1))
Element 20: (0, (15, 1), ['%', '%', '.', ''], [(9, 9), (13, 8), (9, 10)], [True, True, False, False], 60, False, [False, False, True, False], 471, 'North', (15, 2))
Element 21: (0, (15, 2), ['%', '', '', '%'], [(9, 8), (13, 7), (9, 11)], [True, False, False, True], 58, False, [False, False, False, False], 490, 'South', (15, 1))
