Element 1: (0, (18, 5), ['%', 'G', '.', '%'], [(6, 8), (11, 1), (18, 4)], [True, False, False, True], 98, False, [False, False, True, False], 0, 'North', (18, 6))
Element 2: (0, (18, 6), ['%', '', '.', '%'], [(6, 9), (12, 1), (18, 3)], [True, False, False, True], 96, False, [False, False, True, False], 39, 'North', (18, 7))
Element 3: (0, (18, 7), ['.', '', '.', '%'], [(7, 9), (13, 1), (18, 2)], [False, False, False, True], 94, False, [True, False, True, False], 78, 'North', (18, 8))
Element 4: (0, (18, 8), ['%', '', '.', '%'], [(6, 9), (13, 2), (18, 1)], [True, False, False, True], 92, False, [False, False, True, False], 97, 'North', (18, 9))
Element 5: (0, (18, 9), ['%', '', '.', '%'], [(6, 10), (13, 3), (17, 1)], [True, False, False, True], 90, False, [False, False, True, False], 136, 'North', (18, 10))
Element 6: (0, (18, 10), ['%', '', '', '%'], [(6, 11), (13, 4), (16, 1)], [True, False, False, True], 88, False, [False, False, False, False], 175, 'North', (18, 11))
Element 7: (0, (18, 11), ['.', '', '%', '%'], [(7, 11), (13, 5), (15, 1)], [False, False, True, True], 86, False, [True, False, False, False], 204, 'West', (17, 11))
Element 8: (0, (17, 11), ['.', '%', '%', ''], [(8, 11), (13, 6), (15, 2)], [False, True, True, False], 84, False, [True, False, False, False], 243, 'West', (16, 11))
Element 9: (0, (16, 11), ['.', '%', '%', ''], [(9, 11), (13, 7), (15, 3)], [False, True, True, False], 82, False, [True, False, False, False], 282, 'West', (15, 11))
Element 10: (0, (15, 11), ['%', '.', '%', ''], [(10, 11), (13, 8), (16, 3)], [True, False, True, False], 80, False, [False, True, False, False], 321, 'South', (15, 10))
Element 11: (0, (15, 10), ['%', '.', '', '%'], [(11, 11), (13, 9), (16, 4)], [True, False, False, True], 78, False, [False, True, False, False], 360, 'South', (15, 9))
Element 12: (0, (15, 9), ['G', '%', '', '.'], [(12, 11), (14, 9), (16, 5)], [False, True, False, False], 76, False, [False, False, False, True], 399, 'East', (16, 9))
Element 13: (0, (16, 9), ['G', '.', '%', '%'], [(13, 11), (15, 9), (16, 6)], [False, False, True, True], 74, False, [False, True, False, False], 428, 'South', (16, 8))
Element 14: (0, (16, 8), ['%', 'G', 'G', '%'], [(13, 10), (16, 9), (16, 7)], [True, False, False, True], 72, False, [False, False, False, False], 457, 'Stop', (16, 8))
Element 15: (0, (16, 8), ['%', '', '', '%'], [(13, 9), (15, 9), (17, 7)], [True, False, False, True], 70, False, [False, False, False, False], 466, 'South', (16, 7))
Element 16: (0, (16, 7), ['.', '', '', ''], [(12, 9), (15, 10), (18, 7)], [False, False, False, False], 68, False, [True, False, False, False], 475, 'West', (15, 7))
Element 17: (0, (15, 7), ['%', '.', '%', ''], [(13, 9), (15, 11), (18, 8)], [True, False, True, False], 66, False, [False, True, False, False], 484, 'South', (15, 6))
Element 18: (0, (15, 6), ['%', '.', '', ''], [(14, 9), (16, 11), (18, 9)], [True, False, False, False], 64, False, [False, True, False, False], 493, 'South', (15, 5))
Element 19: (0, (15, 5), ['%', '.', '', ''], [(15, 9), (17, 11), (18, 10)], [True, False, False, False], 62, False, [False, True, False, False], 502, 'South', (15, 4))
Element 20: (0, (15, 4), ['%', '', '', ''], [(16, 9), (18, 11), (18, 9)], [True, False, False, False], 60, False, [False, False, False, False], 511, 'East', (16, 4))
Element 21: (0, (16, 4), ['', '', '', '%'], [(16, 8), (18, 10), (18, 8)], [False, False, False, True], 58, False, [False, False, False, False], 510, 'North', (16, 5))
Element 22: (0, (16, 5), ['', '', '', '%'], [(16, 7), (18, 9), (18, 7)], [False, False, False, True], 56, False, [False, False, False, False], 509, 'North', (16, 6))
Element 23: (0, (16, 6), ['', '', '', '%'], [(17, 7), (18, 8), (18, 6)], [False, False, False, True], 54, False, [False, False, False, False], 508, 'South', (16, 5))
Element 24: (0, (16, 5), ['', '', '', '%'], [(18, 7), (18, 9), (18, 5)], [False, False, False, True], 52, False, [False, False, False, False], 507, 'South', (16, 4))
