Element 1: (1, (10, 10), ['.', '.', 'G', '%'], [(10, 11), (11, 11), (13, 6)], [False, False, False, True], 98, False, [True, True, False, False], 9, 'South', (10, 9))
Element 2: (1, (10, 9), ['.', '', '', '%'], [(11, 11), (12, 11), (13, 7)], [False, False, False, True], 96, False, [True, False, False, False], 38, 'West', (9, 9))
Element 3: (1, (9, 9), ['%', '', '.', ''], [(12, 11), (13, 11), (13, 8)], [True, False, False, False], 94, False, [False, False, True, False], 67, 'North', (9, 10))
Element 4: (1, (9, 10), ['%', '', '', ''], [(13, 11), (13, 10), (13, 9)], [True, False, False, False], 92, False, [False, False, False, False], 96, 'North', (9, 11))
Element 5: (1, (9, 11), ['.', '', '%', ''], [(12, 11), (13, 10), (14, 9)], [False, False, True, False], 90, False, [True, False, False, False], 105, 'West', (8, 11))
Element 6: (1, (8, 11), ['.', '%', '%', ''], [(11, 11), (13, 9), (15, 9)], [False, True, True, False], 88, False, [True, False, False, False], 124, 'West', (7, 11))
Element 7: (1, (7, 11), ['.', '%', '%', ''], [(10, 11), (12, 9), (16, 9)], [False, True, True, False], 86, False, [True, False, False, False], 153, 'West', (6, 11))
Element 8: (1, (6, 11), ['%', '.', '%', ''], [(10, 10), (13, 9), (16, 8)], [True, False, True, False], 84, False, [False, True, False, False], 172, 'South', (6, 10))
Element 9: (1, (6, 10), ['%', '.', '', '%'], [(10, 9), (14, 9), (16, 7)], [True, False, False, True], 82, False, [False, True, False, False], 191, 'South', (6, 9))
Element 10: (1, (6, 9), ['.', '.', '', '.'], [(10, 8), (15, 9), (17, 7)], [False, False, False, False], 80, False, [True, True, False, True], 210, 'East', (7, 9))
Element 11: (1, (7, 9), ['', '%', '%', '%'], [(10, 7), (15, 10), (18, 7)], [False, True, True, True], 78, False, [False, False, False, False], 249, 'West', (6, 9))
Element 12: (1, (6, 9), ['.', '.', '', ''], [(11, 7), (15, 11), (18, 8)], [False, False, False, False], 76, False, [True, True, False, False], 278, 'South', (6, 8))
Element 13: (1, (6, 8), ['%', '.', '', '%'], [(10, 7), (16, 11), (18, 9)], [True, False, False, True], 74, False, [False, True, False, False], 307, 'South', (6, 7))
Element 14: (1, (6, 7), ['.', '.', '', ''], [(9, 7), (17, 11), (18, 10)], [False, False, False, False], 72, False, [True, True, False, False], 346, 'South', (6, 6))
Element 15: (1, (6, 6), ['.', '.', '', '%'], [(9, 8), (18, 11), (18, 9)], [False, False, False, True], 70, False, [True, True, False, False], 355, 'South', (6, 5))
Element 16: (1, (6, 5), ['.', '.', '', '%'], [(9, 9), (18, 10), (18, 8)], [False, False, False, True], 68, False, [True, True, False, False], 364, 'South', (6, 4))
Element 17: (1, (6, 4), ['.', '.', '', '%'], [(9, 10), (18, 9), (18, 7)], [False, False, False, True], 66, False, [True, True, False, False], 373, 'South', (6, 3))
Element 18: (1, (6, 3), ['.', '.', '', '.'], [(9, 9), (18, 8), (18, 6)], [False, False, False, False], 64, False, [True, True, False, True], 392, 'East', (7, 3))
Element 19: (1, (7, 3), ['', '%', '%', '.'], [(9, 8), (18, 7), (18, 5)], [False, True, True, False], 62, False, [False, False, False, True], 411, 'East', (8, 3))
