Element 1: (1, (1, 8), ['%', '.', '.', '%'], [(18, 7), (6, 10), (10, 9)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 9))
Element 2: (1, (1, 9), ['%', '', '.', '%'], [(18, 8), (6, 11), (10, 10)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 10))
Element 3: (1, (1, 10), ['%', '', '', '%'], [(18, 9), (7, 11), (10, 11)], [True, False, False, True], 94, False, [False, False, False, False], 87, 'North', (1, 11))
Element 4: (1, (1, 11), ['%', '', '%', '.'], [(18, 10), (8, 11), (11, 11)], [True, False, True, False], 92, False, [False, False, False, True], 116, 'East', (2, 11))
Element 5: (1, (2, 11), ['', '%', '%', '.'], [(18, 11), (9, 11), (12, 11)], [False, True, True, False], 90, False, [False, False, False, True], 145, 'East', (3, 11))
Element 6: (1, (3, 11), ['', '%', '%', '.'], [(17, 11), (9, 10), (13, 11)], [False, True, True, False], 88, False, [False, False, False, True], 184, 'East', (4, 11))
Element 7: (1, (4, 11), ['', '.', '%', '%'], [(16, 11), (9, 9), (13, 10)], [False, False, True, True], 86, False, [False, True, False, False], 223, 'South', (4, 10))
Element 8: (1, (4, 10), ['%', '.', '', '%'], [(15, 11), (10, 9), (13, 9)], [True, False, False, True], 84, False, [False, True, False, False], 252, 'South', (4, 9))
Element 9: (1, (4, 9), ['.', '%', '', '.'], [(15, 10), (10, 10), (14, 9)], [False, True, False, False], 82, False, [True, False, False, True], 281, 'East', (5, 9))
Element 10: (1, (5, 9), ['', '%', '%', '.'], [(15, 11), (10, 11), (15, 9)], [False, True, True, False], 80, False, [False, False, False, True], 300, 'East', (6, 9))
Element 11: (1, (6, 9), ['', '.', '', '.'], [(16, 11), (11, 11), (16, 9)], [False, False, False, False], 78, False, [False, True, False, True], 319, 'East', (7, 9))
Element 12: (1, (7, 9), ['', '%', '%', '%'], [(17, 11), (12, 11), (16, 8)], [False, True, True, True], 76, False, [False, False, False, False], 338, 'West', (6, 9))
Element 13: (1, (6, 9), ['', '.', '', ''], [(18, 11), (13, 11), (16, 7)], [False, False, False, False], 74, False, [False, True, False, False], 347, 'South', (6, 8))
Element 14: (1, (6, 8), ['%', '.', '', '%'], [(18, 10), (13, 10), (16, 6)], [True, False, False, True], 72, False, [False, True, False, False], 366, 'South', (6, 7))
Element 15: (1, (6, 7), ['.', '.', '', ''], [(18, 9), (13, 9), (16, 5)], [False, False, False, False], 70, False, [True, True, False, False], 385, 'South', (6, 6))
Element 16: (1, (6, 6), ['.', '.', '', '%'], [(18, 8), (13, 8), (16, 4)], [False, False, False, True], 68, False, [True, True, False, False], 414, 'South', (6, 5))
Element 17: (1, (6, 5), ['.', '.', '', '%'], [(18, 7), (13, 7), (16, 3)], [False, False, False, True], 66, False, [True, True, False, False], 443, 'South', (6, 4))
Element 18: (1, (6, 4), ['.', '.', '', '%'], [(18, 6), (13, 6), (15, 3)], [False, False, False, True], 64, False, [True, True, False, False], 482, 'South', (6, 3))
Element 19: (1, (6, 3), ['.', '.', '', '.'], [(18, 5), (13, 5), (15, 4)], [False, False, False, False], 62, False, [True, True, False, True], 521, 'East', (7, 3))
Element 20: (1, (7, 3), ['', '%', '%', '.'], [(18, 4), (13, 4), (15, 5)], [False, True, True, False], 60, False, [False, False, False, True], 560, 'East', (8, 3))
Element 21: (1, (8, 3), ['', '%', '', '.'], [(18, 3), (13, 3), (15, 6)], [False, True, False, False], 58, False, [False, False, False, True], 599, 'East', (9, 3))
Element 22: (1, (9, 3), ['', '%', '%', '.'], [(18, 2), (13, 2), (15, 7)], [False, True, True, False], 56, False, [False, False, False, True], 638, 'East', (10, 3))
Element 23: (1, (10, 3), ['', '%', '%', '.'], [(18, 1), (13, 1), (15, 6)], [False, True, True, False], 54, False, [False, False, False, True], 657, 'East', (11, 3))
Element 24: (1, (11, 3), ['', '%', '%', '.'], [(17, 1), (12, 1), (15, 5)], [False, True, True, False], 52, False, [False, False, False, True], 686, 'East', (12, 3))
Element 25: (1, (12, 3), ['', '%', '%', ''], [(16, 1), (11, 1), (15, 4)], [False, True, True, False], 50, False, [False, False, False, False], 715, 'East', (13, 3))
