Element 1: (1, (10, 11), ['.', 'G', '%', '.'], [(10, 10), (15, 7), (18, 5)], [False, False, True, False], 98, False, [True, False, False, True], 9, 'East', (11, 11))
Element 2: (1, (11, 11), ['', '%', '%', '.'], [(10, 9), (16, 7), (18, 6)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (12, 11))
Element 3: (1, (12, 11), ['', '%', '%', '.'], [(9, 9), (17, 7), (18, 7)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (13, 11))
Element 4: (1, (13, 11), ['', '.', '%', '%'], [(9, 8), (16, 7), (18, 8)], [False, False, True, True], 92, False, [False, True, False, False], 106, 'South', (13, 10))
Element 5: (1, (13, 10), ['%', '.', '', '%'], [(9, 7), (16, 8), (18, 9)], [True, False, False, True], 90, False, [False, True, False, False], 145, 'South', (13, 9))
Element 6: (1, (13, 9), ['.', '.', '', '.'], [(10, 7), (16, 9), (18, 10)], [False, False, False, False], 88, False, [True, True, False, True], 184, 'East', (14, 9))
Element 7: (1, (14, 9), ['', '%', '%', 'G'], [(11, 7), (15, 9), (18, 11)], [False, True, True, False], 86, False, [False, False, False, False], 213, 'West', (13, 9))
Element 8: (1, (13, 9), ['.', '.', '', ''], [(10, 7), (15, 10), (17, 11)], [False, False, False, False], 84, False, [True, True, False, False], 232, 'South', (13, 8))
Element 9: (1, (13, 8), ['%', '.', '', '%'], [(10, 8), (15, 11), (16, 11)], [True, False, False, True], 82, False, [False, True, False, False], 261, 'South', (13, 7))
Element 10: (1, (13, 7), ['%', '.', '', '%'], [(10, 7), (15, 10), (15, 11)], [True, False, False, True], 80, False, [False, True, False, False], 270, 'South', (13, 6))
Element 11: (1, (13, 6), ['%', '.', '', '%'], [(9, 7), (15, 9), (15, 10)], [True, False, False, True], 78, False, [False, True, False, False], 279, 'South', (13, 5))
Element 12: (1, (13, 5), ['%', '.', '', '%'], [(9, 8), (14, 9), (15, 9)], [True, False, False, True], 76, False, [False, True, False, False], 288, 'South', (13, 4))
Element 13: (1, (13, 4), ['%', '.', '', '%'], [(10, 8), (13, 9), (16, 9)], [True, False, False, True], 74, False, [False, True, False, False], 297, 'South', (13, 3))
Element 14: (1, (13, 3), ['.', '.', '', '%'], [(9, 8), (12, 9), (16, 8)], [False, False, False, True], 72, False, [True, True, False, False], 316, 'South', (13, 2))
Element 15: (1, (13, 2), ['%', '.', '', '%'], [(9, 9), (13, 9), (16, 7)], [True, False, False, True], 70, False, [False, True, False, False], 325, 'South', (13, 1))
Element 16: (1, (13, 1), ['.', '%', '', '%'], [(10, 9), (13, 10), (16, 6)], [False, True, False, True], 68, False, [True, False, False, False], 344, 'West', (12, 1))
