Element 1: (0, (5, 6), ['.', '.', 'G', '.'], [(4, 10), (5, 7), (17, 7)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'East', (6, 6))
Element 2: (0, (6, 6), ['', '.', 'G', '%'], [(4, 11), (6, 7), (18, 7)], [False, False, False, True], 96, False, [False, True, False, False], 39, 'South', (6, 5))
Element 3: (0, (6, 5), ['.', '.', '', '%'], [(3, 11), (6, 8), (18, 8)], [False, False, False, True], 94, False, [True, True, False, False], 78, 'South', (6, 4))
Element 4: (0, (6, 4), ['.', '.', '', '%'], [(2, 11), (6, 9), (18, 9)], [False, False, False, True], 92, False, [True, True, False, False], 117, 'South', (6, 3))
Element 5: (0, (6, 3), ['.', '.', '', '.'], [(1, 11), (7, 9), (18, 10)], [False, False, False, False], 90, False, [True, True, False, True], 146, 'East', (7, 3))
Element 6: (0, (7, 3), ['', '%', '%', '.'], [(1, 10), (6, 9), (18, 11)], [False, True, True, False], 88, False, [False, False, False, True], 165, 'East', (8, 3))
Element 7: (0, (8, 3), ['', '%', '', '.'], [(1, 9), (6, 10), (17, 11)], [False, True, False, False], 86, False, [False, False, False, True], 204, 'East', (9, 3))
Element 8: (0, (9, 3), ['', '%', '%', '.'], [(1, 8), (6, 11), (16, 11)], [False, True, True, False], 84, False, [False, False, False, True], 243, 'East', (10, 3))
Element 9: (0, (10, 3), ['', '%', '%', '.'], [(1, 7), (7, 11), (15, 11)], [False, True, True, False], 82, False, [False, False, False, True], 282, 'East', (11, 3))
Element 10: (0, (11, 3), ['', '%', '%', '.'], [(2, 7), (8, 11), (15, 10)], [False, True, True, False], 80, False, [False, False, False, True], 321, 'East', (12, 3))
Element 11: (0, (12, 3), ['', '%', '%', '.'], [(3, 7), (9, 11), (15, 9)], [False, True, True, False], 78, False, [False, False, False, True], 360, 'East', (13, 3))
Element 12: (0, (13, 3), ['', '.', '.', '%'], [(4, 7), (10, 11), (16, 9)], [False, False, False, True], 76, False, [False, True, True, False], 399, 'North', (13, 4))
Element 13: (0, (13, 4), ['%', '', '.', '%'], [(4, 6), (11, 11), (16, 8)], [True, False, False, True], 74, False, [False, False, True, False], 438, 'North', (13, 5))
Element 14: (0, (13, 5), ['%', '', '.', '%'], [(4, 5), (12, 11), (16, 7)], [True, False, False, True], 72, False, [False, False, True, False], 477, 'North', (13, 6))
Element 15: (0, (13, 6), ['%', '', '.', '%'], [(5, 5), (13, 11), (16, 6)], [True, False, False, True], 70, False, [False, False, True, False], 516, 'North', (13, 7))
Element 16: (0, (13, 7), ['%', '', '.', '%'], [(5, 4), (13, 10), (16, 5)], [True, False, False, True], 68, False, [False, False, True, False], 555, 'North', (13, 8))
Element 17: (0, (13, 8), ['%', '', 'G', '%'], [(5, 3), (13, 9), (16, 4)], [True, False, False, True], 66, False, [False, False, False, False], 594, 'South', (13, 7))
Element 18: (0, (13, 7), ['%', '', '', '%'], [(4, 3), (14, 9), (16, 3)], [True, False, False, True], 64, False, [False, False, False, False], 623, 'South', (13, 6))
Element 19: (0, (13, 6), ['%', '', '', '%'], [(4, 4), (15, 9), (15, 3)], [True, False, False, True], 62, False, [False, False, False, False], 642, 'South', (13, 5))
Element 20: (0, (13, 5), ['%', '', '', '%'], [(3, 4), (16, 9), (15, 4)], [True, False, False, True], 60, False, [False, False, False, False], 661, 'South', (13, 4))
Element 21: (0, (13, 4), ['%', '', '', '%'], [(3, 5), (16, 8), (15, 5)], [True, False, False, True], 58, False, [False, False, False, False], 680, 'South', (13, 3))
Element 22: (0, (13, 3), ['', '.', '', '%'], [(3, 6), (16, 7), (15, 6)], [False, False, False, True], 56, False, [False, True, False, False], 699, 'South', (13, 2))
Element 23: (0, (13, 2), ['%', '.', '', '%'], [(3, 5), (15, 7), (15, 5)], [True, False, False, True], 54, False, [False, True, False, False], 718, 'South', (13, 1))
Element 24: (0, (13, 1), ['.', '%', '', '%'], [(3, 4), (15, 6), (15, 4)], [False, True, False, True], 52, False, [True, False, False, False], 727, 'West', (12, 1))
Element 25: (0, (12, 1), ['.', '%', '%', ''], [(3, 3), (16, 6), (15, 3)], [False, True, True, False], 50, False, [True, False, False, False], 746, 'West', (11, 1))
Element 26: (0, (11, 1), ['.', '%', '%', ''], [(3, 2), (16, 5), (15, 2)], [False, True, True, False], 48, False, [True, False, False, False], 1765, 'West', (10, 1))
Element 27: #1#
