Element 1: (1, (6, 10), ['%', '.', 'G', '%'], [(13, 8), (6, 11), (16, 3)], [True, False, False, True], 98, False, [False, True, False, False], 9, 'South', (6, 9))
Element 2: (1, (6, 9), ['.', '.', '', '.'], [(13, 9), (7, 11), (16, 4)], [False, False, False, False], 96, False, [True, True, False, True], 48, 'East', (7, 9))
Element 3: (1, (7, 9), ['', '%', '%', '%'], [(14, 9), (8, 11), (16, 5)], [False, True, True, True], 94, False, [False, False, False, False], 87, 'West', (6, 9))
Element 4: (1, (6, 9), ['.', '.', '', ''], [(15, 9), (9, 11), (16, 6)], [False, False, False, False], 92, False, [True, True, False, False], 116, 'South', (6, 8))
Element 5: (1, (6, 8), ['%', '.', '', '%'], [(16, 9), (10, 11), (16, 7)], [True, False, False, True], 90, False, [False, True, False, False], 155, 'South', (6, 7))
Element 6: (1, (6, 7), ['.', '.', '', ''], [(16, 8), (11, 11), (17, 7)], [False, False, False, False], 88, False, [True, True, False, False], 194, 'South', (6, 6))
Element 7: (1, (6, 6), ['.', '.', '', '%'], [(16, 7), (12, 11), (18, 7)], [False, False, False, True], 86, False, [True, True, False, False], 223, 'South', (6, 5))
Element 8: (1, (6, 5), ['.', '.', '', '%'], [(15, 7), (13, 11), (18, 8)], [False, False, False, True], 84, False, [True, True, False, False], 262, 'South', (6, 4))
Element 9: (1, (6, 4), ['.', '.', '', '%'], [(15, 6), (13, 10), (18, 9)], [False, False, False, True], 82, False, [True, True, False, False], 301, 'South', (6, 3))
Element 10: (1, (6, 3), ['.', '.', '', '.'], [(15, 5), (13, 9), (18, 10)], [False, False, False, False], 80, False, [True, True, False, True], 330, 'East', (7, 3))
Element 11: (1, (7, 3), ['', '%', '%', '.'], [(15, 4), (12, 9), (18, 11)], [False, True, True, False], 78, False, [False, False, False, True], 359, 'East', (8, 3))
Element 12: (1, (8, 3), ['', '%', '', '.'], [(15, 3), (13, 9), (17, 11)], [False, True, False, False], 76, False, [False, False, False, True], 388, 'East', (9, 3))
Element 13: (1, (9, 3), ['', '%', '%', '.'], [(15, 2), (14, 9), (16, 11)], [False, True, True, False], 74, False, [False, False, False, True], 417, 'East', (10, 3))
Element 14: (1, (10, 3), ['', '%', '%', '.'], [(15, 1), (15, 9), (15, 11)], [False, True, True, False], 72, False, [False, False, False, True], 446, 'East', (11, 3))
Element 15: (1, (11, 3), ['', '%', '%', '.'], [(16, 1), (15, 10), (16, 11)], [False, True, True, False], 70, False, [False, False, False, True], 475, 'East', (12, 3))
Element 16: (1, (12, 3), ['', '%', '%', '.'], [(17, 1), (15, 11), (17, 11)], [False, True, True, False], 68, False, [False, False, False, True], 494, 'East', (13, 3))
Element 17: (1, (13, 3), ['', '.', '.', '%'], [(18, 1), (16, 11), (18, 11)], [False, False, False, True], 66, False, [False, True, True, False], 503, 'North', (13, 4))
Element 18: (1, (13, 4), ['%', '', '.', '%'], [(18, 2), (17, 11), (18, 10)], [True, False, False, True], 64, False, [False, False, True, False], 522, 'North', (13, 5))
Element 19: (1, (13, 5), ['%', '', '.', '%'], [(18, 3), (18, 11), (18, 9)], [True, False, False, True], 62, False, [False, False, True, False], 541, 'North', (13, 6))
Element 20: (1, (13, 6), ['%', '', '', '%'], [(18, 4), (18, 10), (18, 8)], [True, False, False, True], 60, False, [False, False, False, False], 560, 'North', (13, 7))
Element 21: (1, (13, 7), ['%', '', '', '%'], [(18, 5), (18, 9), (18, 7)], [True, False, False, True], 58, False, [False, False, False, False], 569, 'North', (13, 8))
Element 22: (1, (13, 8), ['%', '', '', '%'], [(18, 4), (18, 8), (18, 6)], [True, False, False, True], 56, False, [False, False, False, False], 578, 'North', (13, 9))
Element 23: (1, (13, 9), ['', '', '', ''], [(18, 3), (18, 7), (18, 5)], [False, False, False, False], 54, False, [False, False, False, False], 577, 'East', (14, 9))
Element 24: (1, (14, 9), ['', '%', '%', ''], [(18, 2), (18, 6), (18, 4)], [False, True, True, False], 52, False, [False, False, False, False], 576, 'East', (15, 9))
Element 25: (1, (15, 9), ['', '%', '', ''], [(18, 1), (18, 5), (18, 3)], [False, True, False, False], 50, False, [False, False, False, False], 575, 'East', (16, 9))
Element 26: (1, (16, 9), ['', '', '%', '%'], [(17, 1), (18, 4), (18, 2)], [False, False, True, True], 48, False, [False, False, False, False], 574, 'South', (16, 8))
Element 27: (1, (16, 8), ['%', '', '', '%'], [(16, 1), (18, 3), (18, 1)], [True, False, False, True], 46, False, [False, False, False, False], 573, 'South', (16, 7))
Element 28: (1, (16, 7), ['', '', '', ''], [(15, 1), (18, 2), (17, 1)], [False, False, False, False], 44, False, [False, False, False, False], 572, 'East', (17, 7))
Element 29: (1, (17, 7), ['', '%', '%', ''], [(15, 2), (18, 1), (16, 1)], [False, True, True, False], 42, False, [False, False, False, False], 571, 'East', (18, 7))
Element 30: (1, (18, 7), ['', '', '', '%'], [(15, 3), (17, 1), (15, 1)], [False, False, False, True], 40, False, [False, False, False, False], 570, 'North', (18, 8))
Element 31: (1, (18, 8), ['%', '', '', '%'], [(16, 3), (16, 1), (15, 2)], [True, False, False, True], 38, False, [False, False, False, False], 569, 'North', (18, 9))
