Element 1: (0, (10, 9), ['.', '', '.', '%'], [(5, 5), (6, 11), (17, 1)], [False, False, False, True], 98, False, [True, False, True, False], 0, 'North', (10, 10))
Element 2: (0, (10, 10), ['.', '', '.', '%'], [(6, 5), (7, 11), (16, 1)], [False, False, False, True], 96, False, [True, False, True, False], 39, 'North', (10, 11))
Element 3: (0, (10, 11), ['.', '', '%', '.'], [(6, 6), (8, 11), (15, 1)], [False, False, True, False], 94, False, [True, False, False, True], 78, 'East', (11, 11))
Element 4: (0, (11, 11), ['', '%', '%', '.'], [(6, 7), (9, 11), (15, 2)], [False, True, True, False], 92, False, [False, False, False, True], 117, 'East', (12, 11))
Element 5: (0, (12, 11), ['', '%', '%', '.'], [(6, 8), (9, 10), (15, 3)], [False, True, True, False], 90, False, [False, False, False, True], 156, 'East', (13, 11))
Element 6: (0, (13, 11), ['', '.', '%', '%'], [(6, 9), (9, 9), (16, 3)], [False, False, True, True], 88, False, [False, True, False, False], 195, 'South', (13, 10))
Element 7: (0, (13, 10), ['%', '.', '', '%'], [(7, 9), (10, 9), (16, 4)], [True, False, False, True], 86, False, [False, True, False, False], 224, 'South', (13, 9))
Element 8: (0, (13, 9), ['.', '.', '', '.'], [(6, 9), (10, 10), (16, 5)], [False, False, False, False], 84, False, [True, True, False, True], 243, 'East', (14, 9))
Element 9: (0, (14, 9), ['', '%', '%', '.'], [(6, 10), (10, 11), (16, 6)], [False, True, True, False], 82, False, [False, False, False, True], 272, 'East', (15, 9))
Element 10: (0, (15, 9), ['', '%', '.', '.'], [(6, 11), (11, 11), (16, 7)], [False, True, False, False], 80, False, [False, False, True, True], 291, 'East', (16, 9))
Element 11: (0, (16, 9), ['', '.', '%', '%'], [(7, 11), (12, 11), (17, 7)], [False, False, True, True], 78, False, [False, True, False, False], 310, 'South', (16, 8))
Element 12: (0, (16, 8), ['%', '', '', '%'], [(8, 11), (13, 11), (18, 7)], [True, False, False, True], 76, False, [False, False, False, False], 329, 'South', (16, 7))
Element 13: (0, (16, 7), ['.', '', '', ''], [(9, 11), (13, 10), (18, 8)], [False, False, False, False], 74, False, [True, False, False, False], 338, 'West', (15, 7))
Element 14: (0, (15, 7), ['%', '.', '%', ''], [(10, 11), (13, 9), (18, 9)], [True, False, True, False], 72, False, [False, True, False, False], 357, 'South', (15, 6))
Element 15: (0, (15, 6), ['%', '.', '', ''], [(11, 11), (13, 8), (18, 10)], [True, False, False, False], 70, False, [False, True, False, False], 386, 'South', (15, 5))
Element 16: (0, (15, 5), ['%', '.', '', ''], [(12, 11), (13, 7), (18, 11)], [True, False, False, False], 68, False, [False, True, False, False], 405, 'South', (15, 4))
Element 17: (0, (15, 4), ['%', '', '', ''], [(13, 11), (13, 6), (17, 11)], [True, False, False, False], 66, False, [False, False, False, False], 434, 'East', (16, 4))
Element 18: (0, (16, 4), ['', '', '', '%'], [(13, 10), (13, 5), (16, 11)], [False, False, False, True], 64, False, [False, False, False, False], 453, 'North', (16, 5))
Element 19: (0, (16, 5), ['', '', '', '%'], [(13, 9), (13, 4), (15, 11)], [False, False, False, True], 62, False, [False, False, False, False], 472, 'North', (16, 6))
Element 20: (0, (16, 6), ['', '', '', '%'], [(12, 9), (13, 3), (15, 10)], [False, False, False, True], 60, False, [False, False, False, False], 501, 'South', (16, 5))
