Element 1: (2, (9, 11), ['.', '.', '%', '.'], [(1, 9), (4, 7), (15, 7)], [False, False, True, False], 98, False, [True, True, False, True], 19, 'East', (10, 11))
Element 2: (2, (10, 11), ['', '.', '%', '.'], [(1, 8), (5, 7), (16, 7)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (11, 11))
Element 3: (2, (11, 11), ['', '%', '%', '.'], [(1, 7), (6, 7), (17, 7)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (12, 11))
Element 4: (2, (12, 11), ['', '%', '%', '.'], [(2, 7), (6, 8), (18, 7)], [False, True, True, False], 92, False, [False, False, False, True], 136, 'East', (13, 11))
Element 5: (2, (13, 11), ['', '.', '%', '%'], [(3, 7), (6, 9), (18, 8)], [False, False, True, True], 90, False, [False, True, False, False], 165, 'South', (13, 10))
Element 6: (2, (13, 10), ['%', '.', '', '%'], [(3, 8), (7, 9), (18, 9)], [True, False, False, True], 88, False, [False, True, False, False], 204, 'South', (13, 9))
Element 7: (2, (13, 9), ['.', '.', '', '.'], [(3, 9), (6, 9), (18, 10)], [False, False, False, False], 86, False, [True, True, False, True], 233, 'East', (14, 9))
Element 8: (2, (14, 9), ['', '%', '%', '.'], [(4, 9), (6, 10), (18, 11)], [False, True, True, False], 84, False, [False, False, False, True], 262, 'East', (15, 9))
Element 9: (2, (15, 9), ['', '%', '.', '.'], [(5, 9), (6, 11), (17, 11)], [False, True, False, False], 82, False, [False, False, True, True], 301, 'East', (16, 9))
Element 10: (2, (16, 9), ['', '.', '%', '%'], [(6, 9), (7, 11), (16, 11)], [False, False, True, True], 80, False, [False, True, False, False], 330, 'South', (16, 8))
Element 11: (2, (16, 8), ['%', '', '', '%'], [(7, 9), (8, 11), (15, 11)], [True, False, False, True], 78, False, [False, False, False, False], 359, 'South', (16, 7))
Element 12: (2, (16, 7), ['', '.', '', ''], [(6, 9), (9, 11), (15, 10)], [False, False, False, False], 76, False, [False, True, False, False], 368, 'South', (16, 6))
Element 13: (2, (16, 6), ['.', '.', '', '%'], [(6, 10), (9, 10), (15, 9)], [False, False, False, True], 74, False, [True, True, False, False], 387, 'South', (16, 5))
Element 14: (2, (16, 5), ['.', '.', '', '%'], [(6, 11), (10, 10), (16, 9)], [False, False, False, True], 72, False, [True, True, False, False], 406, 'South', (16, 4))
Element 15: (2, (16, 4), ['.', '.', '', '%'], [(7, 11), (10, 9), (16, 8)], [False, False, False, True], 70, False, [True, True, False, False], 425, 'South', (16, 3))
Element 16: (2, (16, 3), ['.', '%', '', '%'], [(8, 11), (9, 9), (16, 9)], [False, True, False, True], 68, False, [True, False, False, False], 444, 'West', (15, 3))
Element 17: (2, (15, 3), ['%', '.', '.', ''], [(9, 11), (9, 8), (15, 9)], [True, False, False, False], 66, False, [False, True, True, False], 453, 'North', (15, 4))
Element 18: (2, (15, 4), ['%', '', '.', ''], [(10, 11), (9, 7), (14, 9)], [True, False, False, False], 64, False, [False, False, True, False], 472, 'North', (15, 5))
Element 19: (2, (15, 5), ['%', '', '.', ''], [(11, 11), (10, 7), (13, 9)], [True, False, False, False], 62, False, [False, False, True, False], 491, 'North', (15, 6))
Element 20: (2, (15, 6), ['%', '', '', ''], [(12, 11), (11, 7), (13, 8)], [True, False, False, False], 60, False, [False, False, False, False], 520, 'North', (15, 7))
Element 21: (2, (15, 7), ['%', '', '%', ''], [(13, 11), (10, 7), (13, 7)], [True, False, True, False], 58, False, [False, False, False, False], 529, 'South', (15, 6))
Element 22: (2, (15, 6), ['%', '', '', ''], [(13, 10), (10, 8), (13, 6)], [True, False, False, False], 56, False, [False, False, False, False], 538, 'South', (15, 5))
Element 23: (2, (15, 5), ['%', '', '', ''], [(13, 9), (10, 7), (13, 5)], [True, False, False, False], 54, False, [False, False, False, False], 547, 'South', (15, 4))
Element 24: (2, (15, 4), ['%', '', '', ''], [(12, 9), (9, 7), (13, 4)], [True, False, False, False], 52, False, [False, False, False, False], 566, 'South', (15, 3))
Element 25: (2, (15, 3), ['%', '.', '', ''], [(13, 9), (9, 8), (13, 3)], [True, False, False, False], 50, False, [False, True, False, False], 575, 'South', (15, 2))
Element 26: (2, (15, 2), ['%', '.', '', '%'], [(14, 9), (10, 8), (13, 2)], [True, False, False, True], 48, False, [False, True, False, False], 594, 'South', (15, 1))
Element 27: (2, (15, 1), ['%', '%', '', '.'], [(15, 9), (9, 8), (13, 1)], [True, True, False, False], 46, False, [False, False, False, True], 613, 'East', (16, 1))
Element 28: (2, (16, 1), ['', '%', '%', '.'], [(16, 9), (9, 9), (12, 1)], [False, True, True, False], 44, False, [False, False, False, True], 632, 'East', (17, 1))
Element 29: (2, (17, 1), ['', '%', '%', ''], [(16, 8), (10, 9), (11, 1)], [False, True, True, False], 42, False, [False, False, False, False], 651, 'East', (18, 1))
Element 30: (2, (18, 1), ['', '%', '.', '%'], [(16, 7), (10, 8), (10, 1)], [False, True, False, True], 40, False, [False, False, True, False], 660, 'North', (18, 2))
Element 31: (2, (18, 2), ['%', '', '.', '%'], [(17, 7), (10, 9), (9, 1)], [True, False, False, True], 38, False, [False, False, True, False], 679, 'North', (18, 3))
Element 32: (2, (18, 3), ['%', '', '.', '%'], [(18, 7), (10, 10), (8, 1)], [True, False, False, True], 36, False, [False, False, True, False], 698, 'North', (18, 4))
Element 33: (2, (18, 4), ['%', '', '.', '%'], [(18, 6), (10, 11), (7, 1)], [True, False, False, True], 34, False, [False, False, True, False], 727, 'North', (18, 5))
Element 34: (2, (18, 5), ['%', '', '', '%'], [(18, 7), (11, 11), (6, 1)], [True, False, False, True], 32, False, [False, False, False, False], 746, 'North', (18, 6))
Element 35: (2, (18, 6), ['%', '', '', '%'], [(18, 8), (12, 11), (6, 2)], [True, False, False, True], 30, False, [False, False, False, False], 755, 'North', (18, 7))
