Element 1: (2, (15, 1), ['%', '%', '.', '.'], [(13, 9), (10, 10), (15, 9)], [True, True, False, False], 98, False, [False, False, True, True], 19, 'East', (16, 1))
Element 2: (2, (16, 1), ['', '%', '%', '.'], [(14, 9), (10, 11), (16, 9)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (17, 1))
Element 3: (2, (17, 1), ['', '%', '%', ''], [(15, 9), (11, 11), (16, 8)], [False, True, True, False], 94, False, [False, False, False, False], 87, 'East', (18, 1))
Element 4: (2, (18, 1), ['', '%', '.', '%'], [(15, 10), (12, 11), (16, 7)], [False, True, False, True], 92, False, [False, False, True, False], 116, 'North', (18, 2))
Element 5: (2, (18, 2), ['%', '', '.', '%'], [(15, 11), (13, 11), (17, 7)], [True, False, False, True], 90, False, [False, False, True, False], 155, 'North', (18, 3))
Element 6: (2, (18, 3), ['%', '', '.', '%'], [(16, 11), (13, 10), (18, 7)], [True, False, False, True], 88, False, [False, False, True, False], 194, 'North', (18, 4))
Element 7: (2, (18, 4), ['%', '', '.', '%'], [(17, 11), (13, 9), (18, 8)], [True, False, False, True], 86, False, [False, False, True, False], 223, 'North', (18, 5))
Element 8: (2, (18, 5), ['%', '', '.', '%'], [(18, 11), (12, 9), (18, 9)], [True, False, False, True], 84, False, [False, False, True, False], 252, 'North', (18, 6))
Element 9: (2, (18, 6), ['%', '', '', '%'], [(17, 11), (13, 9), (18, 10)], [True, False, False, True], 82, False, [False, False, False, False], 271, 'North', (18, 7))
Element 10: (2, (18, 7), ['', '', '', '%'], [(16, 11), (14, 9), (18, 11)], [False, False, False, True], 80, False, [False, False, False, False], 270, 'North', (18, 8))
Element 11: (2, (18, 8), ['%', '', '', '%'], [(15, 11), (15, 9), (17, 11)], [True, False, False, True], 78, False, [False, False, False, False], 269, 'North', (18, 9))
Element 12: (2, (18, 9), ['%', '', '', '%'], [(15, 10), (16, 9), (16, 11)], [True, False, False, True], 76, False, [False, False, False, False], 268, 'North', (18, 10))
Element 13: (2, (18, 10), ['%', '', '', '%'], [(15, 9), (16, 8), (15, 11)], [True, False, False, True], 74, False, [False, False, False, False], 267, 'North', (18, 11))
Element 14: (2, (18, 11), ['', '', '%', '%'], [(16, 9), (16, 7), (15, 10)], [False, False, True, True], 72, False, [False, False, False, False], 266, 'West', (17, 11))
Element 15: (2, (17, 11), ['', '%', '%', ''], [(16, 8), (16, 6), (15, 11)], [False, True, True, False], 70, False, [False, False, False, False], 275, 'West', (16, 11))
Element 16: (2, (16, 11), ['', '%', '%', ''], [(16, 7), (16, 5), (15, 10)], [False, True, True, False], 68, False, [False, False, False, False], 284, 'West', (15, 11))
Element 17: (2, (15, 11), ['%', '', '%', ''], [(15, 7), (16, 4), (15, 11)], [True, False, True, False], 66, False, [False, False, False, False], 303, 'South', (15, 10))
Element 18: (2, (15, 10), ['%', '', '', '%'], [(15, 6), (16, 3), (16, 11)], [True, False, False, True], 64, False, [False, False, False, False], 322, 'South', (15, 9))
Element 19: (2, (15, 9), ['', '%', '', ''], [(15, 5), (15, 3), (16, 11)], [False, True, False, False], 62, False, [False, False, False, False], 341, 'East', (16, 9))
Element 20: (2, (16, 9), ['', '', '%', '%'], [(15, 4), (15, 2), (16, 11)], [False, False, True, True], 60, False, [False, False, False, False], 360, 'South', (16, 8))
Element 21: (2, (16, 8), ['%', '', '', '%'], [(16, 4), (15, 1), (16, 11)], [True, False, False, True], 58, False, [False, False, False, False], 359, 'South', (16, 7))
Element 22: (2, (16, 7), ['', '', '', ''], [(16, 5), (16, 1), (16, 11)], [False, False, False, False], 56, False, [False, False, False, False], 358, 'East', (17, 7))
Element 23: (2, (17, 7), ['', '%', '%', ''], [(16, 6), (17, 1), (16, 11)], [False, True, True, False], 54, False, [False, False, False, False], 357, 'West', (16, 7))
Element 24: (2, (16, 7), ['', '', '', ''], [(16, 5), (18, 1), (16, 11)], [False, False, False, False], 52, False, [False, False, False, False], 356, 'South', (16, 6))
Element 25: (2, (16, 6), ['', '', '', '%'], [(16, 4), (18, 2), (16, 11)], [False, False, False, True], 50, False, [False, False, False, False], 355, 'South', (16, 5))
Element 26: (2, (16, 5), ['', '', '', '%'], [(16, 3), (18, 3), (16, 11)], [False, False, False, True], 48, False, [False, False, False, False], 354, 'South', (16, 4))
Element 27: (2, (16, 4), ['', '', '', '%'], [(15, 3), (18, 4), (16, 11)], [False, False, False, True], 46, False, [False, False, False, False], 353, 'South', (16, 3))
Element 28: (2, (16, 3), ['', '%', '', '%'], [(15, 2), (18, 5), (16, 11)], [False, True, False, True], 44, False, [False, False, False, False], 352, 'West', (15, 3))
Element 29: (2, (15, 3), ['%', '', '', ''], [(15, 1), (18, 6), (16, 11)], [True, False, False, False], 42, False, [False, False, False, False], 351, 'North', (15, 4))
Element 30: (2, (15, 4), ['%', '', '', ''], [(16, 1), (18, 7), (16, 11)], [True, False, False, False], 40, False, [False, False, False, False], 350, 'North', (15, 5))
Element 31: (2, (15, 5), ['%', '', '', ''], [(17, 1), (18, 8), (16, 11)], [True, False, False, False], 38, False, [False, False, False, False], 349, 'North', (15, 6))
Element 32: (2, (15, 6), ['%', '', '', ''], [(18, 1), (18, 9), (16, 11)], [True, False, False, False], 36, False, [False, False, False, False], 348, 'North', (15, 7))
Element 33: (2, (15, 7), ['%', '', '%', ''], [(18, 2), (18, 10), (16, 11)], [True, False, True, False], 34, False, [False, False, False, False], 347, 'South', (15, 6))
Element 34: (2, (15, 6), ['%', '', '', ''], [(18, 3), (18, 11), (16, 11)], [True, False, False, False], 32, False, [False, False, False, False], 346, 'South', (15, 5))
Element 35: (2, (15, 5), ['%', '', '', ''], [(18, 4), (17, 11), (16, 11)], [True, False, False, False], 30, False, [False, False, False, False], 345, 'South', (15, 4))
Element 36: (2, (15, 4), ['%', '', '', ''], [(18, 5), (18, 11), (16, 11)], [True, False, False, False], 28, False, [False, False, False, False], 344, 'South', (15, 3))
Element 37: (2, (15, 3), ['%', '', '', ''], [(18, 6), (18, 10), (16, 11)], [True, False, False, False], 26, False, [False, False, False, False], 343, 'South', (15, 2))
Element 38: (2, (15, 2), ['%', '', '', '%'], [(18, 7), (18, 9), (16, 11)], [True, False, False, True], 24, False, [False, False, False, False], 342, 'North', (15, 3))
Element 39: (2, (15, 3), ['%', '', '', ''], [(18, 8), (18, 10), (17, 11)], [True, False, False, False], 22, False, [False, False, False, False], 341, 'East', (16, 3))
Element 40: (2, (16, 3), ['', '%', '', '%'], [(18, 9), (18, 9), (18, 11)], [False, True, False, True], 20, False, [False, False, False, False], 340, 'North', (16, 4))
Element 41: (2, (16, 4), ['', '', '', '%'], [(18, 8), (18, 8), (18, 10)], [False, False, False, True], 18, False, [False, False, False, False], 339, 'West', (15, 4))
Element 42: (2, (15, 4), ['%', '', '', ''], [(18, 7), (18, 8), (18, 9)], [True, False, False, False], 16, False, [False, False, False, False], 338, 'East', (16, 4))
Element 43: (2, (16, 4), ['', '', '', '%'], [(17, 7), (18, 7), (18, 10)], [False, False, False, True], 14, False, [False, False, False, False], 337, 'North', (16, 5))
Element 44: (2, (16, 5), ['', '', '', '%'], [(16, 7), (18, 6), (18, 11)], [False, False, False, True], 12, False, [False, False, False, False], 336, 'West', (15, 5))
Element 45: (2, (15, 5), ['%', '', '', ''], [(15, 7), (18, 5), (17, 11)], [True, False, False, False], 10, False, [False, False, False, False], 335, 'East', (16, 5))
Element 46: (2, (16, 5), ['', '', '', '%'], [(15, 6), (18, 4), (16, 11)], [False, False, False, True], 8, False, [False, False, False, False], 334, 'North', (16, 6))
Element 47: (2, (16, 6), ['', '', '', '%'], [(15, 5), (18, 3), (15, 11)], [False, False, False, True], 6, False, [False, False, False, False], 333, 'West', (15, 6))
Element 48: (2, (15, 6), ['%', '', '', ''], [(15, 4), (18, 2), (15, 10)], [True, False, False, False], 4, False, [False, False, False, False], 332, 'East', (16, 6))
Element 49: (2, (16, 6), ['', '', '', '%'], [(15, 3), (18, 1), (15, 9)], [False, False, False, True], 2, False, [False, False, False, False], 331, 'North', (16, 7))
Element 50: (2, (16, 7), ['', '', '', ''], [(15, 3), (18, 1), (16, 9)], [False, False, False, False], 0, False, [False, False, False, False], 330, 'Stop', (16, 7))
Element 51: #0#
