Element 1: (2, (4, 6), ['', '.', '.', '.'], [(3, 7), (4, 4), (13, 8)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (5, 6))
Element 2: (2, (5, 6), ['', '.', '.', '.'], [(4, 7), (5, 4), (13, 9)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (6, 6))
Element 3: (2, (6, 6), ['', '.', '.', '%'], [(5, 7), (6, 4), (14, 9)], [False, False, False, True], 94, False, [False, True, True, False], 97, 'North', (6, 7))
Element 4: (2, (6, 7), ['', '', '.', ''], [(5, 6), (6, 5), (15, 9)], [False, False, False, False], 92, False, [False, False, True, False], 126, 'North', (6, 8))
Element 5: (2, (6, 8), ['%', '', '.', '%'], [(5, 5), (6, 6), (16, 9)], [True, False, False, True], 90, False, [False, False, True, False], 155, 'North', (6, 9))
Element 6: (2, (6, 9), ['.', '', '.', '.'], [(4, 5), (6, 7), (16, 8)], [False, False, False, False], 88, False, [True, False, True, True], 184, 'East', (7, 9))
Element 7: (2, (7, 9), ['', '%', '%', '%'], [(3, 5), (7, 7), (16, 7)], [False, True, True, True], 86, False, [False, False, False, False], 213, 'West', (6, 9))
Element 8: (2, (6, 9), ['.', '', '.', ''], [(3, 4), (6, 7), (17, 7)], [False, False, False, False], 84, False, [True, False, True, False], 222, 'North', (6, 10))
Element 9: (2, (6, 10), ['%', '', '.', '%'], [(3, 3), (6, 8), (18, 7)], [True, False, False, True], 82, False, [False, False, True, False], 251, 'North', (6, 11))
Element 10: (2, (6, 11), ['%', '', '%', '.'], [(3, 2), (6, 9), (18, 8)], [True, False, True, False], 80, False, [False, False, False, True], 1270, 'East', (7, 11))
Element 11: #1#
