Element 1: (0, (12, 1), ['G', '%', '%', '.'], [(6, 3), (11, 1), (15, 6)], [False, True, True, False], 98, False, [False, False, False, True], 0, 'East', (13, 1))
Element 2: (0, (13, 1), ['', '%', '.', '%'], [(7, 3), (10, 1), (16, 6)], [False, True, False, True], 96, False, [False, False, True, False], 39, 'North', (13, 2))
Element 3: (0, (13, 2), ['%', '', '.', '%'], [(8, 3), (9, 1), (16, 7)], [True, False, False, True], 94, False, [False, False, True, False], 78, 'North', (13, 3))
Element 4: (0, (13, 3), ['.', '', '.', '%'], [(9, 3), (8, 1), (17, 7)], [False, False, False, True], 92, False, [True, False, True, False], 117, 'North', (13, 4))
Element 5: (0, (13, 4), ['%', '', '.', '%'], [(10, 3), (7, 1), (18, 7)], [True, False, False, True], 90, False, [False, False, True, False], 156, 'North', (13, 5))
Element 6: (0, (13, 5), ['%', '', '.', '%'], [(11, 3), (6, 1), (18, 8)], [True, False, False, True], 88, False, [False, False, True, False], 195, 'North', (13, 6))
Element 7: (0, (13, 6), ['%', '', '.', '%'], [(12, 3), (6, 2), (18, 9)], [True, False, False, True], 86, False, [False, False, True, False], 234, 'North', (13, 7))
Element 8: (0, (13, 7), ['%', '', '.', '%'], [(13, 3), (6, 3), (18, 10)], [True, False, False, True], 84, False, [False, False, True, False], 253, 'North', (13, 8))
Element 9: (0, (13, 8), ['%', '', '.', '%'], [(13, 4), (6, 4), (18, 11)], [True, False, False, True], 82, False, [False, False, True, False], 272, 'North', (13, 9))
Element 10: (0, (13, 9), ['.', '', '.', '.'], [(13, 5), (6, 5), (17, 11)], [False, False, False, False], 80, False, [True, False, True, True], 301, 'East', (14, 9))
Element 11: (0, (14, 9), ['', '%', '%', '.'], [(13, 6), (6, 6), (16, 11)], [False, True, True, False], 78, False, [False, False, False, True], 330, 'East', (15, 9))
Element 12: (0, (15, 9), ['', '%', '.', '.'], [(13, 7), (6, 7), (15, 11)], [False, True, False, False], 76, False, [False, False, True, True], 359, 'East', (16, 9))
Element 13: (0, (16, 9), ['', '.', '%', '%'], [(13, 8), (6, 8), (15, 10)], [False, False, True, True], 74, False, [False, True, False, False], 388, 'South', (16, 8))
Element 14: (0, (16, 8), ['%', '', '', '%'], [(13, 9), (6, 9), (15, 9)], [True, False, False, True], 72, False, [False, False, False, False], 407, 'South', (16, 7))
Element 15: (0, (16, 7), ['.', '', '', ''], [(13, 10), (7, 9), (16, 9)], [False, False, False, False], 70, False, [True, False, False, False], 426, 'West', (15, 7))
