Element 1: (2, (6, 6), ['', '.', '.', '%'], [(18, 9), (5, 7), (8, 3)], [False, False, False, True], 98, False, [False, True, True, False], 19, 'North', (6, 7))
Element 2: (2, (6, 7), ['', '', '.', ''], [(18, 8), (4, 7), (9, 3)], [False, False, False, False], 96, False, [False, False, True, False], 58, 'North', (6, 8))
Element 3: (2, (6, 8), ['%', '', '.', '%'], [(18, 7), (4, 6), (10, 3)], [True, False, False, True], 94, False, [False, False, True, False], 97, 'North', (6, 9))
Element 4: (2, (6, 9), ['.', '', '.', '.'], [(18, 6), (4, 5), (11, 3)], [False, False, False, False], 92, False, [True, False, True, True], 136, 'East', (7, 9))
Element 5: (2, (7, 9), ['', '%', '%', '%'], [(18, 5), (5, 5), (12, 3)], [False, True, True, True], 90, False, [False, False, False, False], 175, 'West', (6, 9))
Element 6: (2, (6, 9), ['.', '', '.', ''], [(18, 4), (6, 5), (13, 3)], [False, False, False, False], 88, False, [True, False, True, False], 204, 'North', (6, 10))
Element 7: (2, (6, 10), ['%', '', '.', '%'], [(18, 3), (6, 4), (13, 4)], [True, False, False, True], 86, False, [False, False, True, False], 243, 'North', (6, 11))
Element 8: (2, (6, 11), ['%', '', '%', '.'], [(18, 2), (6, 3), (13, 5)], [True, False, True, False], 84, False, [False, False, False, True], 282, 'East', (7, 11))
Element 9: (2, (7, 11), ['', '%', '%', '.'], [(18, 1), (7, 3), (13, 6)], [False, True, True, False], 82, False, [False, False, False, True], 311, 'East', (8, 11))
Element 10: (2, (8, 11), ['', '%', '%', '.'], [(17, 1), (8, 3), (13, 7)], [False, True, True, False], 80, False, [False, False, False, True], 340, 'East', (9, 11))
Element 11: (2, (9, 11), ['', '.', '%', '.'], [(16, 1), (9, 3), (13, 8)], [False, False, True, False], 78, False, [False, True, False, True], 369, 'East', (10, 11))
Element 12: (2, (10, 11), ['', '.', '%', '.'], [(15, 1), (10, 3), (13, 9)], [False, False, True, False], 76, False, [False, True, False, True], 398, 'East', (11, 11))
Element 13: (2, (11, 11), ['', '%', '%', '.'], [(15, 2), (11, 3), (14, 9)], [False, True, True, False], 74, False, [False, False, False, True], 427, 'East', (12, 11))
Element 14: (2, (12, 11), ['', '%', '%', '.'], [(15, 3), (12, 3), (15, 9)], [False, True, True, False], 72, False, [False, False, False, True], 456, 'East', (13, 11))
Element 15: (2, (13, 11), ['', '.', '%', '%'], [(16, 3), (13, 3), (16, 9)], [False, False, True, True], 70, False, [False, True, False, False], 485, 'South', (13, 10))
Element 16: (2, (13, 10), ['%', '', '', '%'], [(16, 4), (13, 2), (16, 8)], [True, False, False, True], 68, False, [False, False, False, False], 524, 'South', (13, 9))
Element 17: (2, (13, 9), ['.', '', '', ''], [(16, 5), (13, 1), (16, 7)], [False, False, False, False], 66, False, [True, False, False, False], 553, 'West', (12, 9))
Element 18: (2, (12, 9), ['%', '%', '%', ''], [(16, 6), (12, 1), (17, 7)], [True, True, True, False], 64, False, [False, False, False, False], 592, 'East', (13, 9))
Element 19: (2, (13, 9), ['', '', '', ''], [(15, 6), (11, 1), (18, 7)], [False, False, False, False], 62, False, [False, False, False, False], 611, 'East', (14, 9))
Element 20: (2, (14, 9), ['', '%', '%', ''], [(15, 7), (10, 1), (18, 8)], [False, True, True, False], 60, False, [False, False, False, False], 630, 'East', (15, 9))
