Element 1: (3, (6, 7), ['.', '.', '.', ''], [(6, 11), (4, 11), (5, 5)], [False, False, False, False], 98, False, [True, True, True, False], 29, 'North', (6, 8))
Element 2: (3, (6, 8), ['%', '', '.', '%'], [(7, 11), (4, 10), (6, 5)], [True, False, False, True], 96, False, [False, False, True, False], 68, 'North', (6, 9))
Element 3: (3, (6, 9), ['.', '', '', '.'], [(8, 11), (4, 9), (6, 6)], [False, False, False, False], 94, False, [True, False, False, True], 107, 'East', (7, 9))
Element 4: (3, (7, 9), ['', '%', '%', '%'], [(9, 11), (5, 9), (5, 6)], [False, True, True, True], 92, False, [False, False, False, False], 146, 'West', (6, 9))
Element 5: (3, (6, 9), ['', '', '', ''], [(10, 11), (4, 9), (5, 7)], [False, False, False, False], 90, False, [False, False, False, False], 165, 'West', (5, 9))
Element 6: (3, (5, 9), ['', '%', '%', ''], [(11, 11), (3, 9), (4, 7)], [False, True, True, False], 88, False, [False, False, False, False], 194, 'West', (4, 9))
Element 7: (3, (4, 9), ['', '%', '', ''], [(12, 11), (3, 8), (4, 6)], [False, True, False, False], 86, False, [False, False, False, False], 223, 'North', (4, 10))
Element 8: (3, (4, 10), ['%', '', '', '%'], [(13, 11), (3, 7), (3, 6)], [True, False, False, True], 84, False, [False, False, False, False], 252, 'North', (4, 11))
Element 9: (3, (4, 11), ['', '', '%', '%'], [(13, 10), (2, 7), (3, 5)], [False, False, True, True], 82, False, [False, False, False, False], 281, 'West', (3, 11))
Element 10: (3, (3, 11), ['.', '%', '%', ''], [(13, 9), (1, 7), (3, 4)], [False, True, True, False], 80, False, [True, False, False, False], 310, 'West', (2, 11))
Element 11: (3, (2, 11), ['', '%', '%', ''], [(14, 9), (1, 8), (4, 4)], [False, True, True, False], 78, False, [False, False, False, False], 349, 'West', (1, 11))
Element 12: (3, (1, 11), ['%', '.', '%', ''], [(15, 9), (1, 9), (5, 4)], [True, False, True, False], 76, False, [False, True, False, False], 378, 'South', (1, 10))
Element 13: (3, (1, 10), ['%', '', '', '%'], [(16, 9), (1, 8), (6, 4)], [True, False, False, True], 74, False, [False, False, False, False], 407, 'South', (1, 9))
Element 14: (3, (1, 9), ['%', '', '', '%'], [(16, 8), (1, 7), (6, 3)], [True, False, False, True], 72, False, [False, False, False, False], 426, 'South', (1, 8))
Element 15: (3, (1, 8), ['%', '', '', '%'], [(16, 7), (1, 6), (7, 3)], [True, False, False, True], 70, False, [False, False, False, False], 455, 'South', (1, 7))
Element 16: (3, (1, 7), ['%', '', '', ''], [(17, 7), (1, 5), (8, 3)], [True, False, False, False], 68, False, [False, False, False, False], 484, 'East', (2, 7))
Element 17: (3, (2, 7), ['', '%', '%', ''], [(18, 7), (1, 4), (9, 3)], [False, True, True, False], 66, False, [False, False, False, False], 513, 'East', (3, 7))
Element 18: (3, (3, 7), ['', '', '', ''], [(18, 8), (1, 3), (10, 3)], [False, False, False, False], 64, False, [False, False, False, False], 542, 'East', (4, 7))
Element 19: (3, (4, 7), ['', '', '%', ''], [(18, 9), (1, 2), (11, 3)], [False, False, True, False], 62, False, [False, False, False, False], 571, 'East', (5, 7))
Element 20: (3, (5, 7), ['', '', '%', ''], [(18, 10), (2, 2), (12, 3)], [False, False, True, False], 60, False, [False, False, False, False], 1590, 'South', (5, 6))
Element 21: #1#
