Element 1: (2, (13, 1), ['.', '%', '', '%'], [(13, 3), (11, 3), (18, 7)], [False, True, False, True], 98, False, [True, False, False, False], 19, 'West', (12, 1))
Element 2: (2, (12, 1), ['.', '%', '%', ''], [(13, 4), (10, 3), (18, 8)], [False, True, True, False], 96, False, [True, False, False, False], 58, 'West', (11, 1))
Element 3: (2, (11, 1), ['.', '%', '%', ''], [(13, 5), (9, 3), (18, 9)], [False, True, True, False], 94, False, [True, False, False, False], 97, 'West', (10, 1))
Element 4: (2, (10, 1), ['.', '%', '%', ''], [(13, 6), (8, 3), (18, 10)], [False, True, True, False], 92, False, [True, False, False, False], 136, 'West', (9, 1))
Element 5: (2, (9, 1), ['.', '%', '%', ''], [(13, 7), (7, 3), (18, 11)], [False, True, True, False], 90, False, [True, False, False, False], 165, 'West', (8, 1))
Element 6: (2, (8, 1), ['.', '%', '%', ''], [(13, 8), (6, 3), (17, 11)], [False, True, True, False], 88, False, [True, False, False, False], 204, 'West', (7, 1))
Element 7: (2, (7, 1), ['.', '%', '%', ''], [(13, 9), (6, 4), (16, 11)], [False, True, True, False], 86, False, [True, False, False, False], 243, 'West', (6, 1))
Element 8: (2, (6, 1), ['%', '%', '.', ''], [(14, 9), (6, 5), (15, 11)], [True, True, False, False], 84, False, [False, False, True, False], 282, 'North', (6, 2))
Element 9: (2, (6, 2), ['%', '', '', '%'], [(15, 9), (6, 6), (15, 10)], [True, False, False, True], 82, False, [False, False, False, False], 321, 'North', (6, 3))
Element 10: (2, (6, 3), ['.', '', '', ''], [(16, 9), (6, 7), (15, 11)], [False, False, False, False], 80, False, [True, False, False, False], 340, 'West', (5, 3))
Element 11: (2, (5, 3), ['.', '%', '.', ''], [(16, 8), (6, 8), (16, 11)], [False, True, False, False], 78, False, [True, False, True, False], 369, 'North', (5, 4))
Element 12: (2, (5, 4), ['.', '', '.', ''], [(16, 7), (6, 9), (17, 11)], [False, False, False, False], 76, False, [True, False, True, False], 398, 'North', (5, 5))
Element 13: (2, (5, 5), ['.', '', '.', ''], [(17, 7), (7, 9), (18, 11)], [False, False, False, False], 74, False, [True, False, True, False], 427, 'North', (5, 6))
Element 14: (2, (5, 6), ['.', '', '.', ''], [(18, 7), (6, 9), (18, 10)], [False, False, False, False], 72, False, [True, False, True, False], 436, 'North', (5, 7))
Element 15: (2, (5, 7), ['.', '', '%', ''], [(18, 6), (6, 10), (18, 9)], [False, False, True, False], 70, False, [True, False, False, False], 465, 'West', (4, 7))
Element 16: (2, (4, 7), ['.', '.', '%', ''], [(18, 5), (6, 11), (18, 8)], [False, False, True, False], 68, False, [True, True, False, False], 494, 'South', (4, 6))
Element 17: (2, (4, 6), ['.', '.', '', ''], [(18, 4), (7, 11), (18, 7)], [False, False, False, False], 66, False, [True, True, False, False], 523, 'South', (4, 5))
Element 18: (2, (4, 5), ['.', '.', '', ''], [(18, 3), (8, 11), (18, 6)], [False, False, False, False], 64, False, [True, True, False, False], 552, 'South', (4, 4))
Element 19: (2, (4, 4), ['.', '.', '', ''], [(18, 2), (9, 11), (18, 5)], [False, False, False, False], 62, False, [True, True, False, False], 581, 'South', (4, 3))
Element 20: (2, (4, 3), ['.', '.', '', ''], [(18, 1), (10, 11), (18, 4)], [False, False, False, False], 60, False, [True, True, False, False], 600, 'South', (4, 2))
Element 21: (2, (4, 2), ['F', '.', '', '%'], [(17, 1), (11, 11), (18, 3)], [False, False, False, True], 58, False, [False, True, False, False], 629, 'West', (3, 2))
Element 22: (2, (3, 2), ['F', '.', '.', ''], [(16, 1), (12, 11), (18, 2)], [False, False, False, False], 56, False, [False, True, True, False], 1648, 'West', (2, 2))
Element 23: #1#
