Element 1: (1, (4, 4), ['.', '.', '.', 'G'], [(8, 3), (5, 4), (18, 6)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (4, 5))
Element 2: (1, (4, 5), ['.', '', '.', '.'], [(9, 3), (6, 4), (18, 7)], [False, False, False, False], 96, False, [True, False, True, True], 48, 'East', (5, 5))
Element 3: (1, (5, 5), ['', '', '.', 'G'], [(10, 3), (6, 5), (18, 8)], [False, False, False, False], 94, False, [False, False, True, False], 87, 'North', (5, 6))
Element 4: (1, (5, 6), ['.', '', '.', 'G'], [(11, 3), (6, 6), (18, 9)], [False, False, False, False], 92, False, [True, False, True, False], 126, 'North', (5, 7))
Element 5: (1, (5, 7), ['.', '', '%', 'G'], [(12, 3), (6, 7), (18, 10)], [False, False, True, False], 90, False, [True, False, False, False], 165, 'West', (4, 7))
Element 6: (1, (4, 7), ['.', '.', '%', ''], [(13, 3), (6, 8), (18, 11)], [False, False, True, False], 88, False, [True, True, False, False], 194, 'South', (4, 6))
Element 7: (1, (4, 6), ['.', '', '', ''], [(13, 4), (6, 9), (17, 11)], [False, False, False, False], 86, False, [True, False, False, False], 233, 'West', (3, 6))
Element 8: (1, (3, 6), ['%', '.', '.', ''], [(13, 5), (7, 9), (16, 11)], [True, False, False, False], 84, False, [False, True, True, False], 272, 'North', (3, 7))
Element 9: (1, (3, 7), ['.', '', '.', ''], [(13, 6), (6, 9), (15, 11)], [False, False, False, False], 82, False, [True, False, True, False], 301, 'North', (3, 8))
Element 10: (1, (3, 8), ['%', '', '.', '%'], [(13, 7), (6, 10), (15, 10)], [True, False, False, True], 80, False, [False, False, True, False], 340, 'North', (3, 9))
Element 11: (1, (3, 9), ['%', '', '%', '.'], [(13, 8), (6, 11), (15, 9)], [True, False, True, False], 78, False, [False, False, False, True], 379, 'East', (4, 9))
Element 12: (1, (4, 9), ['', '%', '.', '.'], [(13, 9), (7, 11), (16, 9)], [False, True, False, False], 76, False, [False, False, True, True], 418, 'East', (5, 9))
Element 13: (1, (5, 9), ['', '%', '%', ''], [(14, 9), (8, 11), (16, 8)], [False, True, True, False], 74, False, [False, False, False, False], 457, 'East', (6, 9))
Element 14: (1, (6, 9), ['', '', '', ''], [(15, 9), (9, 11), (16, 7)], [False, False, False, False], 72, False, [False, False, False, False], 476, 'East', (7, 9))
Element 15: (1, (7, 9), ['', '%', '%', '%'], [(16, 9), (10, 11), (17, 7)], [False, True, True, True], 70, False, [False, False, False, False], 495, 'West', (6, 9))
Element 16: (1, (6, 9), ['', '', '', ''], [(16, 8), (11, 11), (16, 7)], [False, False, False, False], 68, False, [False, False, False, False], 504, 'North', (6, 10))
Element 17: (1, (6, 10), ['%', '', '', '%'], [(16, 7), (12, 11), (16, 6)], [True, False, False, True], 66, False, [False, False, False, False], 523, 'North', (6, 11))
Element 18: (1, (6, 11), ['%', '', '%', ''], [(15, 7), (13, 11), (16, 5)], [True, False, True, False], 64, False, [False, False, False, False], 552, 'East', (7, 11))
Element 19: (1, (7, 11), ['', '%', '%', ''], [(15, 6), (13, 10), (16, 4)], [False, True, True, False], 62, False, [False, False, False, False], 581, 'East', (8, 11))
Element 20: (1, (8, 11), ['', '%', '%', ''], [(15, 5), (13, 9), (16, 3)], [False, True, True, False], 60, False, [False, False, False, False], 600, 'East', (9, 11))
Element 21: (1, (9, 11), ['', '.', '%', ''], [(15, 4), (12, 9), (15, 3)], [False, False, True, False], 58, False, [False, True, False, False], 629, 'South', (9, 10))
Element 22: (1, (9, 10), ['%', '.', '', '.'], [(16, 4), (13, 9), (15, 2)], [True, False, False, False], 56, False, [False, True, False, True], 648, 'East', (10, 10))
Element 23: (1, (10, 10), ['', '.', '', '%'], [(16, 5), (14, 9), (15, 1)], [False, False, False, True], 54, False, [False, True, False, False], 667, 'South', (10, 9))
Element 24: (1, (10, 9), ['.', '', '', '%'], [(16, 6), (15, 9), (16, 1)], [False, False, False, True], 52, False, [True, False, False, False], 686, 'West', (9, 9))
Element 25: (1, (9, 9), ['%', '', '', ''], [(16, 5), (16, 9), (17, 1)], [True, False, False, False], 50, False, [False, False, False, False], 705, 'South', (9, 8))
Element 26: (1, (9, 8), ['%', '.', '', ''], [(16, 4), (16, 8), (18, 1)], [True, False, False, False], 48, False, [False, True, False, False], 704, 'South', (9, 7))
Element 27: (1, (9, 7), ['%', '%', '', '.'], [(16, 3), (16, 7), (18, 2)], [True, True, False, False], 46, False, [False, False, False, True], 723, 'East', (10, 7))
Element 28: (1, (10, 7), ['', '%', '', '.'], [(15, 3), (17, 7), (18, 3)], [False, True, False, False], 44, False, [False, False, False, True], 742, 'East', (11, 7))
Element 29: (1, (11, 7), ['', '%', '%', '%'], [(15, 2), (18, 7), (18, 4)], [False, True, True, True], 42, False, [False, False, False, False], 761, 'West', (10, 7))
Element 30: (1, (10, 7), ['', '%', '', ''], [(15, 1), (18, 8), (18, 5)], [False, True, False, False], 40, False, [False, False, False, False], 770, 'North', (10, 8))
Element 31: (1, (10, 8), ['', '', '', '%'], [(16, 1), (18, 9), (18, 4)], [False, False, False, True], 38, False, [False, False, False, False], 769, 'South', (10, 7))
Element 32: (1, (10, 7), ['', '%', '', ''], [(17, 1), (18, 10), (18, 3)], [False, True, False, False], 36, False, [False, False, False, False], 768, 'West', (9, 7))
Element 33: (1, (9, 7), ['%', '%', '', ''], [(18, 1), (18, 11), (18, 2)], [True, True, False, False], 34, False, [False, False, False, False], 767, 'North', (9, 8))
Element 34: (1, (9, 8), ['%', '', '', ''], [(18, 2), (17, 11), (18, 3)], [True, False, False, False], 32, False, [False, False, False, False], 766, 'East', (10, 8))
Element 35: (1, (10, 8), ['', '', '', '%'], [(18, 3), (16, 11), (18, 2)], [False, False, False, True], 30, False, [False, False, False, False], 765, 'West', (9, 8))
Element 36: (1, (9, 8), ['%', '', '', ''], [(18, 4), (15, 11), (18, 1)], [True, False, False, False], 28, False, [False, False, False, False], 764, 'North', (9, 9))
Element 37: (1, (9, 9), ['%', '', '', ''], [(18, 5), (15, 10), (17, 1)], [True, False, False, False], 26, False, [False, False, False, False], 763, 'East', (10, 9))
Element 38: (1, (10, 9), ['', '', '', '%'], [(18, 6), (15, 11), (17, 1)], [False, False, False, True], 24, False, [False, False, False, False], 762, 'South', (10, 8))
Element 39: (1, (10, 8), ['', '', '', '%'], [(18, 7), (16, 11), (17, 1)], [False, False, False, True], 22, False, [False, False, False, False], 761, 'North', (10, 9))
Element 40: (1, (10, 9), ['', '', '', '%'], [(18, 8), (17, 11), (17, 1)], [False, False, False, True], 20, False, [False, False, False, False], 760, 'North', (10, 10))
Element 41: (1, (10, 10), ['', '', '', '%'], [(18, 9), (18, 11), (17, 1)], [False, False, False, True], 18, False, [False, False, False, False], 759, 'North', (10, 11))
